"affectionate" "afraid" "agreeable" "alone" "amazing" "angry" "anxious" "bad" "beautiful" "blind" "bright" "busy" "calm" "careful" "certain" "charming" "cheerful" "clean" "cold" "comfortable" "cool" "curious" "difficult" "extraordinary" "fair" "faithful" "familiar" "fine" "foolish" "friendly" "gentle" "glad" "good" "grateful" "great" "handsome" "happy" "hard" "honest" "impatient" "important" "innocent" "kind" "little" "lonely" "loud" "modest" "natural" "nice" "noisy" "old" "open" "ordinary" "original" "plain" "pleasant" "pleased" "poor" "popular" "pretty" "private" "professional" "proper" "quiet" "remarkable" "rich" "rough" "sad" "satisfied" "short" "smart" "strange" "strong" "surprised" "sweet" "tall" "terrible" "thankful" "thoughtful" "tired" "violent" "warm" "weak" "well" "worthy" "young"
"affectionate" 0 2 0 3 0 1 0 2 4 0 1 0 0 1 4 2 2 1 1 3 1 1 1 2 2 2 3 0 1 1 3 5 11 2 10 0 4 1 4 0 1 0 5 12 0 1 1 3 0 4 13 5 1 1 3 2 0 7 0 0 1 1 1 5 3 1 0 0 2 5 0 5 3 1 0 2 1 0 3 3 0 1 2 1 0 9
"afraid" 2 0 2 8 3 0 1 5 3 3 6 3 0 2 8 3 3 3 9 7 0 1 4 5 3 1 0 1 2 5 5 8 26 1 26 0 6 6 7 2 0 2 9 30 2 4 1 7 2 3 30 8 0 3 5 8 1 13 1 2 1 1 3 8 3 0 3 4 0 15 4 9 7 2 3 0 3 1 3 2 3 5 3 2 3 12
"agreeable" 0 2 0 4 1 0 5 1 1 0 2 1 1 2 6 0 4 0 4 4 1 1 3 2 2 0 1 2 1 2 1 4 11 1 14 1 4 4 0 0 0 1 1 17 0 1 2 4 1 1 16 5 0 5 5 5 0 9 1 1 2 1 3 1 2 4 1 0 3 10 3 4 6 1 2 0 1 0 1 3 1 1 0 0 0 12
"alone" 3 8 4 0 0 4 7 4 6 2 12 3 3 3 7 0 9 0 10 5 0 4 6 4 2 1 6 2 4 3 4 13 30 5 28 0 13 10 6 3 3 4 5 36 3 3 1 4 2 3 36 11 3 8 6 5 2 17 4 3 4 2 1 10 3 3 4 8 5 16 4 9 10 2 3 2 4 3 4 5 5 5 3 4 4 15
"amazing" 0 3 1 0 0 1 1 2 1 2 0 0 0 1 4 0 1 0 3 1 0 0 2 3 4 0 1 1 0 3 1 0 7 1 7 1 1 1 2 0 0 0 0 10 0 1 2 2 0 2 6 3 0 1 2 1 1 1 0 2 1 0 0 2 3 2 0 0 0 6 1 2 5 0 0 0 3 0 0 0 0 0 0 0 1 2
"angry" 1 0 0 4 1 0 2 3 3 1 0 0 0 1 4 3 3 0 2 3 0 1 0 3 4 1 0 1 0 1 3 4 12 1 12 2 4 4 2 1 0 3 2 14 2 0 1 2 4 1 7 4 2 1 3 2 0 9 1 1 0 0 1 4 3 1 0 4 2 8 0 4 4 0 0 0 2 2 1 0 2 3 3 1 1 7
"anxious" 0 1 5 7 1 2 0 4 1 0 8 2 3 3 3 0 2 1 9 2 3 4 4 5 3 2 2 4 2 3 5 6 22 3 25 3 11 3 1 2 0 3 6 28 2 3 2 4 0 3 28 10 2 2 5 4 3 17 0 4 1 2 2 6 6 3 1 1 1 16 2 8 5 8 3 2 3 1 3 6 2 4 8 3 0 13
"bad" 2 5 1 4 2 3 4 0 6 1 5 3 1 1 7 1 3 2 9 4 1 2 2 1 4 2 1 1 2 1 3 5 19 5 20 2 3 5 5 2 2 3 8 24 1 2 2 8 1 0 20 11 3 2 4 6 2 12 3 1 5 4 3 1 5 0 2 2 3 13 2 5 5 2 2 1 3 1 4 3 0 5 3 1 2 9
"beautiful" 4 3 1 6 1 3 1 6 0 3 9 4 4 4 7 5 3 3 10 6 1 1 0 4 4 1 4 3 2 2 5 6 22 3 18 0 9 3 7 2 1 3 6 26 4 2 2 3 2 1 26 7 1 4 4 6 3 14 0 2 1 0 2 9 10 3 1 5 1 9 1 4 9 1 6 0 2 3 3 4 1 5 1 2 4 17
"blind" 0 3 0 2 2 1 0 1 3 0 3 1 3 1 1 2 2 0 2 1 0 0 2 1 2 1 0 0 1 3 1 4 10 0 6 0 1 3 6 1 0 1 0 11 0 2 0 1 0 0 9 3 1 0 1 5 2 3 1 1 0 0 1 2 1 0 0 1 0 1 0 2 4 0 1 0 2 0 0 0 0 2 1 0 1 6
