"terms";"clusters"
"afraid";3
"alone";4
"angry";5
"anxious";4
"bad";1
"beautiful";4
"bright";1
"busy";5
"certain";1
"cold";1
"cruel";5
"curious";5
"dangerous";5
"difficult";5
"fair";3
"fine";3
"gentle";5
"good";2
"great";2
"handsome";5
"happy";4
"hard";1
"honest";5
"innocent";4
"little";2
"loud";5
"natural";1
"old";2
"open";1
"plain";3
"pleasant";5
"poor";2
"pretty";4
"quiet";1
"remarkable";4
"rough";3
"short";1
"strange";4
"strong";2
"sweet";4
"terrible";3
"useful";5
"weak";3
"wonderful";5
"young";2
