"afraid" "alone" "anxious" "bad" "blind" "bold" "bright" "busy" "certain" "cheerful" "cold" "difficult" "fair" "fine" "gentle" "glad" "good" "great" "handsome" "happy" "hard" "honest" "little" "loud" "natural" "old" "open" "original" "plain" "pleasant" "poor" "private" "proud" "quiet" "remarkable" "rich" "rough" "sad" "serious" "short" "stable" "strange" "strong" "tall" "terrible" "warm" "wise" "worthy" "young"
"afraid" 0 2 2 6 2 5 2 1 4 3 4 1 0 1 1 5 20 24 2 5 5 6 19 1 4 17 7 3 0 5 7 3 5 6 0 2 2 4 2 5 1 3 2 1 5 2 1 5 12
"alone" 2 0 3 5 3 2 7 7 6 3 9 4 3 7 4 10 30 23 4 8 5 2 28 2 6 25 12 5 5 4 12 5 3 14 4 5 2 4 2 12 2 12 8 5 5 5 3 2 14
"anxious" 2 3 0 5 6 4 4 2 7 4 3 2 2 4 0 4 17 17 1 2 2 1 17 0 4 14 5 2 3 1 7 2 2 4 0 2 2 0 0 6 2 3 7 2 1 0 4 4 9
"bad" 6 5 5 0 3 4 9 2 7 3 5 0 2 5 4 5 30 28 7 3 6 6 27 4 3 26 10 6 2 6 13 6 6 8 3 1 3 3 3 10 3 3 10 4 1 4 3 4 17
"blind" 2 3 6 3 0 3 10 4 7 1 5 3 4 2 3 1 17 20 2 3 2 2 18 1 3 16 5 1 3 4 10 2 2 4 0 6 3 0 0 5 2 4 10 0 4 1 5 4 10
"bold" 5 2 4 4 3 0 8 3 9 3 6 5 4 5 2 11 30 30 4 7 5 5 19 2 2 25 6 3 0 4 12 3 8 8 3 3 6 1 3 13 2 8 12 6 2 1 3 4 17
"bright" 2 7 4 9 10 8 0 7 11 10 19 8 5 6 10 14 42 43 8 9 7 4 43 4 4 45 12 3 4 7 27 5 8 16 5 8 6 7 3 19 9 12 19 6 8 4 5 3 20
"busy" 1 7 2 2 4 3 7 0 3 4 3 2 2 4 3 5 19 20 3 6 2 2 17 2 1 16 3 2 3 3 6 2 2 7 3 2 1 4 1 6 1 9 12 3 7 3 3 1 6
"certain" 4 6 7 7 7 9 11 3 0 12 12 6 7 6 4 11 42 49 8 9 6 7 44 6 10 37 13 8 6 5 19 11 9 11 5 4 5 5 5 19 4 12 20 8 1 4 8 7 25
"cheerful" 3 3 4 3 1 3 10 4 12 0 7 1 7 1 5 13 27 27 5 10 2 5 28 4 3 24 9 2 1 11 15 5 5 7 2 4 2 4 3 9 4 8 10 6 3 4 4 1 16
"cold" 4 9 3 5 5 6 19 3 12 7 0 7 6 7 8 11 34 35 8 6 8 7 35 6 10 36 16 3 6 8 19 5 5 10 4 7 7 6 7 18 2 6 13 7 3 8 2 6 18
"difficult" 1 4 2 0 3 5 8 2 6 1 7 0 0 6 3 4 18 18 2 4 2 3 17 1 5 17 8 3 1 2 8 1 6 8 1 0 2 1 2 6 1 3 4 2 4 0 0 5 9
"fair" 0 3 2 2 4 4 5 2 7 7 6 0 0 3 7 9 21 22 4 2 4 4 17 2 1 18 6 2 3 4 12 4 5 3 2 0 1 4 1 9 3 3 8 4 2 4 4 3 18
"fine" 1 7 4 5 2 5 6 4 6 1 7 6 3 0 6 9 26 22 7 4 4 2 27 2 8 19 7 3 3 5 12 2 7 7 1 2 5 1 3 12 2 6 11 2 0 3 3 4 13
"gentle" 1 4 0 4 3 2 10 3 4 5 8 3 7 6 0 7 22 22 3 8 2 10 25 1 4 22 5 1 3 8 12 5 3 10 1 2 2 1 3 7 3 4 8 2 1 2 2 2 15
"glad" 5 10 4 5 1 11 14 5 11 13 11 4 9 9 7 0 39 38 6 11 4 9 30 3 6 30 12 4 2 8 24 8 10 9 4 4 7 6 7 19 1 8 9 4 2 4 3 4 21
"good" 20 30 17 30 17 30 42 19 42 27 34 18 21 26 22 39 0 152 25 30 30 30 136 19 29 128 47 20 18 25 68 23 29 44 17 20 21 15 10 53 16 38 58 14 19 14 13 24 86
"great" 24 23 17 28 20 30 43 20 49 27 35 18 22 22 22 38 152 0 23 34 24 29 141 23 25 131 51 19 16 26 69 24 30 44 15 19 15 13 15 58 17 34 65 18 22 12 13 21 85
"handsome" 2 4 1 7 2 4 8 3 8 5 8 2 4 7 3 6 25 23 0 1 6 5 24 1 3 22 6 3 3 5 13 4 5 5 4 2 1 6 5 11 1 6 6 3 2 1 1 1 19
