"terms";"clusters"
"afraid";3
"agreeable";2
"alone";1
"anxious";1
"bad";2
"beautiful";2
"bright";2
"certain";2
"cheerful";1
"cold";1
"delighted";1
"delightful";1
"extraordinary";1
"familiar";1
"fine";1
"gentle";1
"glad";3
"good";3
"great";3
"happy";3
"hard";2
"innocent";1
"kind";2
"little";3
"natural";2
"old";3
"open";2
"pleasant";2
"pleased";1
"poor";3
"pretty";2
"proud";1
"quiet";2
"short";3
"strange";2
"strong";2
"surprised";2
"sweet";2
"uncomfortable";1
"unhappy";1
"well";1
"wonderful";1
"young";3
