"terms";"clusters"
"affectionate";2
"afraid";3
"agreeable";3
"alone";1
"angry";2
"anxious";3
"ashamed";2
"attentive";1
"awkward";1
"bad";1
"beautiful";2
"capable";2
"certain";3
"charming";2
"cold";1
"comfortable";1
"delighted";1
"delightful";2
"desirable";1
"determined";1
"difficult";1
"eager";1
"excellent";3
"extraordinary";2
"fair";2
"fine";2
"fortunate";2
"glad";3
"good";3
"grateful";1
"great";3
"handsome";3
"happy";3
"ignorant";1
"impatient";1
"important";1
"interesting";1
"kind";2
"little";3
"lively";2
"natural";2
"old";2
"open";1
"pleasant";2
"pleased";3
"pleasing";2
"poor";3
"pretty";2
"private";1
"proper";2
"proud";2
"reasonable";1
"respectable";2
"rich";1
"satisfied";3
"sensible";3
"serious";2
"short";3
"sincere";1
"strange";1
"strong";1
"surprised";2
"unhappy";1
"unlucky";1
"valuable";1
"violent";1
"young";3
