"afraid" "alone" "bad" "beautiful" "bright" "certain" "cold" "extraordinary" "fair" "gentle" "glad" "good" "great" "happy" "hard" "kind" "little" "natural" "old" "open" "pleasant" "poor" "quiet" "remarkable" "short" "strange" "strong" "sweet" "young"
"afraid" 0 10 9 7 9 15 11 8 7 5 14 45 41 16 7 5 37 6 40 13 12 12 4 11 22 11 15 5 32
"alone" 10 0 9 3 5 12 6 3 7 7 12 38 30 9 8 1 29 7 29 10 9 14 9 8 18 12 13 8 24
"bad" 9 9 0 6 7 17 8 7 6 7 19 49 38 12 8 10 47 8 36 16 11 16 11 13 20 9 18 5 39
"beautiful" 7 3 6 0 7 12 8 5 6 6 13 32 32 6 7 3 31 9 32 9 9 13 4 3 13 6 8 8 25
"bright" 9 5 7 7 0 18 12 7 8 10 21 39 42 15 8 3 42 7 35 13 16 15 12 7 20 11 17 6 27
"certain" 15 12 17 12 18 0 12 14 12 11 30 77 78 17 11 11 71 16 66 14 21 27 15 14 35 21 29 11 59
"cold" 11 6 8 8 12 12 0 5 10 6 17 32 31 9 5 9 34 7 32 8 7 13 12 9 15 14 11 4 20
"extraordinary" 8 3 7 5 7 14 5 0 5 5 7 30 30 8 5 4 28 5 24 6 5 11 6 7 14 13 13 3 17
"fair" 7 7 6 6 8 12 10 5 0 10 11 36 28 10 5 5 37 4 29 9 13 13 12 7 16 9 12 9 29
"gentle" 5 7 7 6 10 11 6 5 10 0 12 25 21 11 5 5 29 5 30 11 10 12 13 8 12 12 12 6 22
"glad" 14 12 19 13 21 30 17 7 11 12 0 69 62 17 14 11 73 14 59 21 20 26 18 11 37 14 20 10 46
"good" 45 38 49 32 39 77 32 30 36 25 69 0 184 46 39 28 193 37 170 51 54 80 41 36 94 53 69 30 154
"great" 41 30 38 32 42 78 31 30 28 21 62 184 0 43 40 24 178 33 145 49 47 72 35 38 80 46 73 21 131
"happy" 16 9 12 6 15 17 9 8 10 11 17 46 43 0 9 6 48 8 46 13 15 23 14 7 21 11 16 11 40
"hard" 7 8 8 7 8 11 5 5 5 5 14 39 40 9 0 6 36 6 31 11 11 16 4 8 19 12 16 5 31
"kind" 5 1 10 3 3 11 9 4 5 5 11 28 24 6 6 0 32 5 25 7 6 20 7 4 17 6 11 6 21
"little" 37 29 47 31 42 71 34 28 37 29 73 193 178 48 36 32 0 34 173 57 57 78 46 39 96 46 65 35 143
"natural" 6 7 8 9 7 16 7 5 4 5 14 37 33 8 6 5 34 0 33 6 9 13 7 6 16 8 11 6 30
"old" 40 29 36 32 35 66 32 24 29 30 59 170 145 46 31 25 173 33 0 47 43 68 43 33 78 48 57 26 129
"open" 13 10 16 9 13 14 8 6 9 11 21 51 49 13 11 7 57 6 47 0 14 20 16 9 22 16 14 9 45
"pleasant" 12 9 11 9 16 21 7 5 13 10 20 54 47 15 11 6 57 9 43 14 0 18 16 8 28 10 11 9 38
"poor" 12 14 16 13 15 27 13 11 13 12 26 80 72 23 16 20 78 13 68 20 18 0 16 13 34 21 28 10 65
"quiet" 4 9 11 4 12 15 12 6 12 13 18 41 35 14 4 7 46 7 43 16 16 16 0 5 19 14 10 7 29
"remarkable" 11 8 13 3 7 14 9 7 7 8 11 36 38 7 8 4 39 6 33 9 8 13 5 0 24 5 12 6 26
"short" 22 18 20 13 20 35 15 14 16 12 37 94 80 21 19 17 96 16 78 22 28 34 19 24 0 31 33 18 74
"strange" 11 12 9 6 11 21 14 13 9 12 14 53 46 11 12 6 46 8 48 16 10 21 14 5 31 0 22 9 40
"strong" 15 13 18 8 17 29 11 13 12 12 20 69 73 16 16 11 65 11 57 14 11 28 10 12 33 22 0 9 50
"sweet" 5 8 5 8 6 11 4 3 9 6 10 30 21 11 5 6 35 6 26 9 9 10 7 6 18 9 9 0 25
"young" 32 24 39 25 27 59 20 17 29 22 46 154 131 40 31 21 143 30 129 45 38 65 29 26 74 40 50 25 0
