"terms";"clusters"
"affectionate";1
"afraid";3
"agreeable";3
"anxious";3
"ashamed";1
"bad";1
"beautiful";3
"certain";1
"charming";3
"comfortable";1
"delightful";2
"eager";1
"excellent";3
"extraordinary";1
"fair";1
"fine";2
"glad";2
"good";2
"great";2
"handsome";3
"happy";2
"interesting";1
"kind";1
"little";2
"natural";1
"old";2
"open";3
"pleasant";1
"pleased";1
"poor";2
"pretty";3
"proper";1
"remarkable";1
"satisfied";1
"short";2
"strange";3
"strong";1
"surprised";3
"sweet";1
"tired";3
"young";2
