"terms";"clusters"
"#-ashamed";97
"#-eager";58
"#-warm";96
"#-weak";109
"#-wise";93
"abusive";65
"accomplished";105
"active";61
"admirable";107
"affectionate";84
"afraid";32
"aggravating";61
"agreeable";1
"alone";122
"amazing";69
"amusing";30
"angry";80
"anxious";2
"argumentative";57
"arrogant";82
"artificial";95
"ashamed";16
"attentive";29
"attractive";21
"average";113
"awake";11
"awful";53
"awkward";65
"bad";18
"beautiful";50
"big";91
"bitter";97
"blind";38
"bold";52
"bored";117
"brave";112
"bright";2
"busy";10
"calm";31
"capable";66
"careful";25
"careless";87
"cautious";6
"certain";32
"charming";4
"cheap";55
"cheerful";1
"childish";3
"clean";36
"clever";68
"cold";73
"comfortable";98
"comical";109
"compassionate";72
"competent";96
"complicated";76
"confident";74
"confused";33
"considerate";51
"consistent";82
"controversial";54
"cool";44
"courageous";65
"crazy";102
"cruel";60
"curious";123
"dangerous";91
"decent";92
"delighted";12
"delightful";82
"dependent";7
"depressed";54
"desirable";105
"determined";9
"devoted";25
"difficult";123
"direct";33
"disabled";58
"disappointed";107
"disgusting";101
"dishonest";34
"dumb";48
"eager";63
"effective";82
"elderly";56
"energetic";31
"enthusiastic";28
"evil";26
"excellent";10
"excited";13
"exhausted";110
"experienced";74
"expressive";41
"extraordinary";40
"fair";116
"faithful";64
"familiar";83
"famous";27
"fat";56
"feminine";90
"fine";37
"foolish";9
"forgiving";104
"fortunate";46
"friendly";36
"furious";58
"generous";30
"gentle";2
"genuine";22
"giving";109
"glad";73
"good";70
"graceful";59
"gracious";36
"grateful";94
"great";45
"greedy";12
"handsome";14
"happy";37
"hard";37
"healthy";8
"helpless";53
"honest";23
"hopeful";85
"hostile";78
"humorous";106
"ignorant";120
"imaginative";3
"impatient";39
"important";31
"impressive";9
"impulsive";51
"inconsiderate";117
"independent";118
"inexperienced";30
"innocent";123
"insane";78
"intellectual";69
"intelligent";27
"interested";119
"interesting";83
"involved";54
"irrational";96
"kind";84
"lazy";86
"liberal";76
"little";70
"logical";57
"lonely";3
"loud";103
"loving";114
"mature";28
"mean";84
"modest";24
"natural";122
"neat";55
"nervous";79
"nice";93
"noisy";71
"observant";106
"offensive";90
"old";45
"open";100
"ordinary";108
"original";93
"outspoken";20
"pathetic";49
"patient";62
"peaceful";109
"persistent";101
"plain";47
"pleasant";2
"pleased";39
"polite";43
"poor";17
"popular";5
"powerful";63
"practical";15
"pretty";81
"private";14
"professional";68
"prominent";56
"prompt";78
"proper";42
"prosperous";13
"proud";1
"punctual";113
"quiet";18
"reasonable";4
"religious";74
"remarkable";122
"respectable";113
"respected";71
"respectful";60
"rich";116
"ridiculous";98
"romantic";76
"rough";64
"rude";6
"sad";34
"satisfied";39
"scared";67
"selfish";99
"sensible";81
"sentimental";120
"serious";111
"short";18
"sincere";102
"sleepy";102
"slender";56
"slim";88
"social";119
"stable";35
"straightforward";93
"strange";1
"strict";95
"strong";115
"stubborn";13
"stupid";26
"successful";107
"surprised";40
"suspicious";66
"sweet";3
"sympathetic";82
"tall";19
"terrible";67
"thankful";108
"thin";116
"thoughtful";38
"tired";80
"troubled";116
"trustworthy";6
"uncomfortable";11
"unhappy";75
"unlucky";41
"unreasonable";89
"unusual";86
"useful";24
"valuable";54
"violent";44
"warm";77
"weak";2
"wealthy";6
"well";77
"wise";54
"wonderful";83
"worthy";121
"young";45
"tough";65
"terrific";90
"youthful";52
"thorough";106
