"terms";"clusters"
"#-alone";70
"#-awake";5
"#-bad";28
"#-clean";102
"#-cold";29
"#-considerate";7
"#-cruel";7
"#-determined";58
"#-encouraging";41
"#-fat";20
"#-gracious";35
"#-handsome";7
"#-interesting";52
"#-kind";130
"#-little";118
"#-mean";80
"#-old";8
"#-satisfied";64
"#-sentimental";70
"#-surprised";78
"#-suspicious";64
"accomplished";79
"active";62
"admirable";47
"affectionate";4
"afraid";48
"aggravating";64
"agreeable";74
"alone";113
"amazing";27
"ambitious";130
"amusing";111
"angry";132
"annoying";5
"anxious";53
"argumentative";77
"artificial";114
"ashamed";50
"attentive";73
"average";86
"awake";84
"awful";106
"awkward";51
"bad";126
"bashful";13
"beautiful";113
"big";21
"bitter";112
"blind";88
"bold";105
"brave";62
"bright";48
"brilliant";121
"busy";135
"calm";3
"capable";136
"careful";66
"careless";88
"casual";68
"cautious";127
"certain";9
"charming";90
"cheap";106
"cheerful";56
"childish";94
"chubby";20
"clean";36
"clever";33
"clumsy";52
"cold";113
"comfortable";74
"comical";15
"compassionate";15
"complicated";127
"concerned";86
"confident";13
"confused";122
"confusing";54
"conscientious";26
"considerate";136
"consistent";16
"cool";65
"courteous";93
"crazy";96
"critical";100
"cruel";97
"curious";12
"cute";100
"dangerous";50
"daring";35
"decent";40
"delighted";132
"delightful";136
"dependent";17
"depressed";61
"desirable";33
"determined";19
"devoted";69
"difficult";12
"direct";59
"disappointed";109
"disrespectful";67
"distinguished";106
"dumb";95
"eager";36
"efficient";131
"elderly";37
"embarrassed";28
"embarrassing";34
"encouraged";118
"encouraging";109
"energetic";54
"enthusiastic";99
"evil";50
"excellent";135
"excited";11
"exciting";32
"exhausted";63
"experienced";111
"expressive";120
"extraordinary";56
"fair";113
"faithful";69
"familiar";104
"famous";60
"fat";21
"feminine";102
"fine";137
"firm";60
"flexible";87
"foolish";112
"forgetful";11
"forgiving";25
"fortunate";37
"friendly";57
"funny";118
"generous";40
"gentle";56
"genuine";18
"gifted";103
"glad";9
"good";91
"gorgeous";16
"graceful";89
"gracious";105
"grateful";138
"great";91
"greedy";123
"handsome";57
"happy";10
"hard";81
"harmless";121
"healthy";49
"helpless";117
"hilarious";80
"honest";129
"hopeful";18
"hostile";87
"humorous";82
"ignorant";17
"imaginative";93
"impatient";50
"important";133
"impressive";47
"inconsiderate";54
"independent";39
"inexperienced";111
"influential";119
"informal";72
"innocent";112
"intellectual";27
"intelligent";123
"interested";14
"interesting";76
"involved";124
"irritable";35
"irritated";117
"jealous";60
"joyful";19
"kind";56
"lazy";96
"liberal";44
"little";91
"lively";137
"logical";87
"lonely";116
"loud";135
"lovely";95
"loving";1
"lucky";49
"masculine";77
"mature";118
"mean";120
"modest";46
"moody";22
"natural";113
"neat";106
"needy";31
"negative";123
"neglected";35
"nervous";62
"nice";4
"noisy";133
"obnoxious";125
"observant";119
"offensive";6
"old";23
"open";10
"ordinary";51
"original";92
"passionate";32
"pathetic";139
"patient";119
"peaceful";110
"perceptive";64
"persuasive";82
"plain";55
"playful";71
"pleasant";10
"pleased";97
"pleasing";130
"polite";44
"poor";9
"popular";43
"positive";30
"powerful";116
"practical";59
"pretty";50
"private";137
"professional";135
"prompt";115
"proper";107
"prosperous";100
"proud";138
"punctual";83
"quiet";48
"reasonable";133
"reckless";108
"religious";115
"remarkable";81
"respectable";47
"respected";61
"respectful";83
"responsible";134
"rich";53
"ridiculous";4
"romantic";64
"rough";40
"rude";96
"sad";4
"sarcastic";25
"satisfied";40
"scared";42
"secure";54
"selfish";4
"sensible";62
"sensitive";16
"sentimental";67
"serious";132
"shallow";108
"short";9
"shy";75
"sincere";98
"skillful";1
"skinny";128
"slender";54
"slim";94
"smart";3
"sociable";2
"social";51
"spoiled";102
"spontaneous";134
"stable";13
"stingy";72
"straightforward";98
"strange";10
"strict";16
"strong";9
"stubborn";85
"stupid";1
"successful";95
"superstitious";127
"surprised";53
"suspicious";13
"sweet";56
"sympathetic";26
"talented";67
"talkative";101
"tall";84
"terrible";55
"terrific";70
"thankful";11
"thin";122
"thorough";78
"thoughtful";57
"thoughtless";19
"tiny";38
"tired";24
"tolerant";52
"tough";73
"troubled";83
"truthful";31
"uncomfortable";66
"ungraceful";102
"unhappy";4
"unlucky";63
"unreasonable";33
"unusual";76
"upset";64
"useful";45
"valuable";33
"violent";4
"warm";135
"wasteful";85
"weak";14
"wealthy";109
"well";12
"wise";133
"witty";82
"wonderful";90
"worthy";129
"young";23
"unfriendly";72
"unpopular";103
"youthful";125
"unfair";124
