"terms";"clusters"
"#-bold";50
"#-clever";50
"#-good";35
"#-handsome";31
"#-mean";33
"#-offensive";66
"#-plain";104
"#-pleased";91
"#-tired";63
"abusive";41
"accomplished";80
"active";78
"admirable";40
"affectionate";55
"afraid";30
"agreeable";30
"alone";3
"amazing";69
"amusing";20
"angry";82
"annoyed";94
"anxious";42
"arrogant";96
"artificial";63
"ashamed";55
"attentive";56
"awake";15
"awful";104
"awkward";56
"bad";3
"bashful";86
"beautiful";18
"bitter";81
"blind";32
"bold";103
"bright";4
"busy";98
"calm";88
"capable";45
"careful";68
"careless";47
"casual";62
"cautious";87
"certain";30
"charming";2
"cheap";100
"cheerful";77
"clever";28
"cold";60
"comfortable";60
"compassionate";47
"compatible";70
"conceited";38
"concerned";79
"confident";11
"confused";33
"conscientious";10
"consistent";101
"cool";85
"courteous";50
"creative";91
"critical";75
"cruel";32
"curious";34
"dangerous";38
"daring";97
"decent";40
"delighted";74
"delightful";21
"dependent";75
"depressed";71
"desirable";52
"determined";56
"difficult";74
"direct";48
"disappointed";14
"disgusting";106
"disrespectful";10
"distinguished";57
"disturbed";103
"eager";9
"elderly";63
"embarrassed";29
"encouraged";33
"encouraging";48
"energetic";98
"evil";73
"excellent";53
"excited";35
"exciting";35
"exhausted";43
"expressive";6
"extraordinary";12
"fair";25
"faithful";6
"familiar";34
"fine";8
"firm";89
"foolish";59
"fortunate";21
"friendly";27
"generous";95
"gentle";16
"genuine";86
"glad";42
"good";23
"graceful";92
"gracious";77
"grateful";60
"great";23
"handsome";42
"happy";23
"hard";65
"healthy";104
"honest";19
"ignorant";9
"impatient";22
"important";56
"impressive";61
"independent";89
"innocent";70
"intelligent";78
"interested";37
"interesting";45
"irritable";67
"jealous";84
"joyful";17
"kind";55
"liberal";101
"little";23
"lively";82
"lovely";93
"lucky";39
"mature";102
"mean";64
"modest";100
"natural";13
"neat";43
"negative";97
"nervous";78
"nice";64
"noisy";44
"offensive";106
"old";3
"open";22
"ordinary";99
"original";78
"plain";65
"playful";31
"pleasant";36
"pleased";30
"pleasing";8
"polite";1
"poor";42
"popular";15
"positive";17
"powerful";1
"pretty";18
"private";54
"productive";10
"prompt";84
"proper";13
"prosperous";80
"proud";2
"punctual";93
"quiet";24
"reasonable";9
"remarkable";39
"respectable";12
"respected";5
"respectful";10
"rich";74
"ridiculous";105
"romantic";47
"rough";62
"rude";48
"sad";83
"sarcastic";63
"satisfied";53
"secure";59
"selfish";64
"sensible";30
"serious";55
"short";30
"shy";49
"sincere";22
"smart";46
"social";62
"strange";22
"strong";18
"stupid";58
"successful";76
"surprised";53
"suspicious";94
"sweet";72
"tall";28
"terrific";102
"thankful";65
"thin";7
"thorough";49
"thoughtful";33
"tired";26
"uncomfortable";27
"unhappy";54
"unlucky";52
"unreasonable";51
"unusual";100
"useful";90
"valuable";95
"violent";54
"warm";77
"weak";95
"well";14
"wise";87
"witty";66
"wonderful";44
"worthy";85
"young";23
"thoughtless";5
"pathetic";61
