"terms";"clusters"
"#-little";8
"admirable";3
"afraid";29
"alone";27
"ashamed";22
"bad";2
"big";18
"bitter";14
"blind";11
"bold";16
"bright";32
"capable";24
"childish";1
"cold";32
"conceited";8
"concerned";12
"corrupt";23
"curious";10
"dedicated";13
"delighted";21
"determined";12
"direct";23
"dishonest";15
"distinguished";11
"eager";10
"excellent";2
"familiar";20
"famous";25
"fat";27
"fine";6
"friendly";32
"gentle";31
"glad";17
"good";28
"gorgeous";24
"gracious";12
"great";28
"happy";3
"hard";30
"honest";6
"ignorant";9
"important";11
"innocent";6
"insulting";23
"little";4
"modest";20
"natural";14
"nice";21
"old";9
"open";33
"ordinary";3
"passionate";15
"patient";19
"plain";12
"pleasant";25
"pleased";25
"pleasing";14
"proper";30
"proud";8
"quiet";29
"reasonable";31
"rebellious";7
"rich";28
"rough";24
"sad";22
"serious";1
"short";5
"sincere";32
"slender";27
"strange";31
"strong";22
"sweet";17
"tall";23
"terrible";18
"thorough";26
"violent";26
"well";24
"wise";33
"ridiculous";8
"young";5
"troubled";19
"impatient";16
"thin";7
"superstitious";27
"wonderful";13
"tough";16
