"root_node_id" "tag"
"1" "#-embarrassed"
"1" "affectionate"
"1" "agreeable"
"1" "bitter"
"1" "competent"
"1" "desirable"
"1" "excellent"
"1" "famous"
"1" "good"
"1" "great"
"1" "happy"
"1" "hard"
"1" "mean"
"1" "natural"
"1" "satisfied"
"1" "serious"
"1" "wise"
"1" "young"
"2" "determined"
"2" "foolish"
"2" "little"
"2" "old"
"2" "ordinary"
"2" "pleasant"
"2" "short"
"3" "calm"
"3" "charming"
"3" "cheerful"
"3" "delightful"
"3" "fine"
"3" "rough"
"3" "sad"
"3" "strong"
"3" "terrible"
"4" "sensible"
"4" "stupid"
"4" "surprised"
"4" "violent"
"5" "concerned"
"5" "loud"
"5" "open"
"5" "plain"
"5" "strange"
"5" "unhappy"
"6" "#-ashamed"
"6" "irrational"
"7" "evil"
"7" "honest"
"7" "strict"
"7" "successful"
"8" "clean"
"8" "encouraging"
"8" "fair"
"8" "proper"
"9" "faithful"
"9" "quiet"
"10" "bad"
"10" "furious"
"10" "glad"
"10" "poor"
"13" "admirable"
"13" "afraid"
"13" "curious"
"13" "slender"
"13" "thankful"
"14" "certain"
"14" "friendly"
"15" "generous"
"15" "kind"
"15" "prosperous"
"15" "rich"
"16" "consistent"
"16" "handsome"
"16" "sincere"
"16" "valuable"
"18" "disabled"
"19" "helpless"
"20" "big"
"20" "comfortable"
"21" "reasonable"
"22" "useful"
"23" "confused"
"24" "capable"
"24" "pleased"
"25" "firm"
"25" "healthy"
"25" "secure"
"26" "anxious"
"26" "difficult"
"26" "shy"
"27" "depressed"
"28" "negative"
"28" "positive"
"29" "blind"
"29" "thin"
"29" "tired"
"32" "jealous"
"32" "remarkable"
"33" "busy"
"33" "religious"
"33" "scared"
"37" "bright"
"37" "cold"
"37" "cruel"
"37" "ignorant"
"37" "rebellious"
"37" "weak"
"38" "distinguished"
"38" "thoughtless"
"39" "dumb"
"40" "lively"
"40" "well"
"41" "dangerous"
"42" "cool"
"43" "careful"
"43" "extraordinary"
"45" "beautiful"
"45" "tough"
"46" "sweet"
"47" "gentle"
"47" "impatient"
"47" "loving"
"47" "wonderful"
"51" "awkward"
"54" "awake"
"54" "delighted"
"56" "fortunate"
"57" "alone"
"57" "sociable"
"57" "warm"
"58" "eager"
"59" "exhausted"
"61" "#-handsome"
"61" "clumsy"
"61" "joyful"
"62" "familiar"
"63" "crazy"
"64" "tall"
"65" "embarrassed"
"66" "#-worthy"
"67" "casual"
"67" "ridiculous"
"69" "careless"
"69" "private"
"70" "cautious"
"72" "innocent"
"74" "#-extraordinary"
"75" "bold"
"77" "thorough"
"83" "original"
"83" "unlucky"
"88" "angry"
"89" "helpful"
"93" "#-strong"
"95" "#-familiar"
"95" "grateful"
"97" "#-angry"
"101" "brave"
"102" "rude"
"103" "offensive"
"108" "passionate"
"110" "amazing"
"112" "powerful"
"116" "unfaithful"
"120" "wealthy"
"122" "#-kind"
"126" "nice"
"128" "experienced"
"130" "complicated"
"131" NA
"131" "131"
