"terms";"clusters"
"#-ashamed";70
"#-eager";81
"#-warm";97
"#-weak";12
"#-wise";99
"abusive";14
"accomplished";98
"active";73
"admirable";18
"affectionate";62
"afraid";47
"aggravating";97
"agreeable";64
"alone";66
"amazing";99
"amusing";58
"angry";50
"anxious";87
"argumentative";90
"arrogant";58
"artificial";15
"ashamed";76
"attentive";79
"attractive";21
"average";57
"awake";26
"awful";28
"awkward";14
"bad";60
"beautiful";104
"big";40
"bitter";70
"blind";45
"bold";102
"bored";2
"brave";6
"bright";87
"busy";42
"calm";105
"capable";95
"careful";13
"careless";7
"cautious";78
"certain";47
"charming";85
"cheap";96
"cheerful";64
"childish";13
"clean";3
"clever";15
"cold";66
"comfortable";53
"comical";12
"compassionate";19
"competent";73
"complicated";33
"confident";11
"confused";23
"considerate";39
"consistent";41
"controversial";4
"cool";65
"courageous";14
"crazy";27
"cruel";37
"curious";71
"dangerous";86
"decent";46
"delighted";24
"delightful";12
"dependent";99
"depressed";4
"desirable";98
"determined";38
"devoted";13
"difficult";71
"direct";35
"disabled";70
"disappointed";34
"disgusting";18
"dishonest";83
"dumb";54
"eager";56
"effective";41
"elderly";83
"energetic";35
"enthusiastic";101
"evil";94
"excellent";42
"excited";15
"exhausted";89
"experienced";11
"expressive";5
"extraordinary";31
"fair";75
"faithful";53
"familiar";74
"famous";32
"fat";83
"feminine";58
"fine";82
"foolish";77
"forgiving";73
"fortunate";100
"friendly";3
"furious";70
"generous";58
"gentle";87
"genuine";43
"giving";41
"glad";66
"good";30
"graceful";52
"gracious";37
"grateful";45
"great";67
"greedy";38
"handsome";72
"happy";82
"hard";82
"healthy";92
"helpless";28
"honest";69
"hopeful";19
"hostile";1
"humorous";29
"ignorant";93
"imaginative";68
"impatient";22
"important";35
"impressive";7
"impulsive";39
"inconsiderate";2
"independent";19
"inexperienced";41
"innocent";71
"insane";1
"intellectual";20
"intelligent";77
"interested";85
"interesting";65
"involved";4
"irrational";73
"kind";62
"lazy";17
"liberal";21
"little";30
"logical";90
"lonely";68
"loud";10
"loving";103
"mature";105
"mean";63
"modest";94
"natural";66
"neat";96
"nervous";43
"nice";96
"noisy";54
"observant";29
"offensive";81
"old";67
"open";69
"ordinary";49
"original";23
"outspoken";90
"pathetic";28
"patient";31
"peaceful";41
"persistent";18
"plain";55
"pleasant";87
"pleased";63
"polite";19
"poor";51
"popular";19
"powerful";17
"practical";69
"pretty";80
"private";104
"professional";1
"prominent";83
"prompt";1
"proper";9
"prosperous";1
"proud";64
"punctual";57
"quiet";60
"reasonable";93
"religious";11
"remarkable";66
"respectable";57
"respected";54
"respectful";37
"rich";75
"ridiculous";62
"romantic";33
"rough";79
"rude";78
"sad";70
"satisfied";63
"scared";91
"selfish";59
"sensible";9
"sentimental";44
"serious";89
"short";60
"sincere";97
"sleepy";27
"slender";83
"slim";83
"social";8
"stable";16
"straightforward";99
"strange";71
"strict";15
"strong";82
"stubborn";15
"stupid";94
"successful";34
"surprised";72
"suspicious";100
"sweet";68
"sympathetic";58
"tall";103
"terrible";61
"thankful";16
"thin";75
"thoughtful";25
"tired";50
"troubled";84
"trustworthy";78
"uncomfortable";26
"unhappy";103
"unlucky";79
"unreasonable";32
"unusual";17
"useful";88
"valuable";4
"violent";10
"warm";24
"weak";87
"wealthy";78
"well";48
"wise";4
"wonderful";74
"worthy";36
"young";67
"tough";14
"terrific";101
"youthful";102
"thorough";29
