"terms";"clusters"
"#-accomplished";3
"#-afraid";117
"#-agreeable";87
"#-angry";137
"#-anxious";154
"#-ashamed";143
"#-bad";172
"#-blind";61
"#-calm";138
"#-careful";152
"#-certain";141
"#-cold";170
"#-confident";34
"#-cruel";46
"#-daring";154
"#-delighted";131
"#-dependent";108
"#-difficult";22
"#-disappointed";23
"#-eager";94
"#-entertaining";87
"#-extraordinary";166
"#-fair";83
"#-fine";154
"#-glad";154
"#-good";17
"#-graceful";108
"#-happy";102
"#-hard";39
"#-ignorant";175
"#-impatient";136
"#-interested";127
"#-little";23
"#-mean";103
"#-natural";83
"#-nice";20
"#-old";11
"#-pleasant";150
"#-popular";1
"#-proper";151
"#-proud";166
"#-respectful";127
"#-responsible";166
"#-rich";75
"#-ridiculous";147
"#-rough";61
"#-satisfied";61
"#-selfish";37
"#-serious";77
"#-skilled";147
"#-surprised";173
"#-thoughtful";138
"#-useful";150
"#-violent";1
"#-young";27
"accomplished";52
"active";107
"admirable";134
"adventurous";39
"affectionate";96
"afraid";57
"aggravating";171
"agreeable";44
"alert";72
"alone";130
"amazing";54
"ambitious";151
"amusing";101
"angry";81
"annoying";1
"anxious";114
"argumentative";136
"arrogant";29
"artificial";60
"ashamed";168
"attentive";74
"attractive";8
"average";170
"awful";45
"awkward";146
"bad";114
"bashful";85
"beautiful";89
"big";122
"bitter";105
"blind";125
"bold";92
"bright";96
"brilliant";168
"busy";32
"calm";99
"capable";156
"careful";32
"careless";88
"casual";120
"cautious";39
"certain";161
"charming";121
"cheap";86
"cheerful";49
"childish";98
"chubby";20
"clean";113
"clever";86
"clumsy";34
"cold";89
"comfortable";15
"comical";77
"compassionate";162
"competent";162
"complicated";80
"concerned";1
"confident";174
"confused";109
"confusing";152
"conscientious";43
"considerate";16
"cool";168
"courteous";103
"crazy";68
"critical";56
"cruel";12
"curious";111
"dangerous";141
"daring";78
"decent";14
"delighted";81
"delightful";146
"dependent";82
"depressed";170
"desirable";45
"determined";31
"devoted";59
"difficult";47
"direct";77
"disappointed";137
"disrespectful";27
"distinguished";177
"disturbed";60
"dumb";6
"eager";148
"elderly";88
"embarrassed";91
"embarrassing";109
"encouraging";23
"energetic";21
"entertaining";28
"enthusiastic";14
"evil";99
"excellent";164
"excited";80
"exciting";106
"exhausted";147
"experienced";75
"expressive";92
"extraordinary";115
"fair";64
"faithful";107
"familiar";74
"famous";102
"fascinating";11
"fat";32
"feminine";11
"fine";176
"firm";117
"foolish";81
"fortunate";119
"friendly";122
"funny";9
"furious";18
"generous";169
"gentle";110
"genuine";66
"gifted";56
"glad";89
"good";53
"good-for-nothing";135
"good-looking";128
"good-natured";122
"gorgeous";50
"graceful";132
"gracious";157
"grateful";76
"great";53
"greedy";66
"handsome";64
"happy";30
"hard";161
"hard-working";23
"harmless";159
"healthy";95
"helpless";148
"honest";64
"hopeful";28
"hostile";54
"humorous";149
"ignorant";9
"impatient";93
"important";157
"impressive";67
"inconsiderate";90
"independent";79
"inexperienced";50
"influential";41
"innocent";107
"insane";170
"insulting";40
"intellectual";120
"intelligent";70
"interested";47
"interesting";92
"irritable";140
"irritated";95
"jealous";100
"joyful";22
"kind";55
"kind-hearted";156
"laughing";131
"lazy";139
"liberal";104
"little";53
"lively";132
"logical";10
"lonely";35
"lonesome";85
"loud";161
"lovely";146
"loving";169
"lucky";111
"masculine";118
"mature";166
"mean";172
"modest";48
"motherly";123
"muscular";3
"natural";114
"neat";95
"needy";147
"nervous";100
"nice";142
"noisy";141
"offensive";18
"old";53
"old-fashioned";77
"open";116
"ordinary";44
"original";69
"outstanding";24
"passionate";36
"pathetic";19
"patient";165
"peaceful";16
"persuasive";46
"plain";163
"playful";60
"pleasant";7
"pleased";55
"polite";128
"poor";33
"popular";52
"positive";51
"powerful";76
"practical";124
"pretty";142
"private";69
"productive";144
"professional";58
"prominent";149
"prompt";160
"proper";5
"prosperous";120
"proud";96
"punctual";126
"quiet";7
"reasonable";97
"rebellious";117
"reckless";73
"religious";112
"remarkable";57
"respectable";158
"respectful";141
"responsible";145
"rich";110
"ridiculous";177
"romantic";48
"rough";163
"rude";1
"sad";100
"sarcastic";97
"satisfied";156
"selfish";35
"sensible";27
"sensitive";102
"sentimental";2
"serious";25
"shallow";153
"short";33
"sincere";73
"skilled";3
"skinny";28
"sleepy";37
"slender";169
"slim";4
"sloppy";31
"smart";113
"social";117
"stable";62
"straightforward";79
"strange";110
"strict";59
"strong";65
"stuck-up";130
"stupid";177
"successful";88
"superstitious";138
"surprised";113
"suspicious";71
"sweet";44
"sympathetic";133
"talented";63
"talkative";112
"tall";13
"terrible";93
"terrific";160
"thankful";167
"thin";148
"thorough";63
"thoughtful";141
"thoughtless";126
"tiny";39
"tired";107
"tough";129
"troubled";38
"trustworthy";123
"uncomfortable";74
"unemployed";127
"unfriendly";26
"unhappy";15
"unpopular";54
"unreasonable";27
"unusual";163
"useful";107
"valuable";68
"violent";42
"warm";25
"warm-hearted";155
"weak";15
"wealthy";34
"wise";84
"witty";104
"wonderful";77
"worthy";7
"young";53
"youthful";52
"well-known";127
