"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"1","little",591,142,140,58,73,92,86
"2","good",577,132,135,57,74,93,86
"3","great",534,130,120,54,60,86,84
"4","young",394,96,78,47,43,70,60
"5","happy",352,85,76,35,43,52,61
"6","short",243,53,46,34,39,34,37
"7","poor",225,70,52,21,28,23,31
"8","glad",201,41,51,23,25,27,34
"9","old",201,59,46,23,29,13,31
"10","agreeable",176,38,41,16,29,34,18
"11","fine",157,31,39,24,23,20,20
"12","natural",153,41,35,11,18,19,29
"13","afraid",151,44,30,15,12,31,19
"14","strong",148,35,40,10,23,15,25
"15","satisfied",143,36,37,10,18,21,21
"16","anxious",142,28,35,16,17,22,24
"17","certain",136,24,22,11,12,38,29
"18","pleased",136,34,29,10,15,27,21
"19","kind",131,41,33,13,12,17,15
"20","bad",127,38,38,8,21,13,9
"21","open",124,26,21,18,20,11,28
"22","proper",120,36,24,8,16,16,20
"23","pleasant",117,30,36,12,11,17,11
"24","handsome",115,25,18,18,13,22,19
"25","sensible",112,24,18,7,21,31,11
"26","serious",110,23,28,4,15,19,21
"27","comfortable",107,29,25,11,11,11,20
"28","delightful",105,33,17,18,6,17,14
"29","excellent",101,25,19,11,18,18,10
"30","cold",100,32,17,7,11,14,19
"31","fair",97,22,28,11,11,17,8
"32","pretty",96,20,27,11,11,11,16
"33","eager",89,18,18,12,10,13,18
"34","interesting",87,27,13,8,10,14,15
"35","ashamed",86,21,20,12,9,15,9
"36","quiet",84,24,22,8,11,7,12
"37","warm",81,25,20,6,14,6,10
"38","angry",75,15,20,9,4,17,10
"39","determined",75,13,21,7,12,9,13
"40","surprised",75,0,18,13,7,21,16
"41","delighted",74,20,14,7,11,11,11
"42","cheerful",73,27,13,7,8,6,12
"43","sweet",71,20,17,11,7,6,10
"44","capable",70,6,21,5,8,14,16
"45","alone",69,10,18,7,7,11,16
"46","extraordinary",69,19,8,7,10,16,9
"47","strange",69,12,9,19,3,10,16
"48","useful",69,19,31,3,8,6,2
"49","affectionate",68,7,13,10,3,16,19
"50","beautiful",68,18,10,11,5,12,12
"51","respectable",67,18,15,4,5,13,12
"52","important",66,17,14,7,6,10,12
"53","unhappy",66,15,11,6,4,12,18
"54","charming",65,17,4,15,2,16,11
"55","pleasing",65,18,8,6,6,18,9
"56","rich",65,14,9,8,9,11,14
"57","reasonable",63,18,12,4,5,12,12
"58","private",61,10,17,6,6,11,11
"59","lively",60,9,18,6,6,14,7
"60","gentle",58,14,17,7,7,5,8
"61","grateful",58,14,13,4,4,12,11
"62","desirable",56,15,13,2,10,11,5
"63","impatient",54,11,12,8,6,8,9
"64","clever",53,17,13,5,7,6,5
"65","fortunate",52,23,5,3,2,15,4
"66","friendly",52,18,12,2,7,7,6
"67","sad",50,21,14,3,5,4,3
"68","tired",49,14,10,12,5,3,5
"69","busy",46,18,12,4,4,1,7
"70","disappointed",43,11,5,8,2,7,10
"71","nice",42,9,11,3,9,5,5
"72","difficult",41,7,10,4,4,11,5
"73","interested",41,11,9,4,3,6,8
"74","plain",41,12,5,7,5,8,4
"75","proud",41,6,5,2,4,17,7
"76","well",39,14,4,4,5,8,4
"77","selfish",38,4,10,3,4,6,11
"78","uncomfortable",38,5,6,8,2,7,10
"79","ignorant",37,9,3,4,2,14,5
"80","wonderful",37,12,12,5,3,2,3
"81","active",36,7,10,2,5,4,8
"82","sincere",36,5,3,5,4,9,10
"83","independent",35,9,11,4,2,2,7
"84","valuable",35,8,7,2,5,8,5
"85","violent",35,2,1,6,2,10,14
"86","worthy",35,18,3,5,5,3,1
"87","awkward",33,11,5,1,3,10,3
"88","calm",33,4,7,3,3,3,13
"89","foolish",33,8,8,5,2,6,4
"90","hard",33,8,8,3,3,7,4
"91","lovely",33,10,9,2,5,3,4
"92","thankful",33,5,10,2,3,8,5
"93","attentive",32,8,6,1,4,9,4
"94","lucky",32,5,5,3,4,6,9
"95","concerned",31,10,4,3,3,6,5
"96","generous",31,4,6,5,2,9,5
"97","tall",31,6,8,2,3,7,5
"98","positive",30,4,4,9,3,3,7
"99","secure",29,5,5,7,2,5,5
"100","unreasonable",29,8,10,1,1,7,2
"101","dangerous",27,8,6,1,8,1,3
"102","remarkable",27,3,3,8,4,7,2
"103","thorough",27,12,4,1,2,3,5
"104","honest",26,5,6,7,1,1,6
"105","modest",26,3,15,1,3,2,2
"106","cruel",25,4,3,2,4,4,8
"107","nervous",25,10,3,0,3,4,5
"108","stupid",25,3,6,6,1,4,5
"109","unlucky",25,4,7,0,1,10,3
"110","careless",23,3,7,4,5,2,2
"111","jealous",23,3,3,4,5,3,5
"112","liberal",23,7,3,4,2,3,4
"113","careful",22,5,2,0,5,4,6
"114","direct",22,6,4,2,3,3,4
"115","ridiculous",22,4,5,2,0,4,7
"116","weak",21,5,3,0,4,7,2
"117","decent",20,1,2,5,6,3,3
"118","wise",20,4,1,3,4,5,3
"119","blind",19,8,3,0,1,5,2
"120","polite",19,2,1,3,4,5,4
"121","bright",18,2,4,5,5,1,1
"122","cautious",18,6,2,0,4,4,2
"123","cool",18,4,4,2,5,2,1
"124","genuine",18,3,7,3,0,2,3
"125","thoughtful",18,4,6,0,3,1,4
"126","unusual",18,5,6,3,1,1,2
"127","neat",17,6,3,3,2,1,2
"128","rude",17,6,1,3,0,3,4
"129","amusing",16,5,3,2,3,2,1
"130","curious",16,3,3,1,3,5,1
"131","joyful",16,3,5,4,0,2,2
"132","loud",16,2,6,4,0,0,4
"133","noisy",16,2,5,1,1,3,4
"134","ordinary",16,2,2,4,0,3,5
"135","original",16,5,3,1,1,5,1
"136","powerful",16,5,3,0,4,3,1
"137","smart",16,0,1,3,1,2,9
"138","confident",15,3,2,2,2,3,3
"139","embarrassed",15,1,2,3,2,5,2
"140","evil",15,6,5,0,2,1,1
"141","gracious",15,2,1,2,0,7,3
"142","intelligent",15,4,1,2,3,4,1
"143","strict",15,3,4,2,4,0,2
"144","thin",15,3,1,2,2,5,2
"145","awake",14,2,5,3,1,2,1
"146","awful",14,0,4,4,2,1,3
"147","familiar",14,3,5,1,1,3,1
"148","graceful",14,4,2,2,1,1,4
"149","successful",14,3,4,2,1,3,1
