"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"#-alone";30;24;1;15;0,8;"#-alone";4,32861669712311;"#-alone";0,910569087983622;"#-alone";119;"#-alone";0,224562474562474;"#-alone";0,179530613124371
"#-bad";9;9;0;0;1;"#-bad";4,69735943189859;"#-bad";0,841293550156127;"#-bad";266;"#-bad";0,0463531015678255;"#-bad";0,452760219573975
"#-beautiful";11;11;0;0;1;"#-beautiful";4,69622170847701;"#-beautiful";0,842228223680718;"#-beautiful";264;"#-beautiful";0,0468555900621118;"#-beautiful";0,455941557884216
"#-cold";8;8;0;0;1;"#-cold";4,74177709387287;"#-cold";0,834294104768621;"#-cold";294;"#-cold";0,0319064211050274;"#-cold";0,534497976303101
"#-good";20;20;0;0;1;"#-good";4,59180551854209;"#-good";0,864225015302382;"#-good";203;"#-good";0,0984623015873016;"#-good";0,337337970733643
"#-interested";30;27;1;235;0,9;"#-interested";4,276976839735;"#-interested";0,897630009143207;"#-interested";172,5;"#-interested";0,216355463347165;"#-interested";0,259648889303208
"#-little";50;37;4;38,5;0,74;"#-little";4,69107263723352;"#-little";0,842081789982073;"#-little";264,4;"#-little";0,0495372628902051;"#-little";0,459991234540939
"#-old";17;17;0;0;1;"#-old";4,7413976362027;"#-old";0,834727738497929;"#-old";293;"#-old";0,032280914794576;"#-old";0,533306121826172
"#-pleasant";20;20;0;0;1;"#-pleasant";4,16255767058417;"#-pleasant";0,932074185135317;"#-pleasant";87;"#-pleasant";0,3;"#-pleasant";0,135904490947723
"#-unreasonable";18;18;0;0;1;"#-unreasonable";3,95630717804713;"#-unreasonable";0,947757580275018;"#-unreasonable";65;"#-unreasonable";0,375;"#-unreasonable";0,063492089509964
"#-wise";20;20;0;0;1;"#-wise";4,37717492598227;"#-wise";0,902132651259733;"#-wise";128;"#-wise";0,197463768115942;"#-wise";0,199436068534851
"active";125;71;7;24,7142857142857;0,568;"active";4,57418743482161;"active";0,864629883032181;"active";215,5;"active";0,104484273671304;"active";0,362776771187782
"admirable";37;32;1;181;0,864864864864865;"admirable";4,52106348436317;"admirable";0,871234071267823;"admirable";200;"admirable";0,12081417501356;"admirable";0,330551601946354
"adventurous";31;24;1;69;0,774193548387097;"adventurous";4,72335122897439;"adventurous";0,83757373159258;"adventurous";281,5;"adventurous";0,0380065089175326;"adventurous";0,501116007566452
"affectionate";232;99;13;17,8461538461538;0,426724137931034;"affectionate";4,61488471047015;"affectionate";0,859997904824253;"affectionate";221,785714285714;"affectionate";0,0899629286607439;"affectionate";0,372884189443929
"afraid";501;141;35;6,94285714285714;0,281437125748503;"afraid";4,58690586572262;"afraid";0,857514337323302;"afraid";230,861111111111;"afraid";0,0723612493601661;"afraid";0,394224731458558
"aggravating";14;14;0;0;1;"aggravating";4,38905455281957;"aggravating";0,900282442298691;"aggravating";131;"aggravating";0,195;"aggravating";0,207502365112305
"agreeable";292;123;18;11,5555555555556;0,421232876712329;"agreeable";4,50722835716665;"agreeable";0,873853391041397;"agreeable";196,526315789474;"agreeable";0,133479374576584;"agreeable";0,322759407915567
"alone";650;171;41;6,09756097560976;0,263076923076923;"alone";4,52854162495008;"alone";0,864530117387072;"alone";222,428571428571;"alone";0,0990997649375007;"alone";0,380313092399211
"amazing";152;81;9;15,2222222222222;0,532894736842105;"amazing";4,709752995245;"amazing";0,841597863660859;"amazing";270,1;"amazing";0,0452519187707063;"amazing";0,473476800322533
"amusing";16;16;0;0;1;"amusing";4,70367841603905;"amusing";0,840736562959893;"amusing";269;"amusing";0,0448365736827275;"amusing";0,452931433916092
"angry";256;117;14;16,8571428571429;0,45703125;"angry";4,58000283673654;"angry";0,865628765476141;"angry";217,466666666667;"angry";0,1072272800422;"angry";0,366561891635259
"anxious";482;140;30;8;0,29045643153527;"anxious";4,47275830772758;"anxious";0,874265705630374;"anxious";199,774193548387;"anxious";0,141894630502992;"anxious";0,333760685017032
"appealing";17;17;0;0;1;"appealing";4,73360314018502;"appealing";0,835888429168657;"appealing";288;"appealing";0,0343362831858407;"appealing";0,512637615203857
