"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"#-afraid";0;0;3;3976;0;"#-afraid";0,0786832730823367;"#-afraid";0,788802010586786;"#-afraid";238,25;"#-afraid";5,7011726035153e-05;"#-afraid";0,824532881379128
"#-agreeable";0;0;2;1997;0;"#-agreeable";0,0390031585035402;"#-agreeable";0,76049691997085;"#-agreeable";273;"#-agreeable";3,42488153579967e-05;"#-agreeable";0,795035839080811
"#-alone";0;0;0;0;0;"#-alone";0;"#-alone";0,757817573292504;"#-alone";288;"#-alone";2,86532267678964e-05;"#-alone";0,797952830791473
"#-angry";0;0;0;0;0;"#-angry";0;"#-angry";0,754050080078834;"#-angry";332;"#-angry";1,72263591417197e-05;"#-angry";0,778552532196045
"#-ashamed";0;0;0;0;0;"#-ashamed";0;"#-ashamed";0,756277674133814;"#-ashamed";317;"#-ashamed";2,06078964956606e-05;"#-ashamed";0,786684632301331
"#-attentive";2;2;0;0;1;"#-attentive";0;"#-attentive";0,75814764324788;"#-attentive";283;"#-attentive";2,94031167303734e-05;"#-attentive";0,805147588253021
"#-bad";0;0;2;2837,5;0;"#-bad";0,0754929606315899;"#-bad";0,768362108436544;"#-bad";247,333333333333;"#-bad";4,7441191371949e-05;"#-bad";0,804002185662588
"#-busy";0;0;0;0;0;"#-busy";0;"#-busy";0,781910879010363;"#-busy";208;"#-busy";6,37917336871231e-05;"#-busy";0,827087879180908
"#-caring";0;0;0;0;0;"#-caring";0;"#-caring";0,755071110145857;"#-caring";310;"#-caring";2,17943175294737e-05;"#-caring";0,782748520374298
"#-cruel";0;0;0;0;0;"#-cruel";0;"#-cruel";0,781804351347557;"#-cruel";204;"#-cruel";6,44162073042783e-05;"#-cruel";0,827273190021515
"#-daring";0;0;1;869;0;"#-daring";0,0304906102625599;"#-daring";0,845779452245492;"#-daring";136;"#-daring";0,000119486590141706;"#-daring";0,875936806201935
"#-delightful";0;0;0;0;0;"#-delightful";0;"#-delightful";0,757501402659905;"#-delightful";281;"#-delightful";3,05089256178017e-05;"#-delightful";0,787199258804321
"#-desirable";0;0;0;0;0;"#-desirable";0;"#-desirable";0,762868571810095;"#-desirable";266;"#-desirable";3,67800211875093e-05;"#-desirable";0,798187851905823
"#-difficult";1;1;1;2903;1;"#-difficult";0,0746635529690591;"#-difficult";0,767511428720239;"#-difficult";254;"#-difficult";4,20160356465806e-05;"#-difficult";0,811381369829178
"#-disturbed";0;0;1;3233;0;"#-disturbed";0,0283568749962102;"#-disturbed";0,757065370358689;"#-disturbed";291,5;"#-disturbed";2,82204779157371e-05;"#-disturbed";0,789943426847458
"#-educated";0;0;0;0;0;"#-educated";0;"#-educated";0,799177036090899;"#-educated";177;"#-educated";8,56488626487773e-05;"#-educated";0,843621432781219
"#-fair";0;0;1;8411;0;"#-fair";0,16751661102915;"#-fair";0,765295134281889;"#-fair";272;"#-fair";3,69527845665921e-05;"#-fair";0,798317372798919
"#-foolish";0;0;0;0;0;"#-foolish";0;"#-foolish";0,75496788935203;"#-foolish";300;"#-foolish";2,53166558112753e-05;"#-foolish";0,789365172386169
"#-good";0;0;7;1156,85714285714;0;"#-good";0,183103435937507;"#-good";0,791116354110512;"#-good";219,125;"#-good";9,23430585104303e-05;"#-good";0,789791442453861
"#-happy";0;0;4;1066,25;0;"#-happy";0,0165871572652798;"#-happy";0,753874382430731;"#-happy";314,8;"#-happy";2,125858187487e-05;"#-happy";0,782463324069977
