"source" "target" "tag"
9 20 "gentle"
7 25 "little"
16 25 "pleasant"
54 56 "good"
56 58 "great"
56 58 "poor"
58 83 "poor"
58 84 "great"
83 105 "poor"
55 109 "glad"
56 131 "good"
56 134 "lucky"
134 135 "lucky"
135 136 "lucky"
105 138 "poor"
25 140 "little"
131 143 "good"
143 144 "good"
84 156 "great"
156 161 "great"
140 169 "little"
130 169 "young"
144 172 "good"
20 174 "useful"
190 191 "handsome"
191 192 "handsome"
192 194 "handsome"
169 198 "little"
20 201 "gentle"
138 201 "poor"
161 204 "great"
20 208 "intelligent"
198 210 "little"
169 216 "young"
18 219 "old"
66 225 "happy"
210 230 "little"
216 230 "young"
204 231 "great"
230 232 "young"
232 241 "young"
238 246 "natural"
172 248 "good"
230 261 "little"
225 268 "happy"
174 272 "useful"
248 278 "good"
241 279 "young"
272 285 "useful"
231 292 "great"
292 296 "great"
261 296 "little"
201 296 "poor"
279 296 "young"
278 298 "good"
296 302 "little"
278 303 "clever"
298 307 "good"
307 316 "good"
296 330 "young"
285 332 "useful"
159 337 "respectable"
330 337 "young"
337 340 "young"
219 345 "old"
316 347 "good"
205 347 "rich"
296 362 "great"
347 387 "good"
304 393 "fine"
393 395 "fine"
362 403 "great"
345 404 "old"
387 406 "good"
275 406 "valuable"
273 407 "important"
391 409 "awkward"
406 410 "good"
403 414 "great"
347 416 "rich"
340 423 "young"
423 424 "young"
30 425 "cheerful"
201 425 "gentle"
425 426 "gentle"
424 431 "young"
171 432 "desirable"
58 432 "excellent"
246 432 "natural"
431 439 "young"
194 440 "handsome"
413 442 "bad"
410 445 "good"
445 447 "good"
197 452 "fortunate"
447 454 "good"
439 456 "young"
404 460 "old"
454 462 "good"
460 472 "old"
432 480 "excellent"
462 481 "good"
481 483 "good"
302 483 "little"
456 493 "young"
483 504 "little"
312 509 "beautiful"
472 512 "old"
440 522 "handsome"
504 522 "little"
480 525 "excellent"
522 525 "little"
230 530 "reasonable"
525 532 "little"
532 533 "little"
483 535 "good"
414 540 "great"
442 545 "bad"
187 545 "proper"
535 546 "good"
268 547 "happy"
533 547 "little"
296 547 "poor"
547 555 "little"
388 556 "agreeable"
509 558 "beautiful"
432 560 "natural"
546 571 "good"
540 574 "great"
363 581 "ignorant"
571 583 "good"
69 592 "afraid"
555 593 "little"
