"source" "target" "tag"
9 11 "hard"
13 23 "little"
25 30 "young"
23 45 "little"
45 51 "little"
51 68 "little"
72 90 "great"
30 120 "young"
68 131 "little"
120 138 "young"
138 139 "young"
131 140 "little"
140 145 "little"
145 146 "little"
146 147 "little"
147 148 "little"
90 151 "great"
151 154 "great"
148 162 "little"
133 163 "good"
11 163 "hard"
162 163 "little"
165 166 "practical"
166 167 "practical"
167 168 "practical"
168 177 "practical"
139 180 "young"
180 181 "young"
174 182 "graceful"
54 190 "natural"
102 193 "pretty"
177 194 "practical"
203 205 "tired"
163 211 "good"
154 223 "great"
201 223 "open"
147 226 "old"
194 228 "practical"
163 238 "little"
9 238 "thin"
52 242 "cold"
238 245 "little"
226 256 "old"
245 257 "little"
256 261 "old"
221 262 "big"
261 263 "old"
181 263 "young"
223 267 "great"
228 276 "practical"
263 276 "young"
276 277 "practical"
276 278 "young"
278 279 "young"
267 285 "great"
279 289 "young"
289 301 "young"
277 306 "practical"
306 308 "practical"
94 310 "strong"
301 336 "young"
211 337 "good"
257 337 "little"
336 338 "young"
337 343 "good"
52 358 "short"
357 369 "religious"
309 373 "bad"
308 373 "practical"
358 373 "short"
263 374 "old"
373 374 "short"
374 375 "old"
337 376 "little"
343 379 "good"
164 379 "satisfied"
190 391 "blind"
376 391 "little"
148 400 "famous"
400 401 "famous"
221 422 "loud"
374 422 "short"
373 423 "bad"
391 432 "little"
379 438 "good"
432 439 "little"
285 443 "great"
443 450 "great"
375 450 "old"
208 453 "childish"
338 456 "young"
450 457 "great"
238 457 "thin"
438 458 "good"
422 459 "short"
212 460 "remarkable"
450 462 "old"
164 463 "hopeful"
22 463 "private"
456 463 "young"
423 474 "bad"
459 474 "short"
463 480 "young"
480 483 "young"
7 487 "plain"
457 491 "great"
460 495 "remarkable"
458 496 "good"
496 497 "good"
497 499 "good"
483 500 "young"
223 515 "open"
310 520 "strong"
315 525 "curious"
499 531 "good"
462 531 "old"
422 532 "loud"
500 532 "young"
531 537 "good"
439 537 "little"
537 542 "little"
542 552 "little"
532 552 "young"
491 553 "great"
324 555 "poor"
463 555 "private"
495 556 "remarkable"
531 557 "old"
474 559 "bad"
555 562 "poor"
552 566 "little"
552 566 "young"
557 574 "old"
537 577 "good"
577 578 "good"
562 580 "poor"
578 582 "good"
566 587 "little"
487 587 "plain"
520 587 "strong"
582 591 "good"
373 592 "practical"
580 598 "poor"
592 598 "practical"
591 600 "good"
559 606 "bad"
600 606 "good"
598 608 "practical"
587 610 "little"
190 629 "natural"
566 632 "young"
632 634 "young"
606 635 "good"
598 636 "poor"
632 639 "professional"
635 640 "good"
163 649 "hard"
71 656 "certain"
553 659 "great"
391 661 "blind"
574 663 "old"
574 664 "fair"
656 667 "elderly"
552 672 "handsome"
539 672 "pleased"
656 677 "certain"
640 685 "good"
610 685 "little"
634 685 "young"
685 687 "little"
685 688 "young"
688 689 "young"
689 691 "young"
691 694 "young"
587 695 "extraordinary"
649 700 "hard"
672 707 "pleased"
267 715 "social"
659 717 "great"
474 726 "short"
726 729 "respectful"
685 733 "good"
629 737 "natural"
121 747 "happy"
606 752 "bad"
733 752 "good"
747 761 "happy"
71 762 "unlucky"
752 765 "bad"
752 765 "good"
687 765 "little"
765 769 "little"
694 776 "young"
574 786 "expressive"
663 786 "old"
587 786 "strong"
205 792 "tired"
765 794 "bad"
717 797 "great"
769 804 "little"
786 804 "old"
797 806 "great"
430 806 "kind"
804 807 "old"
806 809 "great"
804 812 "little"
525 817 "curious"
784 821 "stupid"
636 825 "poor"
812 828 "little"
726 828 "short"
825 834 "poor"
786 835 "strong"
794 842 "bad"
354 844 "fine"
195 845 "difficult"
828 845 "little"
845 847 "little"
102 849 "pleasant"
821 851 "stupid"
851 852 "stupid"
737 856 "natural"
867 868 "prosperous"
868 870 "prosperous"
809 873 "great"
700 878 "hard"
834 886 "poor"
675 887 "modest"
847 888 "little"
587 890 "plain"
