"source" "target" "tag"
2 12 "strong"
12 20 "strong"
21 33 "certain"
69 96 "great"
5 98 "little"
99 108 "stable"
129 132 "glad"
98 132 "little"
20 132 "strong"
132 134 "glad"
134 139 "glad"
139 140 "glad"
96 152 "great"
132 157 "little"
152 159 "great"
135 160 "young"
130 161 "charming"
122 161 "old"
33 162 "certain"
160 163 "mature"
160 163 "young"
138 166 "complicated"
161 167 "old"
163 174 "mature"
163 174 "young"
114 178 "devoted"
157 180 "little"
180 181 "little"
167 181 "old"
162 183 "certain"
187 188 "interested"
181 194 "old"
194 196 "old"
173 198 "rich"
196 199 "old"
179 200 "rough"
82 205 "short"
108 206 "cold"
181 207 "little"
158 208 "hard"
132 208 "strong"
174 209 "young"
209 211 "young"
159 213 "great"
174 214 "mature"
211 214 "young"
207 217 "little"
199 236 "old"
183 237 "certain"
236 240 "old"
214 240 "young"
213 241 "great"
240 241 "young"
240 244 "old"
217 263 "little"
212 270 "good"
241 276 "young"
270 280 "good"
241 287 "great"
92 291 "awful"
169 291 "respectable"
280 301 "good"
179 302 "hopeful"
276 302 "young"
263 313 "little"
244 314 "old"
314 316 "old"
302 344 "young"
344 346 "young"
316 347 "old"
205 358 "short"
3 359 "eager"
33 371 "bright"
313 371 "little"
132 373 "neat"
237 381 "certain"
165 381 "excellent"
371 386 "little"
108 387 "harmless"
127 388 "open"
281 390 "bad"
301 401 "good"
401 408 "good"
408 413 "good"
390 418 "bad"
292 418 "professional"
413 429 "good"
386 438 "little"
161 441 "pleased"
438 447 "little"
429 449 "good"
198 450 "rich"
447 458 "little"
458 462 "little"
462 463 "little"
200 466 "rough"
463 467 "little"
418 472 "bad"
119 478 "plain"
478 479 "plain"
449 481 "good"
287 481 "great"
140 483 "glad"
214 491 "private"
491 492 "interesting"
467 492 "little"
492 493 "interesting"
256 493 "remarkable"
418 494 "suspicious"
137 495 "sensible"
493 502 "remarkable"
205 503 "poor"
503 504 "poor"
99 507 "innocent"
504 508 "poor"
347 509 "old"
358 510 "short"
140 513 "ridiculous"
172 514 "expressive"
205 514 "popular"
492 526 "little"
514 532 "expressive"
56 532 "impatient"
526 532 "little"
532 534 "little"
346 536 "young"
536 538 "young"
538 539 "young"
291 544 "respectable"
539 547 "young"
508 549 "poor"
80 549 "worthy"
158 553 "fine"
553 554 "brave"
553 554 "fine"
549 556 "poor"
481 560 "good"
556 563 "poor"
513 564 "ridiculous"
534 577 "little"
208 581 "hard"
564 582 "ridiculous"
582 583 "ridiculous"
190 584 "embarrassing"
583 584 "ridiculous"
584 585 "ridiculous"
585 588 "ridiculous"
563 589 "poor"
588 590 "ridiculous"
581 593 "hard"
388 595 "open"
589 595 "poor"
547 595 "young"
510 599 "short"
435 601 "afraid"
560 605 "good"
532 608 "expressive"
472 609 "bad"
507 614 "chubby"
599 614 "short"
156 619 "fair"
532 631 "pretty"
203 645 "natural"
373 646 "neat"
504 647 "modest"
577 653 "little"
631 656 "pretty"
595 657 "poor"
657 658 "poor"
403 658 "reasonable"
595 662 "young"
481 663 "great"
463 663 "warm"
509 664 "old"
664 665 "old"
653 669 "little"
665 669 "old"
51 673 "alone"
658 674 "poor"
609 675 "bad"
554 675 "fine"
669 675 "little"
674 680 "poor"
494 680 "suspicious"
663 681 "great"
206 682 "cold"
675 691 "little"
681 694 "great"
691 694 "little"
645 694 "natural"
694 697 "great"
694 699 "little"
699 701 "little"
593 703 "hard"
381 704 "certain"
466 708 "angry"
669 708 "old"
595 708 "open"
703 709 "hard"
704 710 "certain"
708 712 "old"
371 714 "bright"
359 714 "eager"
712 715 "old"
178 722 "devoted"
605 725 "good"
697 725 "great"
715 725 "old"
313 727 "clumsy"
725 729 "old"
725 733 "good"
729 733 "old"
663 736 "warm"
736 737 "warm"
137 742 "offensive"
706 754 "powerful"
701 760 "little"
760 765 "little"
725 769 "great"
459 769 "pleasant"
708 778 "open"
778 779 "open"
765 788 "little"
733 795 "old"
633 796 "bold"
675 796 "fine"
156 796 "gorgeous"
769 823 "great"
709 823 "hard"
619 826 "fair"
788 826 "little"
127 837 "friendly"
795 840 "old"
837 846 "friendly"
856 857 "thoughtful"
840 859 "old"
590 859 "ridiculous"
608 860 "handsome"
710 863 "certain"
863 890 "certain"
522 890 "tall"
614 891 "short"
823 892 "great"
733 896 "good"
859 896 "old"
890 899 "certain"
826 901 "little"
682 904 "cold"
896 905 "old"
891 907 "short"
905 918 "old"
161 921 "charming"
901 922 "little"
507 928 "innocent"
138 931 "delighted"
694 932 "natural"
922 940 "little"
823 944 "hard"
940 946 "little"
892 947 "cheerful"
796 948 "bold"
549 948 "worthy"
946 951 "little"
714 954 "bright"
944 960 "hard"
896 962 "good"
918 967 "old"
4 972 "crazy"
967 977 "old"
977 978 "old"
899 980 "certain"
951 980 "little"
978 980 "old"
980 982 "little"
159 982 "polite"
466 983 "rough"
982 987 "little"
907 990 "short"
634 993 "original"
890 995 "tall"
990 1001 "short"
601 1005 "afraid"
997 1005 "cruel"
675 1024 "bad"
962 1026 "good"
1026 1027 "good"
208 1039 "strong"
980 1040 "certain"
1027 1041 "good"
1041 1043 "good"
662 1044 "young"
1043 1047 "good"
1047 1050 "good"
987 1053 "little"
1001 1060 "short"
139 1066 "ashamed"
1050 1066 "good"
866 1067 "difficult"
1053 1086 "little"
760 1087 "extraordinary"
708 1091 "angry"
1039 1092 "strong"
892 1097 "great"
1005 1098 "cruel"
1086 1101 "little"
610 1101 "troubled"
680 1103 "poor"
840 1106 "familiar"
1066 1111 "good"
646 1113 "happy"
544 1113 "respectable"
1111 1114 "good"
960 1120 "hard"
1120 1125 "hard"
1024 1126 "bad"
1114 1131 "good"
1131 1133 "good"
1092 1135 "strong"
928 1146 "innocent"
1040 1148 "certain"
1126 1150 "bad"
1133 1150 "good"
1097 1150 "great"
904 1152 "cold"
417 1153 "quiet"
1101 1164 "little"
1164 1165 "little"
1165 1171 "little"
1171 1178 "little"
1178 1183 "little"
1091 1186 "angry"
612 1190 "satisfied"
1153 1195 "quiet"
1135 1195 "strong"
1150 1197 "good"
1183 1201 "little"
393 1203 "attentive"
722 1207 "devoted"
1197 1214 "good"
980 1214 "old"
1214 1215 "good"
1044 1215 "young"
1148 1229 "certain"
984 1236 "comfortable"
1186 1237 "angry"
1237 1239 "angry"
1215 1241 "young"
1215 1242 "good"
1241 1243 "young"
1242 1248 "good"
1243 1250 "young"
932 1252 "natural"
983 1252 "rough"
1195 1252 "strong"
1248 1260 "good"
779 1267 "open"
1229 1269 "certain"
1103 1273 "poor"
656 1273 "pretty"
1201 1277 "little"
1277 1283 "little"
1113 1287 "respectable"
1060 1290 "short"
450 1291 "rich"
737 1291 "warm"
1214 1292 "old"
1283 1293 "little"
1293 1294 "little"
1292 1294 "old"
1260 1295 "good"
1295 1300 "good"
1294 1302 "little"
1252 1302 "natural"
1236 1310 "comfortable"
1302 1310 "little"
1290 1310 "short"
1291 1310 "warm"
1294 1311 "old"
1252 1311 "strong"
1310 1312 "little"
1312 1313 "little"
1313 1314 "little"
1098 1315 "cruel"
1314 1318 "little"
1150 1319 "bad"
1261 1323 "strange"
1296 1325 "weak"
1318 1328 "little"
993 1348 "original"
1328 1351 "little"
659 1355 "lovely"
1267 1357 "open"
1250 1358 "young"
1325 1371 "weak"
1358 1377 "young"
1300 1384 "good"
1311 1399 "old"
1348 1399 "original"
1371 1401 "weak"
720 1403 "independent"
1005 1406 "afraid"
1319 1410 "bad"
1384 1410 "good"
1377 1413 "young"
1410 1421 "good"
948 1428 "worthy"
1355 1435 "lovely"
1421 1446 "good"
1421 1448 "wonderful"
1399 1449 "old"
1449 1458 "old"
1446 1463 "good"
972 1465 "crazy"
1146 1465 "innocent"
1351 1465 "little"
1357 1465 "open"
1273 1465 "poor"
1150 1469 "great"
1469 1474 "great"
473 1474 "thin"
1465 1476 "little"
1474 1479 "great"
1290 1481 "strict"
