"","Words","count.present","Emma","Mansfield Park","Northanger Abbey","Persuasion","Pride and Prejudice","Sense and Sensibility"
"1","abusive",0,0,0,0,0,0,0
"2","accomplished",5,1,0,0,0,4,0
"3","active",16,3,4,0,4,2,3
"4","admirable",6,2,0,0,0,3,1
"5","adorable",0,0,0,0,0,0,0
"6","adventurous",0,0,0,0,0,0,0
"7","affectionate",23,3,1,4,2,6,7
"8","afraid",64,19,15,7,3,12,8
"9","aggravating",0,0,0,0,0,0,0
"10","aggressive",0,0,0,0,0,0,0
"11","agreeable",155,29,28,21,26,32,19
"12","alcoholic",0,0,0,0,0,0,0
"13","alert",1,1,0,0,0,0,0
"14","alone",0,0,0,0,0,0,0
"15","amazing",8,2,3,1,0,2,0
"16","ambitious",2,0,2,0,0,0,0
"17","amusing",16,4,5,2,1,3,1
"18","angry",36,6,9,5,2,8,6
"19","annoyed",0,0,0,0,0,0,0
"20","annoying",0,0,0,0,0,0,0
"21","anxious",62,13,13,9,5,12,10
"22","appealing",0,0,0,0,0,0,0
"23","appreciated",0,0,0,0,0,0,0
"24","appreciative",0,0,0,0,0,0,0
"25","argumentative",0,0,0,0,0,0,0
"26","arrogant",0,0,0,0,0,0,0
"27","artificial",5,0,1,0,3,0,1
"28","artistic",0,0,0,0,0,0,0
"29","ashamed",38,9,9,6,2,10,2
"30","assertive",0,0,0,0,0,0,0
"31","athletic",0,0,0,0,0,0,0
"32","attentive",14,3,3,0,1,5,2
"33","attractive",6,1,2,0,1,0,2
"34","average",0,0,0,0,0,0,0
"35","awake",1,1,0,0,0,0,0
"36","awesome",0,0,0,0,0,0,0
"37","awful",15,0,4,6,1,1,3
"38","awkward",28,12,3,0,0,10,3
"39","bad",110,39,28,5,17,12,9
"40","bashful",1,0,0,0,0,0,1
"41","beautiful",43,11,5,10,2,9,6
"42","believable",0,0,0,0,0,0,0
"43","big",0,0,0,0,0,0,0
"44","bitter",7,1,3,1,0,1,1
"45","blind",16,8,1,0,0,4,3
"46","bold",4,0,1,1,1,0,1
"47","bored",0,0,0,0,0,0,0
"48","boring",0,0,0,0,0,0,0
"49","bossy",0,0,0,0,0,0,0
"50","brave",0,0,0,0,0,0,0
"51","bright",13,2,2,6,3,0,0
"52","brilliant",8,4,1,0,1,0,2
"53","businesslike",0,0,0,0,0,0,0
"54","busy",15,5,5,1,1,1,2
