"source" "target" "tag"
186 196 "tulkinghorn::short"
72 325 "jarndyce::young"
321 325 "rachael::young"
321 327 "kenge::young"
93 350 "jarndyce::great"
350 352 "jarndyce::great"
350 352 "kenge::great"
325 354 "jarndyce::young"
354 357 "jarndyce::young"
327 361 "kenge::young"
421 425 "donny::neat"
245 467 "esther::good"
361 490 "kenge::young"
452 514 "kenge::happy"
518 520 "richard_carstone::young"
514 526 "kenge::natural"
526 558 "kenge::natural"
632 660 "jellyby::little"
620 667 "jellyby::good"
594 714 "ada::little"
668 721 "jellyby::open"
632 735 "jellyby::young"
667 751 "jellyby::good"
751 839 "jellyby::good"
735 881 "quale::young"
43 904 "jarndyce::old"
949 952 "lincoln::old"
957 976 "richard::good"
357 1005 "jarndyce::young"
968 1008 "krook::great"
976 1011 "richard::good"
958 1011 "richard::old"
594 1018 "ada::old"
1011 1018 "richard::old"
952 1043 "lincoln::old"
839 1109 "jellyby::curious"
660 1109 "jellyby::little"
958 1109 "richard::curious"
1018 1109 "richard::old"
748 1118 "jarndyce::curious"
1008 1128 "krook::great"
968 1128 "krook::old"
976 1142 "ada::good"
1011 1142 "richard::good"
883 1147 "jellyby::busy"
714 1182 "ada::little"
1109 1189 "richard::old"
722 1190 "ada::great"
955 1191 "richard::open"
545 1192 "richard::forward"
1109 1220 "richard::little"
1220 1228 "richard::little"
42 1237 "jarndyce::little"
1148 1254 "peepy::little"
699 1254 "peepy::poor"
1182 1267 "ada::little"
1267 1276 "ada::little"
1018 1289 "ada::old"
904 1289 "jarndyce::old"
348 1292 "jarndyce::professional"
1292 1293 "jarndyce::professional"
1292 1293 "jellyby::professional"
1228 1324 "richard::little"
620 1335 "jarndyce::good"
768 1368 "jarndyce::plain"
1005 1406 "jarndyce::young"
1276 1417 "ada::little"
1237 1417 "jarndyce::little"
1324 1417 "richard::little"
1417 1418 "richard::little"
1324 1418 "skimpole::little"
1383 1427 "skimpole::agreeable"
1418 1457 "skimpole::little"
1418 1470 "richard::little"
1457 1470 "skimpole::little"
1386 1485 "skimpole::fine"
1333 1493 "skimpole::great"
747 1500 "ada::strange"
1109 1503 "richard::curious"
1497 1503 "skimpole::curious"
1334 1503 "skimpole::delightful"
352 1524 "jarndyce::great"
1358 1524 "jarndyce::short"
1524 1526 "jarndyce::great"
1417 1561 "ada::little"
259 1561 "esther::little"
1335 1565 "jarndyce::good"
1476 1565 "skimpole::good"
1109 1577 "jellyby::little"
1470 1577 "skimpole::little"
1624 1631 "rouncewell::great"
1643 1646 "george::poor"
1618 1670 "rouncewell::young"
652 1698 "guppy::young"
1670 1698 "rouncewell::young"
1698 1740 "guppy::young"
1698 1742 "rouncewell::young"
1681 1768 "rosa::shy"
1427 1799 "skimpole::agreeable"
1565 1810 "skimpole::good"
1417 1813 "jarndyce::little"
1526 1860 "jarndyce::great"
1047 1860 "jarndyce::poor"
753 1885 "esther::thoughtful"
1190 1931 "ada::great"
1109 1938 "jellyby::old"
1948 1949 "pardiggle::little"
1948 1950 "pardiggle::great"
735 1967 "jellyby::young"
1406 1980 "jarndyce::young"
1950 1980 "pardiggle::young"
1980 2009 "pardiggle::young"
1950 2012 "pardiggle::great"
2012 2022 "pardiggle::great"
2009 2027 "pardiggle::young"
1965 2032 "egbert::little"
1965 2038 "oswald::little"
2022 2045 "pardiggle::great"
2027 2094 "pardiggle::young"
1813 2098 "jarndyce::little"
1949 2105 "pardiggle::little"
2094 2106 "pardiggle::young"
2105 2110 "pardiggle::little"
1561 2116 "esther::little"
1561 2147 "ada::little"
1452 2147 "richard::beautiful"
1470 2147 "richard::little"
2098 2148 "jarndyce::little"
2147 2190 "richard::little"
1418 2190 "richard::thinking"
122 2295 "leicester_dedlock::old"
2148 2324 "jarndyce::little"
2324 2332 "jarndyce::little"
2337 2341 "boythorn::little"
942 2341 "carboy::little"
1289 2341 "jarndyce::fine"
2332 2341 "jarndyce::little"
2190 2341 "richard::little"
654 2346 "guppy::little"
1713 2357 "guppy::kind"
654 2412 "guppy::forward"
2446 2452 "peffer::short"
2455 2462 "snagsby::little"
2454 2464 "snagsby::young"
2462 2466 "snagsby::little"
177 2485 "tulkinghorn::quiet"
157 2502 "tulkinghorn::great"
153 2539 "tulkinghorn::old"
2446 2547 "snagsby::short"
165 2571 "tulkinghorn::little"
161 2582 "tulkinghorn::kind"
2466 2599 "snagsby::little"
1128 2657 "krook::old"
2657 2677 "krook::old"
2539 2684 "tulkinghorn::old"
2677 2698 "krook::old"
2571 2727 "tulkinghorn::little"
2684 2731 "tulkinghorn::old"
2599 2747 "snagsby::little"
2476 2750 "snagsby::good"
2747 2750 "snagsby::little"
2504 2762 "tulkinghorn::fair"
2476 2764 "snagsby::old"
2727 2766 "tulkinghorn::little"
2472 2776 "snagsby::practical"
2698 2804 "krook::old"
1128 2831 "krook::little"
2901 2903 "tulkinghorn::cold"
2905 2907 "jo::good"
2747 2923 "snagsby::fine"
2547 2925 "snagsby::short"
2750 2926 "snagsby::little"
1698 3014 "rosa::young"
1742 3031 "rouncewell::young"
1768 3042 "rosa::shy"
1692 3043 "rosa::old"
2766 3113 "tulkinghorn::little"
3208 3209 "tulkinghorn::open"
558 3227 "richard::natural"
2147 3246 "ada::little"
2341 3246 "richard::little"
491 3256 "kenge::little"
1565 3260 "jarndyce::good"
3256 3285 "kenge::little"
2346 3296 "guppy::little"
1980 3303 "jarndyce::young"
599 3314 "kenge::good"
3328 3332 "badger::distinguished"
1944 3332 "jarndyce::distinguished"
3332 3340 "badger::distinguished"
3340 3342 "badger::distinguished"
3332 3342 "jarndyce::distinguished"
3319 3351 "badger::fine"
3227 3396 "richard::natural"
1324 3405 "richard::bright"
1254 3443 "john::little"
1284 3461 "jarndyce::glad"
750 3463 "ada::pretty"
1931 3487 "ada::great"
467 3506 "esther::good"
2116 3515 "esther::little"
3487 3522 "ada::great"
722 3522 "richard::great"
594 3529 "ada::poor"
2190 3529 "richard::poor"
3246 3559 "ada::little"
1577 3559 "jellyby::little"
3246 3559 "richard::little"
721 3560 "jellyby::short"
883 3562 "jellyby::extraordinary"
3219 3578 "jarndyce::bad"
1938 3586 "jellyby::well"
3578 3599 "jellyby::bad"
3582 3600 "jellyby::kind"
1149 3602 "jellyby::surprised"
698 3607 "jellyby::fine"
660 3609 "jellyby::great"
660 3615 "jellyby::poor"
3522 3619 "ada::great"
3615 3626 "jellyby::poor"
3645 3660 "turveydrop::old"
3559 3668 "ada::little"
1289 3668 "ada::old"
1254 3681 "peepy::little"
3660 3700 "turveydrop::old"
3644 3718 "turveydrop::little"
3700 3720 "turveydrop::old"
3720 3721 "turveydrop::old"
3721 3739 "turveydrop::old"
3739 3742 "turveydrop::old"
3742 3748 "turveydrop::old"
3699 3748 "turveydrop::young"
3718 3811 "turveydrop::little"
3748 3811 "turveydrop::old"
3693 3824 "summerson::little"
3811 3830 "turveydrop::old"
