"node_id" "tags" "dpub"
"1" "account, back, bird, birds, can, condition, dinner, experience, fancy, fear, file, first, hand, invention, known, large, meat, mere, public, pump, reflect, religion, round, story, street, time, two, window, work, wrong" "1"
"2" "frantic, lie, story, thought, time, two, wrong" "2"
"3" "detect, distance, doubtful, driving, fancy, fat, glow, green, hand, large, little, name, near, page, present, public, red, rest, room, round, sense, stretch, teeth, thought, time, two, vast, warm, window, yellow" "3"
"4" "back, black, cold, condition, distance, dress, fat, full, glow, hand, keen, large, little, mute, natural, object, open, person, pipe, position, present, ready, round, thought, time, trouble, two, warm, window, wonder, wrong" "4"
"5" "boy, broad, can, daughter, direction, dress, finger, first, found, hot, little, love, money, name, near, object, payment, red, reply, room, round, strange, talk, time, use, warm" "5"
"6" "actually, back, command, end, experience, fish, little, love, open, pipe, point, room, talk, time, two, unbecoming" "6"
"7" "auspicious, back, boy, can, cold, damp, dinner, driving, experience, first, glow, hand, hope, keen, large, little, month, order, person, pipe, red, request, rest, roof, room, sense, story, strange, time, two" "7"
"8" "back, boy, breathe, cold, dress, fancy, found, hand, known, large, little, money, natural, point, roof, room, school, story, strange, thought, time, touch, work" "8"
"9" "doubtful, end, fear, first, hand, hope, horse, little, neck, person, point, reply, roof, room, shelter, sign, steady, story, strange, teeth, test, thought, time, unusual, winter, wonder" "9"
"10" "boiling, can, chin, comfortable, crown, dirty, end, found, full, green, hand, horse, large, living, name, natural, near, neck, person, round, time, trouble, use" "10"
"11" "back, broad, can, detect, familiar, first, gentle, hand, hope, horse, lip, little, name, open, person, red, room, time, train, trot, two, wonder, work" "11"
"12" "black, clean, cold, hand, little, natural, ready" "12"
"13" "account, back, boy, can, chin, collect, first, full, gather, hand, little, muddled, round, sigh, sign, story, talk, time, waiting, warm" "13"
"14" "account, ahead, back, busy, distance, distinct, dogs, fade, familiar, finger, hand, history, horse, legs, little, lock, near, person, present, public, round, stomach, strange, thought, time, two, yellow" "14"
"15" "back, broad, can, carriage, dress, fascinated, full, green, large, living, red, secret, spare, talk, time, touch, toys" "15"
"16" "modern, present, street, time, work" "16"
"17" "back, black, busy, cold, distance, earth, first, flap, fresh, gold, hand, iron, large, little, modern, near, open, roof, steep, street, thought, time, trouble, two, window, work, yard, yellow" "17"
"18" "back, bow, end, first, known, legs, little, mother, name, neck, order, spiritual, talk, time, two, window, wonder, work" "18"
"19" "account, beef, cake, can, cold, daughter, dress, earth, enthusiastic, first, found, guess, known, little, love, mother, name, neck, order, pull, ready, room, round, street, substantial, thought, time, two, warm" "19"
"20" "back, beef, black, daughter, experience, gentle, gigantic, hope, known, legs, lip, little, mute, present, red, time, twist, two, unusual, work" "20"
"21" "back, blush, hand, known, legs, little, mother, near, shelter, stamp, story, strange, street, suggest, talk, two" "21"
"22" "back, beg, can, charge, distinct, drag, hand, little, lock, person, room, street, touch, window, wonder" "22"
"23" "back, black, can, escape, full, hand, known, legs, room, round, sad, secret, strange, tacit, touch, twist, warm, wonder" "23"
"24" "actually, alert, back, calm, can, clean, first, found, hand, hope, horse, known, laugh, little, mere, neck, person, street, thought, time, waiting, waste, worry" "24"
"25" "attack, back, bird, boy, broad, bruise, bury, can, comfortable, fear, found, hand, history, horse, iron, large, little, mere, name, point, polite, present, room, round, sense, thought, time, two" "25"
"26" "back, first, full, hand, hope, lie, lip, mother, name, reply, roof, room, stir, time, wrong" "26"
"27" "account, back, chief, comfortable, daughter, female, hang, large, line, little, mere, money, near, neck, object, open, order, page, private, rest, round, store, temper, thought, time, trouble, two, wrong" "27"
"28" "back, can, cold, comfortable, hand, large, little, natural, prevent, ready, room, round, talk, temper, thought, time, vast, waiting, wonder" "28"
"29" "hand, leg, little, lock, secret" "29"
"30" "brave, chin, command, damp, earth, first, full, gold, hand, iron, little, name, near, open, person, roof, room, steep, street, time, two, wine, yard" "30"
"31" "back, black, book, brave, daughter, dress, end, finger, hand, large, legs, little, love, mute, name, obey, position, private, ready, secret, talk, touch, two, warm" "31"
"32" "account, black, box, can, chief, copy, daughter, direful, drag, end, fish, idea, little, love, name, open, reply, secret, sense, thought, time, two, wrong" "32"
"33" "actually, brave, enthusiastic, known, line, little, love, money, open, private, relieved, time, wall, wrong" "33"
"34" "back, boy, busy, distance, first, found, gentle, green, hand, little, lock, mere, neck, object, room, safe, sense, separate, shoes, sky, story, temper, thought, time, unusual, use, wall, window" "34"
"35" "back, broad, can, cold, first, gentle, lock, love, married, name, near, private, pull, room, street, thought, twist, use, wall, window" "35"
"36" "umbrella, window" "36"
"37" "amused, back, black, boy, can, carriage, cold, cure, dinner, dress, dry, first, flippant, green, hand, horse, hot, little, living, order, perpetual, room, round, sad, scrape, slim, teeth, time, use, waiting, window, wine, winter" "37"
"38" "back, broad, chilly, cold, dress, dusty, end, fat, gentle, hand, horse, ink, known, large, little, modern, natural, person, ray, reflect, room, thought, time, vast, waste, window" "38"
"39" "account, back, can, charge, determined, dry, familiar, finger, first, gold, hand, little, mother, mute, name, plot, room, swift, time, window" "39"
"40" "bitter, black, box, busy, calm, clean, damp, dinner, excuse, fancy, full, hand, little, meeting, money, observe, position, strange, thought, time, two, warn, wine, wonder" "40"
"41" "belong, bird, bow, room" "41"
"42" "birds, black, boy, can, dress, frighten, full, hand, large, little, mellow, mother, observe, open, pipe, present, red, room, stem, time, trouble, twig, two, waiting" "42"
"43" "back, can, challenge, depend, fade, hand, horse, known, large, little, mere, order, present, room, round, thought, work" "43"
"44" "beg, bubble, calm, can, determined, earth, elegant, gentle, glow, hand, legs, little, lock, love, match, meeting, object, point, present, prevent, rest, time, toy, two, warm, wine, wonder, wrong" "44"
"45" "can, determined, dogs, first, glove, hand, idea, love, match, mere, name, natural, near, open, point, separate, time, wine, wrong" "45"
"46" "brave, dress, end, examine, excuse, full, hand, hope, horse, large, legs, little, near, order, person, rest, room, sigh, temper, time, use, warm" "46"
"47" "account, actually, back, boy, chin, crook, end, green, history, important, little, love, money, name, natural, object, person, plate, ready, red, round, secret, tail, thought, time, unusual" "47"
"48" "dinner, first, gentle, large, legs, money, time, use" "48"
"49" "account, attack, back, black, bow, busy, damp, dinner, dusty, end, first, found, full, green, hand, history, horse, iron, little, mother, object, present, red, roof, sense, street, temper, thought, window" "49"
"50" "account, can, dress, excuse, female, glow, hope, known, little, married, money, open, room, round, sad, sense, talk, thought, waiting, wonder" "50"
"51" "actually, back, can, condition, daughter, deserted, end, finger, hand, horse, little, love, lovely, mere, open, room, round, secret, stir, street, talk, temper, thought, time, two, window" "51"
"52" "back, blush, brave, broad, can, cold, daughter, dry, female, gentle, hand, hope, horse, large, little, lovely, name, room, round, secret, spare, thought, time, trot, waiting" "52"
"53" "back, can, cold, comfortable, fear, hand, hope, horse, mute, red, rely, room, secret, shelter, slim, steady, swift, talk, temper, thought, waiting, window" "53"
"54" "back, beg, broad, bustling, busy, charge, distance, dress, dusty, found, full, hand, known, legs, little, modern, near, person, public, ray, reflect, room, roomy, sad, stretch, suggest, thirsty, time, two, window, worry" "54"
"55" "beg, box, boy, calm, can, excuse, fear, first, fresh, full, hope, idea, large, love, married, mere, momentous, move, observe, open, point, position, reflect, request, room, sense, time, vast, wonder" "55"
"56" "admit, back, boy, can, chief, command, condition, daughter, delightful, distance, dry, elegant, fear, first, found, hand, legs, little, married, mere, mother, name, near, object, observe, person, rely, rest, time, two, week" "56"
"57" "can, comfortable, doubtful, fancy, found, idea, known, little, observe, person, point, position, prevent, rest, talk, tease, thought, time, vast" "57"
"58" "attack, doubtful, end, escape, familiar, full, gentle, green, guard, hand, hot, iron, little, polite, present, prevent, private, rest, round, shelter, sign, strange, street, teeth, time, two, unusual, waiting, waste, winter, wonder" "58"
"59" "attack, black, bridge, found, name, near, present, private, pull, rest, round, strange, thought, time, touch, two" "59"
"60" "end, first, glow, hand, little, roof, round, safe, shelter, street" "60"
"61" "back, can, chilly, cold, condition, damp, distance, dress, earth, fear, finger, hand, little, meat, mere, money, name, open, roof, room, round, shelter, sky, strange, time, touch, uttermost" "61"
"62" "back, bird, boy, can, drag, excuse, fancy, fear, first, full, hand, laugh, little, mother, name, neck, open, plants, room, round, spare, steep, time, touch, window" "62"
"63" "birthday, broad, doubtful, drag, end, finger, found, guess, hand, known, laugh, lie, meat, mother, open, prevent, ready, recess, red, room, round, sad, secret, store, thought, time, two, week, winter, wrong" "63"
"64" "back, bird, birthday, breathe, broad, cold, comfortable, earth, fear, idea, leg, love, open, position, sad, space, street, teeth, time, use" "64"
"65" "back, chin, desert, determined, first, found, full, hand, hot, little, near, open, red, rest, round, safe, shelter, sky, street, time, window" "65"
"66" "beg, broad, can, command, end, first, hand, leg, legs, lie, person, rest, room, round, secret, shelter, time, trouble, two" "66"
"67" "account, attack, beg, can, charge, daughter, depend, excuse, fear, invention, little, love, married, observe, open, partner, ready, rest, time, work" "67"
"68" "back, busy, can, end, female, first, little, mother, natural, rest, room, round, temper, vast, warm, wonder, wrong" "68"
"69" "can, comfortable, daughter, dress, end, little, pink, room, round, shoes, street, time" "69"
"70" "back, broad, crown, dinner, end, first, full, horse, idea, large, little, mother, order, pump, ready, separate, space, talk, thirsty, thought, time, typical, watery" "70"
"71" "green" "71"
"72" "amused, can, charge, dinner, end, first, joyous, letters, little, love, point, rest, room, sad, strange, stretch, thought, time, work" "72"
"73" "back, can, familiar, first, hand, idea, important, laugh, little, natural, near, point, room, thought, time, waiting" "73"
"74" "bushes, hand, little, person, two, wonder" "74"
"75" "back, bird, broad, can, dogs, fear, first, hand, little, living, love, name, near, person, swift, terrify, thought, time, trouble, waiting" "75"
"76" "deeply, dress, female, first, full, gentle, hand, hope, little, near, open, person, point, private, retire, search, successful, thought, time, trouble" "76"
"77" "account, back, daughter, dinner, dry, frame, fresh, guess, guide, hot, imperfect, laugh, love, meat, open, order, plate, reflect, rest, search, sigh, steady, suggest, talk, time, toy, train" "77"
"78" "account, delightful, dinner, enchanting, experience, horse, pipe, round, time, two, wheel, wine" "78"
"79" "account, back, clean, cold, curious, daughter, distance, fear, first, found, gentle, hand, horse, important, little, love, natural, point, position, prevent, ready, round, safe, thought, time, trot, two" "79"
"80" "account, damp, desert, earth, female, first, full, hope, little, married, mere, mother, stage, time, two" "80"
"81" "brave, can, end, frighten, hand, idea, love, name, order, religion, rest, secret, time" "81"
"82" "blush, book, dinner, dress, found, full, hand, horse, laugh, legs, little, money, natural, order, page, payment, present, rest, round, separate, shoes, spare, street, thought, time, train, trouble, wonder" "82"
"83" "attempt, back, can, charge, dress, elegant, hand, little, mere, near, observe, person, room, thirsty, time, trouble, waiting" "83"
"84" "back, bitter, can, chin, cold, curious, escape, first, full, hand, legs, little, mere, natural, open, point, request, round, talk, time, touch, two" "84"
"85" "bow, boy, hand, hope, little, living, money, mother, name, neck, rely, room, safe, sense, strange, thought, two" "85"
"86" "admit, back, beg, bow, calm, dirty, dress, end, excuse, first, hand, large, legs, lock, mere, name, object, observe, open, order, person, pull, rest, strange, suggest, suspect, time, tranquil, two, waiting" "86"
"87" "account, command, daughter, fear, found, fresh, gentle, hand, known, little, point, prevent, private, public, reply, talk, teeth, thought, time, two, use" "87"
"88" "back, black, can, cold, distance, found, full, halting, history, hope, lie, little, mother, near, open, painful, room, round, sad, secret, sense, strange, street, thought, time, two, work" "88"
"89" "back, beg, book, cold, determined, distance, end, first, hand, iron, known, little, natural, open, private, relation, rest, room, time, touch, wall, warm, window, wonder, wrong, yard" "89"
"90" "bitter, boy, can, deeply, determined, doubtful, earth, fancy, fear, first, future, hope, load, name, open, person, relieved, rest, roof, secret, strange, time, trouble, wonder, work, wrong" "90"
"91" "book, bustling, busy, can, condition, dinner, fear, full, hand, known, mother, near, person, point, private, reflective, rest, round, sad, sense, time, trouble, two" "91"
"92" "back, daughter, fear, fresh, known, little, married, month, person, secret, talk, thought, window, work" "92"
"93" "back, beg, boy, depend, excuse, fear, female, first, fog, found, full, hand, hope, large, little, married, name, natural, person, point, rest, round, station, street, two, waiting, wonder" "93"
"94" "back, can, command, daughter, dinner, direction, distance, gentle, hand, hope, invite, little, name, person, point, present, round, spare, street, temper, thought, trot, two, work" "94"
"95" "attempt, back, beg, book, broad, can, daughter, earth, full, hand, little, mother, name, object, point, store, talk, thought, time, trouble" "95"
"96" "can, daughter, deeply, end, excuse, female, found, guess, hand, important, keen, love, lovely, natural, point, private, relation, rest, sense, space, substantial, thought, wrong" "96"
"97" "account, amused, busy, daughter, female, first, gentle, hand, hope, little, love, name, object, secret, talk, thought" "97"
"98" "daughter, mother, temper" "98"
"99" "can, charge, cold, curious, deeply, dinner, first, hand, hope, horse, hot, little, meeting, object, open, rest, round, shelter, steady, thought, time, touch, tranquil, trouble, two" "99"
"100" "back, beg, can, finger, full, hand, letters, love, name, natural, plot, protect, rest, sigh, strange, thought, trouble" "100"
"101" "back, birds, busy, curious, distance, dogs, earth, fresh, gentle, green, hand, hope, horse, little, name, open, red, reflect, sky, strange, talk, thought, time, tranquil, warm" "101"
"102" "account, back, broad, can, charge, chin, desert, dinner, distinct, dress, earth, fat, first, hang, horse, idea, invention, known, laugh, lip, little, love, prevent, reply, round, scale, suggest, thought, time, two, unusual, use, window" "102"
"103" "attempt, back, beg, bridge, can, dress, end, female, first, found, gentle, guard, hand, idea, known, little, love, move, name, natural, point, wrong" "103"
"104" "can, cold, daughter, delightful, enchanting, excuse, fear, first, gentle, hand, hope, legs, little, object, person, present, ready, test, thought, time, trouble, wonder, wrong" "104"
"105" "beg, distance, drag, frame, full, hand, lie, point, present, time, tranquil, warm" "105"
"106" "bow, box, boy, earth, end, full, hand, horse, little, modern, pipe, present, public, ready, reply, room, stir, thought, time, window" "106"
"107" "can, driving, found, full, future, hope, line, little, obey, pipe, position, round, talk, time, waiting, wonder" "107"
"108" "back, broad, cold, doubtful, earth, full, gold, hot, little, month, near, object, peep, point, ready, sign, thought, time, two, unusual, window" "108"
"109" "back, book, can, end, first, found, full, hope, known, little, object, public, pull, rest, room, round, school, time, wool" "109"
"110" "account, boy, condition, dress, end, first, hand, known, large, little, married, money, mother, open, present, request, round, shelter, stem, street, thought, time, two" "110"
"111" "actually, back, experience, full, hand, idea, leg, legs, line, little, love, month, point, round, sign, street, thought, trouble, wall, week, wonder" "111"
"112" "command, dusty, found, land, mere, open, shoes, two" "112"
"113" "can, charge, end, fancy, first, flap, found, hand, heal, hope, laugh, little, name, natural, open, painful, person, position, present, room, teeth, time, vast, wine, wrong" "113"
"114" "back, beg, calm, can, condition, continue, curious, delightful, earth, end, experience, finger, first, hope, impress, lip, little, love, name, nut, reflect, roof, room, round, sad, secret, sense, temper, time" "114"
"115" "bitter, black, brave, continue, earth, finger, found, glow, hand, keen, meat, near, perpetual, pipe, private, red, relation, rest, roof, room, round, safe, secret, sense, thought, time, two, wander, warm, waste, waves, window" "115"
"116" "back, can, carpenter, curious, direction, dress, end, first, hand, idea, legs, little, person, public, room, sign, time, two, vast, vein, window" "116"
"117" "back, boiling, comfortable, dress, escape, fear, first, guttural, hand, hot, known, legs, little, lock, month, near, open, request, room, round, strange, teeth, thought, time, two" "117"
"118" "account, back, collect, driving, fancy, fear, finger, first, fresh, hand, handle, little, present, relieved, room, round, secret, sense, story, time, trouble, waiting, wrong" "118"
"119" "anger, back, black, broad, cold, comfortable, determined, dry, end, fat, found, hand, idea, important, keen, known, legs, longing, near, open, point, ray, room, safe, sense, steady, story, thought, two, warm, wonder" "119"
