"source" "target" "tag"
1 2 "can"
1 2 "little"
1 2 "married"
1 2 "mother"
1 2 "name"
1 2 "strange"
1 2 "time"
1 2 "window"
1 3 "back"
2 3 "can"
2 3 "dress"
2 3 "fancy"
2 3 "found"
2 3 "hand"
2 3 "hope"
2 3 "little"
2 3 "mother"
2 3 "name"
2 3 "strange"
2 3 "time"
1 3 "two"
2 3 "window"
3 4 "little"
1 4 "money"
3 4 "mother"
2 4 "room"
3 4 "two"
3 5 "back"
4 5 "bow"
3 5 "can"
3 5 "comfortable"
2 5 "known"
4 5 "little"
4 5 "mother"
4 5 "room"
3 5 "time"
3 5 "window"
5 6 "back"
3 6 "birds"
5 6 "can"
3 6 "fancy"
1 6 "first"
5 6 "little"
3 6 "near"
3 6 "observe"
5 6 "red"
5 6 "room"
5 6 "time"
2 6 "touch"
4 6 "two"
5 6 "window"
6 7 "back"
6 7 "boy"
6 7 "first"
2 7 "large"
6 7 "little"
2 7 "married"
5 7 "mother"
2 7 "open"
6 7 "red"
2 7 "round"
4 7 "school"
1 7 "sense"
6 7 "time"
6 7 "two"
6 7 "wonder"
6 7 "work"
6 7 "yard"
7 8 "back"
6 8 "black"
6 8 "can"
2 8 "end"
7 8 "finger"
3 8 "found"
3 8 "hand"
7 8 "little"
7 8 "married"
7 8 "mother"
3 8 "name"
6 8 "room"
7 8 "round"
7 8 "thought"
7 8 "time"
6 8 "touch"
7 8 "two"
7 8 "wonder"
8 9 "account"
8 9 "black"
7 9 "boy"
5 9 "comfortable"
7 9 "fence"
7 9 "first"
8 9 "found"
6 9 "green"
8 9 "hand"
8 9 "little"
8 9 "mother"
8 9 "name"
6 9 "near"
6 9 "observe"
1 9 "temper"
8 9 "thought"
8 9 "time"
8 9 "two"
6 9 "window"
8 10 "back"
9 10 "black"
9 10 "first"
7 10 "large"
9 10 "little"
9 10 "mother"
9 10 "name"
9 10 "near"
9 10 "observe"
7 10 "open"
7 10 "red"
8 10 "room"
9 10 "thought"
9 10 "time"
9 10 "two"
7 10 "work"
10 11 "back"
6 11 "distance"
6 11 "distinct"
10 11 "first"
9 11 "idea"
10 11 "little"
9 11 "love"
4 11 "money"
4 11 "point"
8 11 "ready"
8 11 "round"
8 11 "talk"
10 11 "thought"
10 11 "time"
10 11 "two"
11 12 "back"
9 12 "boy"
11 12 "time"
9 13 "account"
12 13 "back"
10 13 "black"
11 13 "book"
11 13 "box"
10 13 "busy"
11 13 "chin"
11 13 "distance"
11 13 "first"
9 13 "found"
3 13 "hope"
9 13 "horse"
11 13 "idea"
5 13 "known"
5 13 "land"
11 13 "little"
11 13 "round"
3 13 "strange"
10 13 "street"
11 13 "thought"
12 13 "time"
1 13 "waste"
13 14 "back"
13 14 "black"
13 14 "book"
8 14 "can"
10 14 "cold"
13 14 "delightful"
13 14 "first"
13 14 "fish"
13 14 "found"
9 14 "green"
13 14 "known"
10 14 "large"
13 14 "little"
10 14 "near"
4 14 "polite"
10 14 "red"
7 14 "roof"
10 14 "room"
13 14 "thought"
11 14 "two"
13 14 "use"
7 14 "wall"
9 14 "window"
10 14 "work"
6 15 "birds"
10 15 "curious"
8 15 "end"
9 15 "hand"
13 15 "hope"
13 15 "idea"
10 15 "laugh"
14 15 "little"
10 15 "mother"
10 15 "name"
14 15 "near"
7 15 "person"
11 15 "point"
14 15 "roof"
9 15 "temper"
14 15 "thought"
13 15 "time"
14 15 "two"
8 15 "wonder"
14 16 "back"
13 16 "box"
14 16 "can"
15 16 "curious"
2 16 "doubtful"
6 16 "fancy"
15 16 "gold"
15 16 "hand"
14 16 "large"
15 16 "little"
11 16 "love"
11 16 "money"
15 16 "near"
14 16 "pipe"
14 16 "red"
13 16 "round"
13 16 "sky"
15 16 "thought"
15 16 "time"
15 16 "two"
16 17 "back"
14 17 "black"
14 17 "cold"
9 17 "comfortable"
2 17 "condition"
10 17 "dinner"
14 17 "fish"
14 17 "found"
14 17 "known"
15 17 "laugh"
16 17 "little"
16 17 "pipe"
11 17 "ready"
7 17 "sense"
16 17 "thought"
8 17 "trouble"
14 17 "use"
15 17 "wonder"
17 18 "cold"
7 18 "direction"
6 18 "familiar"
8 18 "finger"
16 18 "hand"
13 18 "horse"
17 18 "little"
15 18 "name"
15 18 "point"
17 18 "ready"
16 18 "round"
16 18 "sky"
13 18 "strange"
17 18 "thought"
16 18 "time"
17 19 "back"
12 19 "boy"
18 19 "cold"
18 19 "hand"
15 19 "mother"
18 19 "thought"
14 19 "window"
14 19 "work"
7 19 "yard"
19 20 "boy"
16 20 "can"
19 20 "cold"
17 20 "dinner"
19 20 "hand"
18 20 "horse"
14 20 "hot"
13 20 "legs"
18 20 "little"
16 20 "love"
18 20 "name"
14 20 "room"
18 20 "strange"
19 20 "thought"
18 20 "time"
8 20 "touch"
16 20 "two"
17 20 "wonder"
19 20 "yard"
13 21 "account"
17 21 "black"
20 21 "boy"
20 21 "dinner"
4 21 "escape"
14 21 "first"
17 21 "found"
20 21 "hand"
15 21 "hope"
17 21 "known"
16 21 "large"
20 21 "little"
20 21 "love"
16 21 "money"
16 21 "near"
10 21 "open"
18 21 "point"
20 21 "room"
18 21 "round"
3 21 "scared"
20 21 "strange"
20 21 "thought"
20 21 "time"
20 21 "two"
9 21 "wrong"
20 22 "can"
17 22 "condition"
15 22 "end"
21 22 "first"
21 22 "found"
21 22 "hope"
15 22 "idea"
21 22 "little"
21 22 "love"
8 22 "married"
19 22 "mother"
20 22 "name"
10 22 "observe"
21 22 "open"
15 22 "person"
11 22 "talk"
21 22 "thought"
21 22 "time"
17 22 "trouble"
13 22 "waiting"
20 22 "wonder"
19 23 "back"
21 23 "black"
22 23 "can"
20 23 "excuse"
3 23 "fear"
18 23 "finger"
22 23 "first"
22 23 "found"
21 23 "hand"
22 23 "hope"
10 23 "letters"
22 23 "mother"
11 23 "move"
21 23 "near"
1 23 "present"
18 23 "ready"
21 23 "room"
21 23 "round"
22 23 "talk"
15 23 "temper"
22 23 "thought"
22 23 "time"
21 23 "two"
19 23 "window"
22 23 "wonder"
21 23 "wrong"
23 24 "back"
5 24 "bird"
14 24 "book"
21 24 "boy"
21 24 "dinner"
13 24 "distance"
16 24 "fancy"
23 24 "first"
23 24 "found"
8 24 "fresh"
23 24 "hand"
1 24 "history"
23 24 "hope"
22 24 "idea"
22 24 "little"
18 24 "natural"
21 24 "obey"
21 24 "point"
23 24 "present"
6 24 "rest"
23 24 "room"
17 24 "sense"
23 24 "time"
23 24 "two"
23 24 "wonder"
24 25 "back"
24 25 "book"
23 25 "can"
16 25 "curious"
24 25 "found"
24 25 "hand"
24 25 "history"
24 25 "idea"
13 25 "line"
24 25 "little"
23 25 "mother"
24 25 "page"
24 25 "point"
24 25 "rest"
24 25 "room"
23 25 "round"
24 25 "time"
7 25 "week"
25 26 "can"
24 26 "distance"
23 26 "fear"
24 26 "first"
24 26 "fresh"
25 26 "hand"
20 26 "hot"
25 26 "idea"
21 26 "large"
22 26 "name"
23 26 "near"
22 26 "open"
16 26 "red"
25 26 "room"
25 26 "round"
21 26 "strange"
25 26 "time"
2 26 "wicked"
23 26 "window"
24 26 "wonder"
16 27 "box"
24 27 "boy"
22 27 "end"
25 27 "found"
26 27 "hand"
20 27 "horse"
25 27 "little"
22 27 "love"
26 27 "red"
7 27 "school"
23 27 "thought"
26 27 "wicked"
25 28 "back"
13 28 "dry"
27 28 "found"
27 28 "hand"
27 28 "horse"
26 28 "idea"
27 28 "little"
27 28 "love"
26 28 "name"
22 28 "person"
25 28 "point"
2 28 "request"
16 28 "safe"
27 28 "thought"
26 28 "time"
24 28 "two"
17 28 "use"
22 28 "waiting"
28 29 "back"
27 29 "box"
14 29 "delightful"
24 29 "dinner"
26 29 "fear"
28 29 "found"
28 29 "hand"
13 29 "handle"
24 29 "hope"
26 29 "large"
28 29 "little"
26 29 "meat"
21 29 "meeting"
28 29 "name"
27 29 "red"
10 29 "relieved"
26 29 "room"
26 29 "strange"
28 29 "thought"
28 29 "time"
28 29 "use"
20 29 "yard"
21 30 "account"
3 30 "beg"
27 30 "boy"
29 30 "dinner"
26 30 "first"
29 30 "little"
7 30 "lovely"
22 30 "mere"
24 30 "natural"
27 30 "school"
28 30 "two"
29 30 "yard"
30 31 "account"
29 31 "back"
30 31 "boy"
21 31 "charge"
26 31 "distance"
22 31 "earth"
29 31 "found"
30 31 "guard"
21 31 "known"
20 31 "legs"
30 31 "little"
29 31 "name"
26 31 "round"
29 31 "time"
30 31 "two"
30 31 "yard"
31 32 "back"
23 32 "black"
5 32 "bow"
29 32 "box"
1 32 "bridge"
26 32 "can"
13 32 "chin"
31 32 "distance"
28 32 "dry"
30 32 "first"
31 32 "found"
29 32 "hand"
29 32 "hope"
26 32 "hot"
28 32 "idea"
29 32 "large"
31 32 "legs"
31 32 "little"
28 32 "person"
31 32 "scale"
29 32 "thought"
26 32 "window"
31 32 "yard"
32 33 "back"
32 33 "can"
32 33 "first"
32 33 "found"
26 33 "fresh"
18 33 "full"
14 33 "green"
32 33 "hand"
31 33 "known"
32 33 "large"
17 33 "laugh"
32 33 "legs"
32 33 "little"
30 33 "natural"
26 33 "near"
31 33 "neck"
26 33 "open"
15 33 "roof"
29 33 "room"
31 33 "round"
32 33 "thought"
14 33 "wall"
1 33 "warm"
32 33 "window"
33 34 "back"
30 34 "beg"
24 34 "bird"
31 34 "boy"
33 34 "can"
3 34 "deserted"
14 34 "dirty"
27 34 "end"
33 34 "first"
30 34 "ink"
33 34 "leg"
33 34 "little"
31 34 "name"
33 34 "open"
29 34 "red"
33 34 "room"
33 34 "round"
30 34 "school"
29 34 "strange"
31 34 "time"
31 34 "two"
33 34 "wall"
32 34 "yard"
34 35 "back"
17 35 "comfortable"
34 35 "end"
23 35 "fat"
34 35 "first"
33 35 "full"
33 35 "green"
33 35 "hand"
34 35 "ink"
33 35 "large"
34 35 "leg"
34 35 "little"
34 35 "pull"
25 35 "rest"
2 35 "sad"
34 35 "school"
23 35 "talk"
25 35 "teeth"
33 35 "thought"
34 35 "time"
33 35 "window"
19 35 "work"
35 36 "back"
32 36 "chin"
35 36 "comfortable"
1 36 "determined"
31 36 "dusty"
35 36 "first"
33 36 "found"
35 36 "full"
35 36 "hand"
35 36 "large"
35 36 "leg"
35 36 "little"
25 36 "month"
35 36 "teeth"
35 36 "thought"
35 36 "time"
34 36 "two"
31 37 "account"
36 37 "back"
34 37 "boy"
34 37 "can"
36 37 "first"
36 37 "full"
36 37 "hand"
36 37 "leg"
36 37 "little"
21 37 "money"
34 37 "name"
28 37 "request"
35 37 "rest"
34 37 "room"
34 37 "round"
35 37 "school"
10 37 "secret"
25 37 "stretch"
36 37 "thought"
36 37 "time"
36 37 "two"
28 37 "waiting"
13 37 "waste"
10 37 "wine"
37 38 "account"
25 38 "book"
37 38 "boy"
20 38 "cold"
30 38 "dinner"
17 38 "future"
37 38 "hand"
32 38 "hot"
37 38 "leg"
25 38 "line"
37 38 "little"
28 38 "love"
29 38 "meat"
37 38 "money"
25 38 "mother"
37 38 "name"
33 38 "natural"
33 38 "near"
32 38 "person"
34 38 "red"
22 38 "reply"
35 38 "sad"
37 38 "school"
37 38 "thought"
37 38 "time"
35 38 "window"
26 38 "wonder"
35 38 "work"
37 40 "back"
38 40 "boy"
37 40 "can"
38 40 "dinner"
32 40 "distance"
35 40 "fat"
36 40 "found"
33 40 "fresh"
33 40 "known"
36 40 "large"
33 40 "laugh"
38 40 "little"
38 40 "meat"
38 40 "near"
38 40 "red"
37 40 "round"
38 40 "thought"
37 40 "two"
29 40 "use"
38 40 "window"
14 40 "wipe"
38 40 "work"
8 41 "brave"
22 41 "condition"
32 41 "dry"
29 41 "fear"
37 41 "first"
40 41 "found"
40 41 "laugh"
33 41 "legs"
40 41 "little"
38 41 "love"
28 41 "point"
30 41 "story"
40 41 "thought"
38 41 "time"
40 41 "two"
38 41 "wonder"
40 41 "work"
40 42 "back"
32 42 "box"
40 42 "boy"
28 42 "cake"
40 42 "can"
36 42 "comfortable"
41 42 "fear"
41 42 "first"
32 42 "idea"
41 42 "laugh"
38 42 "leg"
41 42 "little"
22 42 "observe"
38 42 "person"
37 42 "rest"
37 42 "room"
38 42 "school"
37 42 "secret"
31 42 "stir"
41 42 "story"
34 42 "strange"
36 42 "teeth"
41 42 "thought"
41 42 "time"
22 42 "trouble"
41 42 "two"
37 42 "wine"
41 42 "work"
25 42 "worry"
42 43 "back"
38 43 "book"
42 43 "boy"
42 43 "can"
40 43 "dogs"
35 43 "end"
41 43 "found"
38 43 "hand"
42 43 "idea"
20 43 "lip"
42 43 "little"
38 43 "mother"
40 43 "red"
42 43 "room"
40 43 "round"
42 43 "school"
42 43 "trouble"
40 43 "use"
34 43 "wall"
25 43 "week"
42 43 "work"
38 44 "account"
43 44 "back"
43 44 "boy"
43 44 "can"
42 44 "fear"
43 44 "hand"
42 44 "laugh"
43 44 "little"
43 44 "mother"
40 44 "near"
42 44 "person"
43 44 "position"
24 44 "present"
23 44 "ready"
43 44 "room"
43 44 "round"
43 44 "school"
7 44 "stage"
42 44 "stir"
35 44 "talk"
42 44 "thought"
23 44 "wrong"
44 45 "account"
44 45 "back"
43 45 "book"
13 45 "clean"
42 45 "first"
43 45 "found"
44 45 "hand"
40 45 "known"
40 45 "large"
44 45 "laugh"
44 45 "little"
44 45 "mother"
38 45 "name"
44 45 "ready"
44 45 "room"
44 45 "round"
44 45 "school"
42 45 "story"
44 45 "thought"
42 45 "two"
43 45 "wall"
45 46 "back"
32 46 "black"
13 46 "broad"
44 46 "can"
29 46 "delightful"
32 46 "hope"
45 46 "large"
38 46 "line"
45 46 "little"
41 46 "love"
45 46 "name"
38 46 "natural"
34 46 "open"
45 46 "ready"
45 46 "room"
45 46 "thought"
42 46 "time"
45 46 "two"
31 47 "beef"
46 47 "black"
38 47 "cold"
34 47 "dirty"
45 47 "first"
43 47 "idea"
35 47 "ink"
42 47 "leg"
42 47 "rest"
46 47 "time"
43 47 "week"
40 47 "window"
46 48 "back"
42 48 "box"
47 48 "cold"
43 48 "end"
45 48 "hand"
28 48 "horse"
38 48 "hot"
46 48 "large"
46 48 "little"
45 48 "mother"
46 48 "name"
33 48 "neck"
22 48 "object"
46 48 "open"
35 48 "pull"
46 48 "ready"
47 48 "rest"
46 48 "room"
45 48 "round"
42 48 "strange"
47 48 "time"
48 49 "back"
40 49 "dinner"
47 49 "first"
45 49 "found"
37 49 "full"
16 49 "gold"
48 49 "hand"
45 49 "laugh"
48 49 "little"
38 49 "match"
14 49 "mug"
44 49 "near"
48 49 "neck"
48 49 "pull"
43 49 "red"
48 49 "room"
48 49 "round"
44 49 "talk"
42 49 "teeth"
46 49 "thought"
48 49 "time"
46 49 "two"
43 49 "use"
45 50 "account"
46 50 "can"
21 50 "escape"
8 50 "glove"
49 50 "hand"
46 50 "hope"
49 50 "little"
44 50 "person"
41 50 "point"
48 50 "ready"
49 50 "red"
49 50 "talk"
49 50 "time"
43 50 "trouble"
41 50 "wonder"
43 50 "work"
50 51 "account"
36 51 "chin"
16 51 "doubtful"
49 51 "first"
50 51 "little"
50 51 "person"
48 51 "rest"
50 51 "time"
42 51 "worry"
49 52 "back"
34 52 "beg"
44 52 "boy"
48 52 "cold"
18 52 "familiar"
24 52 "fancy"
51 52 "first"
50 52 "hand"
50 52 "hope"
51 52 "little"
36 52 "month"
48 52 "mother"
50 52 "red"
49 52 "room"
49 52 "round"
51 52 "time"
49 52 "two"
52 53 "beg"
45 53 "book"
52 53 "boy"
50 53 "can"
42 53 "comfortable"
49 53 "dinner"
23 53 "excuse"
52 53 "hand"
47 53 "leg"
19 53 "lie"
52 53 "little"
52 53 "mother"
23 53 "move"
24 53 "obey"
42 53 "observe"
50 53 "ready"
52 53 "room"
49 53 "thought"
53 54 "book"
52 54 "cold"
3 54 "dress"
52 54 "first"
53 54 "little"
22 54 "married"
49 54 "near"
29 54 "order"
49 54 "plate"
4 54 "space"
7 54 "winter"
45 55 "attempt"
53 55 "boy"
53 55 "can"
54 55 "cold"
48 55 "end"
14 55 "fog"
49 55 "found"
49 55 "full"
53 55 "hand"
2 55 "important"
48 55 "large"
54 55 "little"
53 55 "mother"
53 55 "move"
54 55 "near"
54 55 "order"
52 55 "red"
51 55 "rest"
52 55 "round"
45 55 "school"
17 55 "sigh"
53 55 "thought"
52 55 "time"
52 55 "two"
52 56 "back"
47 56 "black"
54 56 "book"
55 56 "can"
