"root_node_id" "tag"
"1" "actually"
"1" "broad"
"1" "calm"
"1" "can"
"1" "cold"
"1" "fear"
"1" "first"
"1" "glow"
"1" "history"
"1" "land"
"1" "little"
"1" "near"
"1" "perpetual"
"1" "point"
"1" "present"
"1" "rejoice"
"1" "secret"
"1" "steady"
"1" "time"
"2" "depend"
"2" "dress"
"2" "gentle"
"2" "important"
"2" "love"
"2" "madly"
"2" "match"
"2" "money"
"2" "month"
"2" "name"
"2" "object"
"2" "person"
"2" "reply"
"2" "sense"
"2" "spare"
"2" "story"
"2" "thought"
"3" "back"
"3" "breathe"
"3" "carriage"
"3" "command"
"3" "crown"
"3" "determined"
"3" "direction"
"3" "distance"
"3" "dogs"
"3" "end"
"3" "fog"
"3" "found"
"3" "letters"
"3" "married"
"3" "modern"
"3" "obedient"
"3" "round"
"3" "strange"
"3" "two"
"3" "vast"
"3" "warm"
"3" "winter"
"3" "work"
"4" "animated"
"4" "busy"
"4" "condition"
"4" "destruction"
"4" "earth"
"4" "fancy"
"4" "frame"
"4" "fresh"
"4" "gigantic"
"4" "large"
"4" "open"
"4" "rest"
"4" "teeth"
"4" "trouble"
"4" "wonder"
"5" "continue"
"5" "deeply"
"5" "hope"
"5" "sky"
"5" "tranquil"
"5" "use"
"6" "future"
"6" "hand"
"6" "reflect"
"6" "relation"
"7" "daughter"
"7" "excite"
"7" "mother"
"7" "public"
"7" "shelter"
"7" "street"
"8" "charge"
"8" "distinct"
"8" "gold"
"8" "known"
"8" "living"
"8" "lovely"
"8" "protect"
"8" "stamp"
"8" "train"
"8" "week"
"9" "account"
"9" "boy"
"9" "full"
"9" "rule"
"9" "stage"
"9" "structure"
"9" "temper"
"10" "book"
"10" "longing"
"10" "natural"
"10" "page"
"10" "sad"
"10" "scientific"
"10" "search"
"10" "waste"
"11" "ready"
"11" "unusual"
"12" "desert"
"12" "enchanting"
"12" "familiar"
"12" "meeting"
"13" "black"
"13" "guide"
"13" "room"
"13" "station"
"14" "advise"
"14" "escape"
"14" "order"
"14" "private"
"15" "examine"
"15" "idea"
"15" "observe"
"15" "painful"
"15" "worm"
"16" "attempt"
"16" "complex"
"16" "frantic"
"16" "imperfect"
"18" "load"
"18" "space"
"18" "watery"
"18" "window"
"18" "yellow"
"19" "laugh"
"19" "lock"
"19" "waiting"
"21" "guess"
"21" "include"
"21" "line"
"21" "minister"
"22" "excuse"
"22" "impress"
"23" "delightful"
"23" "verdant"
"24" "finger"
"24" "heal"
"24" "joyous"
"24" "neck"
"24" "prevent"
"24" "sigh"
"25" "mere"
"27" "rely"
"27" "safe"
"28" "beg"
"28" "doubtful"
"28" "wicked"
"29" "chief"
"29" "join"
"30" "bitter"
"30" "lie"
"30" "melt"
"30" "move"
"30" "talk"
"31" "hapless"
"32" "gather"
"33" "bridge"
"34" "keen"
"35" "cloudy"
"35" "recess"
"35" "wall"
"35" "wander"
"35" "waves"
"38" "birds"
"38" "dry"
"38" "roof"
"38" "touch"
"39" "clean"
"39" "damp"
"39" "experience"
"39" "reproduce"
"39" "wine"
"40" "pail"
"40" "plants"
"40" "yard"
"41" "cow"
"41" "store"
"42" "dinner"
"42" "wipe"
"44" "green"
"44" "guitar"
"44" "pink"
"47" "enthusiastic"
"47" "female"
"47" "religion"
"48" "detect"
"48" "plot"
"49" "exciting"
"49" "school"
"50" "deserted"
"50" "red"
"52" NA
"52" "52"
"53" "anger"
"53" "bird"
"54" "bushes"
"55" "belong"
"55" "cure"
"55" "relieved"
"58" "request"
"59" "collect"
"60" "amused"
"60" "mute"
"60" "steep"
"60" "tearful"
"61" "retire"
"62" "cheat"
"62" "queen"
"63" "iron"
"63" "scale"
"63" "stretch"
"64" "oatmeal"
"65" "pest"
"66" "cake"
"66" "fearless"
"66" "sign"
"67" "aboard"
"67" "coast"
"67" "handle"
"67" "position"
"68" "annoyed"
"70" "wheel"
"71" "bury"
"72" "scared"
"74" "obey"
"74" "suspect"
"75" "attack"
"75" "hot"
"75" "overjoyed"
"76" "fish"
"80" "drag"
"82" "hover"
"84" "admit"
"84" "brave"
"85" "chilly"
"86" "stir"
"87" "curious"
"88" "fade"
