"source" "target" "tag"
1 2 "black"
1 2 "dry"
1 2 "large"
1 2 "little"
1 2 "time"
1 2 "two"
1 2 "wall"
1 2 "wine"
2 3 "back"
2 3 "can"
2 3 "daughter"
2 3 "dry"
2 3 "hand"
2 3 "little"
1 3 "point"
2 3 "rest"
2 3 "time"
2 3 "wine"
1 4 "admit"
3 4 "dry"
2 4 "first"
3 4 "hand"
1 4 "hot"
3 4 "little"
3 4 "match"
3 4 "money"
3 4 "ready"
1 4 "sky"
2 4 "wall"
1 4 "window"
4 5 "admit"
3 5 "back"
4 5 "hand"
1 5 "line"
4 5 "little"
2 5 "lock"
4 5 "money"
3 5 "point"
4 5 "position"
2 5 "teeth"
2 5 "two"
4 5 "wall"
1 6 "dusty"
5 6 "hand"
5 6 "little"
2 6 "near"
4 6 "ready"
2 6 "red"
2 6 "round"
3 6 "time"
5 7 "back"
3 7 "daughter"
4 7 "first"
2 7 "large"
5 7 "money"
5 7 "position"
6 7 "ready"
6 7 "round"
6 7 "time"
5 7 "train"
5 7 "wall"
3 8 "can"
1 8 "earth"
4 8 "found"
3 8 "full"
5 8 "known"
6 8 "little"
5 8 "love"
4 8 "mere"
4 8 "mother"
7 8 "name"
7 8 "round"
4 8 "thought"
7 8 "time"
5 8 "two"
2 8 "use"
7 8 "wall"
8 9 "account"
8 9 "can"
7 9 "daughter"
5 9 "end"
8 9 "found"
8 9 "little"
4 9 "married"
8 9 "mother"
3 9 "rest"
2 9 "room"
8 9 "time"
3 9 "work"
2 10 "anger"
9 10 "can"
9 10 "daughter"
3 10 "direction"
9 10 "married"
8 10 "mere"
9 10 "mother"
7 10 "natural"
2 10 "open"
6 10 "order"
9 10 "rest"
9 10 "room"
8 10 "round"
8 10 "thought"
9 10 "time"
8 10 "two"
4 10 "window"
10 11 "anger"
2 11 "black"
10 11 "can"
7 11 "first"
9 11 "found"
8 11 "full"
6 11 "hand"
4 11 "hot"
9 11 "little"
8 11 "name"
2 11 "neck"
10 11 "open"
3 11 "reply"
10 11 "room"
10 11 "two"
6 12 "dusty"
11 12 "hot"
6 12 "land"
11 12 "little"
8 12 "love"
8 12 "temper"
7 13 "fresh"
9 13 "gentle"
6 13 "history"
5 13 "line"
