"root_node_id" "tag"
"1" "back"
"1" "blush"
"1" "can"
"1" "clean"
"1" "delightful"
"1" "desert"
"1" "first"
"1" "green"
"1" "idea"
"1" "legs"
"1" "little"
"1" "love"
"1" "mother"
"1" "name"
"1" "person"
"1" "rest"
"1" "sense"
"1" "slope"
"1" "store"
"1" "story"
"1" "strange"
"1" "temper"
"1" "time"
"1" "two"
"1" "waste"
"2" "attempt"
"2" "boy"
"2" "chief"
"2" "found"
"2" "present"
"2" "prevent"
"3" "account"
"3" "beg"
"3" "book"
"3" "comfortable"
"3" "daughter"
"3" "depend"
"3" "dress"
"3" "excite"
"3" "fear"
"3" "female"
"3" "full"
"3" "hand"
"3" "important"
"3" "letters"
"3" "money"
"3" "near"
"3" "open"
"3" "order"
"3" "public"
"3" "room"
"3" "warm"
"3" "work"
"4" "end"
"4" "hope"
"4" "join"
"4" "large"
"4" "partner"
"4" "space"
"4" "winter"
"5" "round"
"5" "thought"
"5" "wonder"
"6" "black"
"6" "fresh"
"6" "laugh"
"6" "natural"
"6" "reply"
"6" "rule"
"6" "trouble"
"6" "week"
"7" "charge"
"7" "known"
"7" "polite"
"7" "tease"
"7" "wine"
"7" "yard"
"8" "command"
"8" "compare"
"8" "history"
"8" "keen"
"8" "meeting"
"8" "point"
"8" "ready"
"8" "station"
"9" "street"
"9" "window"
"10" "box"
"10" "breathe"
"10" "continue"
"10" "fancy"
"10" "gentle"
"10" "search"
"10" "sigh"
"10" "talk"
"10" "train"
"10" "wrong"
"11" NA
"11" "11"
"12" "living"
"13" "determined"
"13" "waiting"
"14" "move"
"15" "bow"
"15" "carriage"
"15" "distance"
"15" "driving"
"15" "guess"
"15" "horse"
"15" "hot"
"15" "month"
"15" "scrape"
"15" "test"
"16" "animated"
"16" "married"
"17" "dinner"
"18" "belong"
"18" "request"
"18" "use"
"19" "advise"
"19" "dogs"
"19" "stir"
"19" "touch"
"20" "object"
"21" "direction"
"21" "escape"
"21" "longing"
"21" "observe"
"21" "secret"
"21" "spare"
"22" "distinct"
"22" "iron"
"22" "relation"
"22" "safe"
"23" "birds"
"23" "busy"
"23" "vast"
"25" "amused"
"25" "position"
"25" "red"
"25" "roof"
"26" "error"
"26" "future"
"28" "experience"
"28" "familiar"
"29" "cloudy"
"29" "dirty"
"29" "sky"
"30" "excuse"
"30" "painful"
"30" "trot"
"31" "private"
"31" "pull"
"33" "admit"
"33" "calm"
"33" "doubtful"
"33" "stage"
"34" "tip"
"36" "cold"
"36" "mere"
"37" "absurd"
"37" "steady"
"38" "relieved"
"40" "attack"
"40" "invention"
"40" "page"
"40" "reflect"
"40" "suggest"
"41" "actually"
"42" "crown"
"44" "line"
"44" "yellow"
"45" "glow"
"45" "lovely"
"46" "finger"
"48" "suspect"
"49" "modern"
"51" "elated"
"51" "successful"
"52" "damp"
"54" "guard"
"59" "deserted"
"59" "examine"
"59" "retire"
"60" "gold"
"60" "marble"
"60" "shelter"
"61" "broad"
"62" "curious"
"62" "imperfect"
"62" "lock"
"62" "recess"
"63" "rejoice"
"64" "handle"
"64" "unusual"
"66" "dry"
"67" "plants"
"67" "steep"
"67" "wall"
"69" "roomy"
"70" "deeply"
"71" "guide"
"72" "elegant"
"72" "meat"
"73" "anger"
"73" "bitter"
"73" "ray"
"73" "swift"
"75" "land"
"77" "rely"
"79" "sad"
"79" "substantial"
"81" "shallow"
"83" "obey"
"84" "collect"
"85" "offend"
"86" "melt"
"87" "frighten"
"89" "match"
"90" "impress"
"93" "tacit"
