"source" "target" "tag"
1 3 "cold"
1 3 "first"
1 3 "found"
1 3 "hand"
2 3 "known"
1 3 "little"
1 3 "round"
1 3 "two"
3 4 "cold"
3 4 "hand"
3 4 "little"
1 4 "mother"
1 4 "name"
1 4 "order"
3 4 "room"
1 4 "time"
3 4 "two"
4 5 "back"
4 5 "boy"
1 5 "dinner"
4 5 "end"
3 5 "fat"
3 5 "first"
3 5 "found"
4 5 "hand"
1 5 "hope"
3 5 "known"
4 5 "little"
4 5 "mother"
4 5 "name"
1 5 "public"
4 5 "room"
3 5 "round"
4 5 "sense"
4 5 "time"
4 5 "two"
3 5 "week"
5 6 "boy"
5 6 "end"
5 6 "fat"
5 6 "first"
5 6 "hand"
5 6 "large"
5 6 "public"
5 6 "room"
5 6 "two"
5 6 "week"
5 7 "back"
6 7 "boy"
4 7 "cold"
3 7 "comfortable"
4 7 "deeply"
6 7 "end"
6 7 "first"
6 7 "full"
5 7 "future"
5 7 "little"
4 7 "order"
6 7 "public"
4 7 "ready"
6 7 "room"
5 7 "round"
6 7 "two"
6 7 "week"
3 8 "account"
7 8 "boy"
3 8 "clean"
4 8 "determined"
7 8 "gentle"
7 8 "little"
5 8 "red"
7 8 "room"
7 8 "round"
7 8 "two"
3 8 "use"
8 9 "account"
7 9 "back"
6 9 "beg"
8 9 "boy"
5 9 "direction"
6 9 "fear"
7 9 "future"
5 9 "hope"
6 9 "large"
8 9 "little"
7 9 "order"
8 9 "room"
5 9 "thought"
5 9 "time"
8 9 "two"
3 9 "window"
7 10 "public"
9 11 "boy"
7 11 "cold"
5 11 "dinner"
7 11 "first"
6 11 "hand"
1 11 "iron"
5 11 "known"
9 11 "large"
5 11 "laugh"
9 11 "little"
8 11 "near"
7 11 "person"
1 11 "point"
8 11 "round"
1 11 "shoes"
1 11 "talk"
9 11 "thought"
9 11 "time"
9 11 "two"
9 12 "back"
11 12 "boy"
1 12 "can"
11 12 "hand"
11 12 "little"
11 12 "near"
9 12 "open"
9 12 "order"
8 12 "red"
11 12 "thought"
11 12 "time"
7 12 "week"
5 12 "work"
4 13 "bow"
12 13 "boy"
11 13 "cold"
9 13 "future"
11 13 "iron"
12 13 "little"
9 13 "room"
11 13 "shoes"
12 14 "back"
9 14 "beg"
11 14 "black"
13 14 "boy"
12 14 "calm"
13 14 "cold"
9 14 "direction"
1 14 "distance"
11 14 "first"
12 14 "hand"
8 14 "hot"
11 14 "large"
13 14 "little"
12 14 "near"
12 14 "red"
1 14 "street"
12 14 "time"
11 14 "two"
7 14 "wall"
1 14 "warm"
2 14 "yellow"
14 15 "back"
14 15 "box"
14 15 "boy"
8 15 "determined"
11 15 "dinner"
14 15 "first"
4 15 "idea"
11 15 "known"
14 15 "large"
11 15 "laugh"
3 15 "leg"
14 15 "little"
5 15 "mother"
5 15 "name"
12 15 "order"
11 15 "point"
10 15 "public"
8 15 "reply"
13 15 "room"
12 15 "thought"
14 15 "time"
15 16 "back"
15 16 "boy"
14 16 "cold"
14 16 "direction"
13 16 "dirty"
15 16 "first"
7 16 "full"
15 16 "large"
14 16 "near"
14 16 "object"
12 16 "open"
14 16 "recess"
15 16 "reply"
5 16 "rest"
15 16 "room"
11 16 "round"
9 16 "search"
14 16 "street"
15 16 "thought"
15 16 "time"
1 16 "trouble"
14 16 "two"
12 16 "week"
9 16 "window"
16 17 "back"
14 17 "black"
16 17 "boy"
12 17 "can"
16 17 "cold"
13 17 "damp"
16 17 "direction"
16 17 "full"
16 17 "large"
15 17 "leg"
14 17 "legs"
16 17 "near"
11 17 "person"
2 17 "station"
14 17 "strange"
16 17 "street"
16 17 "thought"
16 17 "time"
16 17 "two"
3 17 "waiting"
14 17 "warm"
17 18 "back"
17 19 "black"
17 19 "boy"
17 19 "can"
12 19 "charge"
7 19 "comfortable"
7 19 "command"
15 19 "curious"
7 19 "end"
3 19 "experience"
17 19 "full"
13 19 "future"
15 19 "little"
15 19 "mother"
15 19 "order"
15 19 "public"
14 19 "red"
17 19 "thought"
17 19 "time"
19 20 "black"
19 20 "boy"
19 20 "can"
17 20 "cold"
12 20 "crown"
14 20 "hand"
9 20 "hope"
15 20 "known"
19 20 "little"
19 20 "mother"
17 20 "person"
16 20 "reply"
16 20 "teeth"
18 21 "back"
20 21 "boy"
20 21 "can"
19 21 "collect"
19 21 "curious"
3 21 "female"
16 21 "first"
19 21 "full"
20 21 "little"
15 21 "mute"
20 21 "person"
20 21 "position"
16 21 "round"
3 21 "spare"
17 21 "strange"
19 21 "time"
7 21 "yard"
21 22 "back"
15 22 "box"
21 22 "boy"
21 22 "can"
20 22 "cold"
16 22 "dirty"
14 22 "distance"
17 22 "earth"
9 22 "fear"
21 22 "first"
21 22 "little"
16 22 "mere"
20 22 "mother"
16 22 "open"
15 22 "point"
7 22 "pump"
16 22 "rest"
16 22 "room"
21 22 "round"
17 22 "street"
19 22 "thought"
21 22 "time"
22 23 "boy"
22 23 "first"
20 23 "hope"
22 23 "little"
22 23 "round"
22 23 "time"
22 24 "back"
23 24 "boy"
8 24 "clean"
22 24 "cold"
19 24 "comfortable"
17 24 "damp"
15 24 "determined"
22 24 "distance"
12 24 "dry"
22 24 "earth"
19 24 "end"
23 24 "first"
21 24 "full"
8 24 "gentle"
23 24 "hope"
15 24 "idea"
17 24 "large"
17 24 "legs"
23 24 "little"
15 24 "name"
22 24 "point"
7 24 "ready"
22 24 "rest"
8 24 "shirt"
13 24 "steep"
21 24 "strange"
22 24 "thought"
23 24 "time"
17 24 "two"
24 25 "back"
14 25 "beg"
24 25 "boy"
24 25 "clean"
17 25 "direction"
22 25 "dirty"
24 25 "first"
3 25 "juvenile"
24 25 "large"
24 25 "little"
19 25 "order"
17 25 "relieved"
22 25 "room"
23 25 "round"
24 25 "strange"
22 25 "street"
24 25 "time"
24 25 "two"
16 25 "week"
12 25 "work"
25 26 "back"
20 26 "black"
24 26 "comfortable"
24 26 "end"
5 26 "found"
20 26 "hand"
20 26 "known"
25 26 "little"
24 26 "name"
17 26 "near"
22 26 "open"
19 26 "red"
20 26 "reply"
25 26 "room"
25 26 "round"
25 26 "street"
25 26 "time"
25 26 "two"
24 26 "vast"
14 26 "wall"
14 27 "hot"
26 27 "near"
25 27 "order"
24 27 "ready"
16 27 "trouble"
26 28 "back"
22 28 "box"
25 28 "boy"
22 28 "can"
21 28 "condition"
25 28 "dirty"
24 28 "earth"
26 28 "hand"
24 28 "idea"
13 28 "iron"
26 28 "known"
26 28 "little"
22 28 "mere"
21 28 "mute"
26 28 "name"
26 28 "open"
21 28 "person"
26 28 "room"
26 28 "round"
1 28 "space"
24 28 "thought"
26 28 "time"
28 29 "box"
20 29 "crown"
21 29 "curious"
22 29 "fear"
26 29 "found"
1 29 "green"
28 29 "hand"
24 29 "hope"
27 29 "hot"
15 29 "laugh"
12 29 "natural"
23 29 "neck"
26 29 "red"
26 29 "reply"
28 29 "room"
28 29 "round"
24 29 "shirt"
13 29 "shoes"
28 29 "thought"
28 29 "time"
26 29 "two"
16 29 "window"
6 29 "wonder"
25 29 "work"
16 29 "wrong"
28 30 "boy"
28 30 "can"
7 30 "deeply"
15 30 "depend"
29 30 "hand"
29 30 "money"
29 30 "time"
29 30 "work"
28 31 "back"
26 31 "black"
13 31 "book"
30 31 "boy"
25 31 "direction"
15 31 "finger"
25 31 "first"
14 31 "fresh"
24 31 "full"
28 31 "gold"
30 31 "hand"
16 31 "lip"
28 31 "open"
28 31 "person"
24 31 "point"
29 31 "room"
29 31 "round"
28 31 "space"
25 31 "strange"
26 31 "street"
29 31 "two"
8 31 "unusual"
30 31 "work"
31 32 "back"
31 32 "boy"
30 32 "deeply"
31 32 "first"
31 32 "fresh"
25 32 "large"
24 32 "legs"
28 32 "little"
31 32 "open"
31 32 "person"
19 32 "public"
31 32 "room"
31 32 "round"
31 32 "street"
30 32 "time"
31 32 "two"
32 33 "back"
31 33 "book"
32 33 "boy"
19 33 "charge"
12 33 "chin"
28 33 "dirty"
28 33 "earth"
26 33 "end"
29 33 "found"
24 33 "gentle"
31 33 "hand"
32 33 "little"
28 33 "name"
32 33 "time"
32 33 "two"
26 33 "vast"
26 33 "wall"
21 33 "yard"
33 34 "actually"
25 34 "beg"
31 34 "black"
33 34 "book"
33 34 "boy"
30 34 "can"
33 34 "charge"
19 34 "experience"
29 34 "fear"
33 34 "found"
29 34 "hope"
24 34 "lie"
33 34 "name"
32 34 "person"
31 34 "point"
29 34 "reply"
32 34 "round"
16 34 "search"
33 35 "back"
34 35 "book"
34 35 "boy"
34 35 "charge"
24 35 "cold"
24 35 "determined"
7 35 "frame"
33 35 "hand"
33 35 "little"
34 35 "person"
32 35 "public"
29 35 "shirt"
33 35 "time"
33 35 "two"
33 35 "yard"
35 36 "back"
35 36 "boy"
35 36 "charge"
35 36 "cold"
24 36 "dry"
6 36 "fat"
32 36 "first"
35 36 "frame"
33 36 "gentle"
31 36 "gold"
35 36 "hand"
19 36 "important"
32 36 "large"
34 36 "lie"
35 36 "little"
24 36 "living"
22 36 "mother"
29 36 "natural"
27 36 "near"
29 36 "neck"
8 36 "obey"
34 36 "reply"
32 36 "room"
34 36 "round"
32 36 "street"
29 36 "thought"
35 36 "time"
17 36 "warm"
31 36 "work"
19 37 "attempt"
36 37 "back"
14 37 "calm"
26 37 "comfortable"
15 37 "dinner"
31 37 "full"
19 37 "future"
28 37 "known"
