"root_node_id" "tag"
"1" "back"
"1" "bird"
"1" "bridge"
"1" "broad"
"1" "can"
"1" "daughter"
"1" "direction"
"1" "dirty"
"1" "dress"
"1" "hand"
"1" "iron"
"1" "line"
"1" "little"
"1" "money"
"1" "near"
"1" "red"
"1" "rest"
"1" "round"
"1" "stain"
"1" "steady"
"1" "touch"
"1" "two"
"1" "use"
"2" "aboard"
"2" "ahead"
"2" "belong"
"2" "future"
"2" "meat"
"2" "pipe"
"2" "position"
"2" "present"
"2" "time"
"2" "tow"
"2" "work"
"2" "yellow"
"3" "babies"
"3" "carriage"
"3" "cold"
"3" "crown"
"3" "dinner"
"3" "distinct"
"3" "end"
"3" "first"
"3" "found"
"3" "hope"
"3" "idea"
"3" "known"
"3" "large"
"3" "married"
"3" "name"
"3" "open"
"3" "plate"
"3" "room"
"3" "shoes"
"4" "account"
"4" "charge"
"4" "distance"
"4" "dry"
"4" "enthusiastic"
"4" "experience"
"4" "fish"
"4" "gold"
"4" "gorgeous"
"4" "neck"
"4" "perpetual"
"4" "polite"
"4" "retire"
"4" "stage"
"4" "talk"
"4" "teeth"
"4" "thought"
"5" "beg"
"5" "black"
"5" "book"
"5" "condition"
"5" "green"
"5" "leg"
"5" "legs"
"5" "obedient"
"5" "point"
"5" "public"
"5" "secret"
"5" "suggest"
"6" "boy"
"6" "deserted"
"6" "land"
"6" "mother"
"6" "person"
"6" "private"
"6" "scale"
"6" "twist"
"6" "week"
"6" "wine"
"7" "exciting"
"7" "living"
"7" "story"
"7" "train"
"7" "wrong"
"8" "box"
"8" "chin"
"8" "curious"
"8" "frame"
"8" "guard"
"8" "letters"
"8" "stretch"
"8" "waiting"
"8" "wall"
"9" "birds"
"9" "damp"
"9" "roof"
"9" "spare"
"9" "steep"
"9" "street"
"10" "copy"
"10" "fear"
"10" "ink"
"10" "ready"
"10" "yard"
"11" "amused"
"11" "chief"
"11" "excuse"
"11" "finger"
"11" "glow"
"11" "object"
"11" "order"
"11" "school"
"11" "separate"
"11" "sign"
"11" "stomach"
"12" "full"
"12" "love"
"12" "relieved"
"12" "shelter"
"12" "warm"
"12" "window"
"14" "border"
"14" "bow"
"14" "desert"
"14" "dogs"
"14" "fog"
"14" "meeting"
"14" "minor"
"14" "modern"
"15" "brave"
"15" "page"
"15" "pull"
"15" "search"
"15" "sense"
"15" "space"
"16" "orange"
"16" "payment"
"16" "watery"
"17" "doubtful"
"17" "fresh"
"17" "handle"
"17" "lovely"
"17" "mellow"
"17" "natural"
"18" "bee"
"18" "boiling"
"18" "earth"
"18" "lip"
"19" "clean"
"19" "dusty"
"19" "fat"
"19" "invention"
"19" "lettuce"
"19" "request"
"19" "trouble"
"19" "umbrella"
"19" "undesirable"
"19" "winter"
"20" "gentle"
"20" "glove"
"20" "guide"
"22" "determined"
"22" "familiar"
"22" "move"
"22" "tip"
"22" "unusual"
"23" "driving"
"23" "elated"
