"node_id" "tags" "dpub"
"1" "broad, busy, can, curious, detect, distance, driving, earth, escape, found, full, green, hand, hope, hot, idea, keen, known, lie, little, living, love, present, rest, round, sense, story, street, time, vast, window, wonder" "1"
"2" "back, can, curious, deeply, deserted, determined, distance, familiar, first, found, frame, fresh, full, impress, iron, little, lock, love, near, observe, person, public, reply, room, secret, spare, story, strange, street, thought" "2"
"3" "amused, back, boy, childlike, chin, first, full, hand, laugh, leg, little, love, mother, neck, object, open, point, red, round, stretch, thought, time, use" "3"
"4" "boy, charge, end, first, found, large, laugh, little, love, meat, mug, neck, object, room, sigh, teeth, thought, time, waste, work" "4"
"5" "account, admit, back, black, boy, cold, distance, dress, gentle, guard, hand, love, name, ready, room, sad, secret, strange, street, thought, time, window" "5"
"6" "familiar, first, gentle, point, street, two, warm, worm" "6"
"7" "back, can, dirty, dress, found, hope, money, mother, natural, person, present, relieved, sigh, street, talk, time, waiting, week, work" "7"
"8" "back, black, cold, dirty, distance, end, finger, hand, idea, large, lie, little, observe, person, point, present, reply, secret, stomach, strange, suspect, vast, wine, wrong, yellow" "8"
"9" "account, bow, can, carriage, continue, hand, hope, little, money, prevent, secret, time, waves, wrong" "9"
"10" "attempt, bitter, black, chin, clean, dirty, dress, first, hand, idea, large, little, love, mere, name, natural, object, point, present, room, round, shoes, suggest, time, waiting, wonder, yellow" "10"
"11" "back, bird, chin, condition, curious, dirty, examine, fear, first, fresh, gold, green, hand, hope, hover, idea, iron, keen, large, little, love, money, obedient, object, observe, present, room, round, safe, secret, space, store, talk, thought, time" "11"
"12" "admit, back, bird, can, end, fear, first, fresh, gentle, hand, history, hope, idea, ink, laugh, mother, neck, object, space, spare, station, time, week" "12"
"13" "account, anger, attack, boy, fear, fresh, impress, iron, known, large, little, money, mother, natural, open, perpetual, plants, present, room, round, scale, strange, talk, two, window, wonder, yard" "13"
"14" "back, daughter, deeply, excuse, first, fresh, hand, idea, little, love, married, mother, order, person, point, position, present, talk, thought, time, wrong" "14"
"15" "anger, back, daughter, exciting, fear, found, hope, known, large, little, month, mother, order, position, room, round, secret, successful, time, two, wrong" "15"
"16" "black, end, first, legs, position, red, reply, room, window" "16"
"17" "back, cloudy, cold, damp, daughter, fresh, full, little, married, mother, mute, natural, near, obedient, open, rest, room, round, sense, sign, street, thought, time" "17"
"18" "back, black, boiling, boy, breathe, dry, first, fish, gigantic, hand, handle, iron, keen, name, natural, obedient, object, open, point, position, ready, room, round, steady, strange, talk, time, trouble, two, umbrella" "18"
"19" "back, box, boy, chin, dirty, distance, first, hand, ink, large, little, point, position, rest, two, window, yard, yellow" "19"
"20" "back, boy, delightful, determined, fear, first, found, hand, laugh, legs, little, open, painful, reply, round, time, two, work" "20"
"21" "boy, bruise, can, guard, little, love, near, obedient, order, room, round, sad, talk, time, unusual, wine" "21"
"22" "back, breathe, can, condition, familiar, finger, first, green, hand, legs, lip, little, love, mother, ready, rest, round, sky, talk, thought, time, touch" "22"
"23" "can, dinner, keen, mere, reply, secret, time, warm" "23"
"24" "blush, can, challenge, cold, end, experience, fancy, first, little, money, point, polite, room, secret, sense, space, story, talk, temper, time, trouble, two, use, wander, window, wine, worry" "24"
"25" "direction, experience, hand, little, money, natural, pail, present, prevent, scale, secret, time, two, warm, week" "25"
"26" "account, can, fancy, little, lovely, pull, talk, two, warm" "26"
"27" "account, back, beef, book, dinner, direction, end, experience, fear, frame, hand, hope, large, letters, little, meat, open, order, pencil, point, present, red, structure, suspect, time, two, week, wine" "27"
"28" "back, daughter, determined, elegant, fresh, hallowed, hand, important, known, little, mother, name, object, point, prevent, ready, room, safe, sigh, strange, thought, time, two, use, venomous, yellow" "28"
"29" "can, chin, delightful, first, found, glow, hand, leg, love, momentous, object, observe, order, partner, plot, thought, time, two, wonder" "29"
"30" "account, distance, first, hand, lip, little, lovely, married, neck, present, thought, two, waste" "30"
"31" "advise, back, book, cold, distance, dusty, fear, first, laugh, little, love, page, person, present, room, round, sense, station, story, street, time, train, two, window, work" "31"
"32" "back, beg, can, chin, familiar, fear, first, hand, leg, little, living, money, neck, open, person, position, reply, rest, room, round, sad, strange, time, use, wander, waste, window, work" "32"
"33" "fear, first, found, fresh, gold, hand, idea, leg, little, love, mere, money, name, natural, order, present, private, retire, room, secret, shallow, talk, thought, time, warm" "33"
