"source" "target" "tag"
8 11 "daughter"
11 13 "daughter"
13 17 "daughter"
11 23 "account"
22 23 "present"
13 24 "time"
28 29 "can"
23 29 "request"
32 34 "hand"
23 36 "present"
30 37 "charge"
17 38 "daughter"
37 38 "mother"
38 42 "mother"
46 47 "found"
27 53 "known"
42 54 "mother"
24 56 "time"
56 58 "time"
38 61 "daughter"
12 62 "first"
33 62 "two"
54 63 "end"
37 64 "charge"
54 65 "mother"
18 68 "obedient"
36 68 "present"
29 75 "can"
62 77 "two"
61 78 "daughter"
62 78 "first"
58 78 "time"
78 79 "time"
79 80 "time"
75 83 "can"
80 83 "hope"
28 83 "object"
64 87 "charge"
80 90 "time"
47 92 "found"
83 92 "hope"
83 94 "can"
94 95 "can"
63 96 "end"
78 97 "first"
41 99 "little"
37 101 "person"
77 104 "two"
47 105 "private"
92 107 "hope"
17 107 "join"
101 109 "name"
38 109 "thought"
99 110 "little"
68 112 "beg"
68 112 "obedient"
98 116 "natural"
67 117 "earth"
107 117 "hope"
83 117 "object"
117 119 "hope"
64 124 "fear"
110 126 "little"
101 128 "person"
97 129 "first"
53 129 "known"
65 130 "mother"
116 130 "natural"
90 131 "time"
130 132 "natural"
132 135 "natural"
107 137 "join"
68 142 "present"
108 143 "week"
78 144 "daughter"
142 144 "present"
144 145 "daughter"
130 145 "mother"
86 146 "blush"
95 147 "can"
144 147 "present"
60 148 "rest"
143 149 "week"
81 152 "meeting"
109 152 "name"
131 152 "time"
149 152 "week"
152 153 "time"
104 153 "two"
147 155 "can"
145 156 "daughter"
29 156 "request"
119 157 "hope"
163 164 "room"
156 166 "request"
157 167 "hope"
153 173 "two"
156 174 "daughter"
167 178 "hope"
135 183 "natural"
155 189 "can"
152 189 "name"
124 190 "fear"
178 190 "hope"
190 192 "hope"
189 193 "name"
192 197 "hope"
189 198 "can"
135 199 "love"
89 200 "guard"
128 200 "person"
148 211 "rest"
9 212 "chief"
153 212 "time"
105 213 "private"
198 214 "can"
212 215 "time"
147 217 "present"
64 220 "idea"
174 231 "daughter"
96 234 "end"
127 238 "wonder"
200 239 "person"
213 242 "private"
164 245 "room"
197 246 "fancy"
109 246 "thought"
16 247 "trouble"
212 251 "dress"
179 254 "full"
190 256 "fear"
142 256 "use"
39 257 "school"
251 261 "dress"
104 261 "large"
259 264 "letters"
242 266 "private"
254 267 "full"
261 267 "large"
137 268 "join"
246 269 "thought"
142 269 "waiting"
178 270 "determined"
129 270 "first"
269 270 "thought"
261 271 "dress"
215 271 "time"
34 272 "hand"
272 274 "hand"
126 278 "little"
274 279 "hand"
239 281 "person"
245 281 "room"
279 282 "hand"
268 282 "join"
256 285 "fear"
109 286 "gentle"
234 286 "open"
281 286 "person"
271 287 "time"
270 288 "partner"
270 289 "thought"
285 290 "fear"
288 291 "partner"
214 292 "can"
291 293 "partner"
234 294 "end"
281 294 "room"
46 295 "attempt"
293 295 "partner"
294 295 "room"
292 296 "can"
259 296 "excuse"
289 296 "thought"
296 297 "can"
220 297 "idea"
270 298 "ready"
92 299 "found"
211 299 "rest"
23 304 "offend"
286 306 "person"
282 313 "hand"
295 315 "partner"
306 320 "person"
295 320 "room"
286 322 "animated"
295 324 "attempt"
299 325 "found"
112 329 "beg"
146 329 "blush"
270 329 "first"
173 329 "two"
329 330 "actually"
193 330 "name"
287 330 "time"
128 331 "important"
247 331 "trouble"
329 334 "first"
297 334 "idea"
315 334 "partner"
330 334 "time"
329 336 "bow"
298 339 "ready"
334 346 "time"
334 347 "partner"
346 347 "time"
256 347 "use"
278 348 "little"
270 350 "determined"
313 352 "hand"
285 354 "strange"
347 356 "time"
199 357 "love"
294 358 "end"
334 360 "first"
329 372 "beg"
290 372 "fear"
297 374 "can"
197 374 "hope"
304 376 "offend"
320 376 "person"
374 377 "can"
360 381 "first"
377 382 "can"
382 384 "can"
381 386 "first"
217 401 "present"
238 401 "wonder"
374 402 "hope"
386 406 "first"
406 411 "first"
411 412 "first"
376 412 "person"
320 414 "room"
281 414 "round"
336 419 "bow"
296 421 "thought"
359 424 "curious"
421 429 "thought"
23 433 "account"
433 441 "account"
402 450 "hope"
129 451 "known"
429 454 "thought"
325 455 "found"
266 458 "private"
414 458 "room"
458 467 "room"
133 472 "observe"
282 473 "join"
412 473 "person"
467 473 "room"
454 473 "thought"
347 476 "partner"
325 476 "public"
329 477 "blush"
476 479 "partner"
384 480 "can"
352 480 "hand"
473 482 "thought"
404 483 "delightful"
480 485 "can"
200 485 "guard"
485 486 "can"
401 488 "wonder"
372 491 "beg"
486 492 "can"
372 499 "fear"
492 501 "can"
479 503 "partner"
473 503 "person"
414 503 "round"
450 511 "hope"
473 513 "room"
455 514 "found"
501 517 "can"
363 520 "lovely"
419 524 "bow"
376 524 "offend"
356 525 "time"
524 528 "bow"
511 532 "hope"
532 533 "hope"
296 534 "excuse"
354 535 "strange"
480 540 "hand"
412 542 "first"
350 545 "determined"
503 546 "partner"
246 547 "fancy"
528 548 "bow"
473 548 "join"
267 548 "large"
482 549 "thought"
547 551 "fancy"
520 551 "lovely"
104 558 "deserted"
514 558 "found"
533 558 "hope"
546 559 "partner"
559 569 "partner"
339 573 "ready"
569 574 "partner"
331 577 "important"
330 577 "name"
476 577 "public"
535 581 "strange"
517 583 "can"
499 589 "fear"
348 589 "little"
540 590 "hand"
491 597 "beg"
558 597 "hope"
401 597 "present"
583 599 "can"
577 607 "name"
347 607 "use"
567 608 "relieved"
542 615 "first"
607 621 "name"
