"source" "target" "tag"
3 5 "night"
5 22 "night"
15 38 "over"
26 65 "think"
7 79 "only"
10 80 "know"
65 82 "think"
80 85 "know"
22 98 "candle"
85 112 "know"
79 116 "only"
112 127 "know"
127 138 "know"
116 142 "only"
38 150 "over"
10 159 "offered"
58 161 "told"
161 168 "told"
67 174 "really"
142 188 "only"
150 190 "over"
150 192 "tied"
162 202 "blow"
82 209 "think"
209 210 "think"
22 218 "night"
138 221 "know"
218 221 "night"
221 223 "know"
168 223 "told"
221 224 "night"
223 226 "know"
210 227 "think"
209 230 "many"
226 232 "know"
60 232 "thing"
232 233 "thing"
227 238 "think"
238 240 "think"
224 249 "night"
210 252 "rather"
233 262 "thing"
232 269 "know"
174 270 "really"
269 271 "know"
190 280 "over"
225 300 "obliged"
98 302 "sound"
271 308 "know"
280 313 "over"
262 313 "thing"
308 325 "know"
325 326 "know"
188 326 "only"
326 327 "know"
240 333 "think"
313 337 "over"
327 345 "know"
313 351 "thing"
337 356 "over"
333 359 "think"
359 365 "think"
345 380 "know"
326 382 "only"
270 382 "really"
380 384 "know"
223 404 "told"
384 405 "know"
382 406 "only"
405 407 "know"
406 409 "only"
249 410 "night"
407 418 "know"
415 422 "lips"
252 428 "rather"
356 429 "over"
428 431 "rather"
410 449 "night"
365 454 "think"
418 456 "know"
409 464 "only"
429 464 "over"
230 470 "many"
464 471 "over"
431 471 "rather"
382 471 "really"
471 475 "over"
404 475 "told"
449 478 "night"
475 483 "over"
351 500 "thing"
159 503 "offered"
456 517 "know"
483 517 "over"
454 517 "think"
517 524 "think"
517 532 "know"
464 545 "only"
202 548 "blow"
545 548 "only"
478 551 "night"
532 557 "know"
470 570 "many"
524 592 "think"
517 593 "over"
592 595 "think"
570 603 "many"
557 609 "know"
300 609 "obliged"
595 616 "think"
475 619 "told"
449 627 "expected"
471 628 "rather"
609 633 "know"
633 637 "lorn"
548 648 "only"
593 648 "over"
648 659 "only"
633 666 "know"
633 667 "goes"
666 667 "know"
637 667 "lorn"
659 667 "only"
471 671 "really"
667 672 "only"
667 675 "know"
667 687 "lorn"
551 694 "night"
500 696 "thing"
675 699 "know"
205 700 "shadows"
501 702 "leaving"
149 706 "sooner"
553 709 "however"
28 712 "servant"
248 729 "direction"
619 730 "told"
699 736 "know"
243 753 "empty"
696 754 "thing"
648 766 "over"
672 774 "only"
616 775 "think"
736 785 "know"
785 788 "know"
788 791 "know"
627 792 "expected"
422 796 "lips"
775 796 "think"
730 802 "told"
792 813 "expected"
766 819 "over"
496 820 "boxes"
603 823 "many"
820 827 "boxes"
12 827 "disposed"
754 830 "thing"
791 836 "know"
830 838 "thing"
694 839 "night"
839 841 "night"
774 850 "only"
850 852 "only"
836 854 "know"
854 859 "know"
823 859 "many"
852 863 "only"
609 864 "obliged"
863 864 "only"
408 865 "girlish"
859 876 "many"
859 881 "know"
881 888 "know"
876 888 "many"
60 892 "fault"
892 894 "fault"
98 898 "candle"
841 898 "night"
628 900 "rather"
796 911 "lips"
671 915 "really"
709 919 "however"
819 922 "over"
915 922 "really"
888 934 "know"
922 934 "over"
934 939 "over"
939 941 "over"
941 943 "over"
796 944 "think"
934 946 "know"
946 947 "know"
947 948 "know"
922 948 "really"
944 952 "think"
952 953 "think"
953 954 "think"
911 962 "lips"
827 964 "boxes"
74 964 "takes"
943 967 "over"
643 969 "wretched"
967 979 "over"
294 983 "resolved"
864 986 "only"
954 987 "think"
948 989 "know"
987 994 "think"
900 1003 "rather"
986 1025 "only"
994 1026 "think"
27 1027 "death"
302 1032 "sound"
898 1039 "night"
702 1044 "leaving"
888 1044 "many"
802 1044 "told"
743 1046 "arose"
1025 1047 "only"
989 1050 "know"
1039 1050 "night"
1050 1051 "night"
1026 1053 "think"
962 1054 "lips"
864 1063 "obliged"
838 1092 "thing"
1051 1096 "night"
1053 1098 "think"
1044 1099 "told"
774 1105 "forgive"
1105 1121 "forgive"
1098 1134 "think"
948 1141 "really"
979 1148 "over"
1047 1149 "only"
503 1152 "offered"
919 1178 "however"
1148 1191 "over"
1149 1200 "only"
1191 1203 "over"
1134 1203 "think"
1203 1216 "over"
1050 1217 "know"
1099 1218 "told"
1203 1226 "think"
1217 1233 "know"
1092 1234 "thing"
1226 1250 "think"
1200 1252 "only"
1216 1252 "over"
1181 1252 "wrote"
1218 1260 "told"
1003 1286 "rather"
1152 1288 "offered"
1286 1288 "rather"
1250 1295 "think"
1096 1297 "night"
1297 1304 "night"
827 1307 "disposed"
1233 1310 "know"
149 1323 "fetch"
813 1325 "expected"
1304 1325 "night"
1288 1330 "offered"
1252 1332 "over"
1288 1335 "rather"
1310 1340 "know"
1234 1343 "thing"
1260 1344 "told"
1325 1351 "night"
1063 1351 "obliged"
364 1353 "brown"
1332 1355 "over"
1295 1355 "think"
1344 1355 "told"
1355 1366 "think"
1340 1367 "know"
1353 1370 "brown"
1353 1370 "loaf"
548 1372 "blow"
1044 1375 "many"
1367 1377 "know"
1366 1377 "think"
1355 1379 "over"
1379 1383 "over"
1383 1408 "over"
192 1424 "tied"
1335 1436 "rather"
1351 1442 "night"
926 1447 "fat"
1413 1447 "upper"
1372 1450 "blow"
1442 1450 "night"
1252 1454 "only"
1377 1455 "think"
1436 1458 "pull"
1343 1467 "thing"
1472 1475 "veins"
1377 1484 "know"
1484 1485 "know"
1467 1498 "thing"
1498 1499 "thing"
1485 1512 "know"
1512 1517 "know"
1454 1517 "only"
1408 1525 "over"
388 1527 "enjoyed"
1325 1528 "expected"
1375 1530 "many"
1178 1531 "however"
511 1533 "jolly"
1307 1534 "disposed"
1355 1535 "told"
1535 1556 "told"
1455 1559 "think"
1525 1562 "over"
1436 1562 "rather"
1053 1563 "mysterious"
1562 1563 "over"
1530 1566 "many"
1517 1569 "only"
1450 1574 "blow"
1563 1574 "over"
1528 1576 "expected"
1569 1576 "only"
1574 1585 "over"
1450 1586 "night"
1351 1588 "obliged"
1559 1591 "think"
1517 1592 "know"
1586 1593 "night"
1593 1594 "night"
1594 1598 "night"
1027 1600 "death"
1585 1609 "over"
1556 1609 "told"
1576 1617 "only"
1609 1619 "over"
1141 1619 "really"
1527 1620 "enjoyed"
1591 1620 "think"
1592 1623 "know"
1623 1624 "know"
1620 1624 "think"
1624 1626 "think"
794 1629 "attracted"
1624 1629 "know"
1626 1631 "think"
1619 1632 "over"
1566 1638 "many"
1447 1639 "fat"
1629 1643 "know"
1617 1650 "only"
1631 1650 "think"
1632 1651 "over"
1650 1653 "only"
1638 1657 "many"
1651 1657 "over"
1650 1662 "think"
1643 1663 "know"
1609 1666 "told"
1663 1667 "know"
1653 1667 "only"
1598 1671 "night"
1666 1672 "told"
1671 1676 "night"
1562 1676 "rather"
1657 1677 "over"
1667 1680 "know"
1676 1681 "night"
1676 1681 "rather"
1620 1682 "enjoyed"
1499 1682 "thing"
1531 1683 "however"
1657 1688 "many"
323 1689 "treasure"
1124 1690 "wet"
1662 1691 "think"
1681 1694 "night"
1318 1694 "stir"
1682 1694 "thing"
1677 1695 "over"
1691 1697 "think"
1681 1698 "rather"
1437 1699 "pretend"
1629 1701 "attracted"
1695 1702 "over"
1008 1703 "worry"
1672 1707 "told"
1032 1708 "sound"
1636 1715 "dogs"
1697 1715 "think"
1702 1716 "over"
1716 1730 "over"
1715 1730 "think"
1054 1735 "lips"
1688 1735 "many"
1680 1740 "know"
706 1749 "sooner"
1475 1756 "veins"
1694 1770 "stir"
1740 1786 "know"
1786 1788 "know"
1756 1789 "veins"
1749 1791 "sooner"
1698 1794 "rather"
1044 1795 "leaving"
1788 1796 "know"
1794 1799 "rather"
1730 1799 "think"
253 1801 "stage"
1707 1814 "told"
1694 1815 "night"
1708 1815 "sound"
969 1815 "wretched"
1796 1816 "know"
1814 1818 "told"
