"root_node_id" "tag"
"1" NA
"1" "1"
"2" NA
"2" "2"
"3" NA
"3" "3"
"4" "thing"
"5" NA
"5" "5"
"6" NA
"6" "6"
"7" NA
"7" "7"
"8" "much"
"8" "wickedly"
"9" NA
"9" "9"
"10" "country"
"11" "provide"
"11" "sent"
"12" "does"
"13" NA
"13" "13"
"14" NA
"14" "14"
"15" NA
"15" "15"
"16" "trouble"
"17" "grandchild"
"18" "dear"
"19" NA
"19" "19"
"20" NA
"20" "20"
"21" NA
"21" "21"
"22" "remorse"
"23" "duty"
"23" "request"
"24" "short"
"25" NA
"25" "25"
"26" "companion"
"26" "young"
"27" NA
"27" "27"
"28" NA
"28" "28"
"29" "humane"
"30" "accompany"
"30" "capacity"
"30" "grandfather"
"30" "tutor"
"31" "entreaties"
"31" "urgent"
"32" "beauty"
"32" "excellent"
"32" "hand"
"33" NA
"33" "33"
"35" NA
"35" "35"
"36" "these"
"37" "take"
"39" NA
"39" "39"
"40" "speak"
"44" "misery"
"45" "tyrannically"
"46" "attempt"
"47" "consented"
"47" "very"
"48" NA
"48" "48"
"49" NA
"49" "49"
"50" NA
"50" "50"
"51" "see"
"52" "credulity"
"53" NA
"53" "53"
"54" "put"
"55" "breath"
"56" NA
"56" "56"
"58" NA
"58" "58"
"59" NA
"59" "59"
"60" "sixteenth"
"61" NA
"61" "61"
"64" NA
"64" "64"
"65" "quit"
"66" NA
"66" "66"
"67" NA
"67" "67"
"68" NA
"68" "68"
"69" NA
"69" "69"
"70" NA
"70" "70"
"71" NA
"71" "71"
"72" NA
"72" "72"
"73" "advantage"
"74" "bad"
"75" "serviceable"
"76" NA
"76" "76"
"81" NA
"81" "81"
"82" "our"
"84" NA
"84" "84"
"85" NA
"85" "85"
"86" NA
"86" "86"
"89" NA
"89" "89"
"90" "improvement"
"91" NA
"91" "91"
"92" NA
"92" "92"
"93" NA
"93" "93"
"94" NA
"94" "94"
"95" NA
"95" "95"
"96" NA
"96" "96"
"97" NA
"97" "97"
"99" "sought"
"100" "situation"
"101" NA
"101" "101"
"102" NA
"102" "102"
"103" NA
"103" "103"
"104" NA
"104" "104"
"105" NA
"105" "105"
"106" NA
"106" "106"
"107" "offence"
"107" "surely"
"108" "attend"
"112" NA
"112" "112"
"113" NA
"113" "113"
"114" NA
"114" "114"
"115" NA
"115" "115"
"116" NA
"116" "116"
"117" NA
"117" "117"
"118" NA
"118" "118"
"119" NA
"119" "119"
"120" NA
"120" "120"
"121" NA
"121" "121"
"122" NA
"122" "122"
"123" NA
"123" "123"
"125" NA
"125" "125"
"126" NA
"126" "126"
"131" "truly"
"132" NA
"132" "132"
"133" "conceit"
"135" NA
"135" "135"
"139" NA
"139" "139"
"140" NA
"140" "140"
"141" NA
"141" "141"
"142" "speedily"
"143" NA
"143" "143"
"144" "needless"
"147" NA
"147" "147"
"150" NA
"150" "150"
"151" NA
"151" "151"
"153" NA
"153" "153"
"155" NA
"155" "155"
"158" NA
"158" "158"
"159" NA
"159" "159"
"160" NA
"160" "160"
"161" NA
"161" "161"
"162" NA
"162" "162"
"165" NA
"165" "165"
"167" NA
"167" "167"
"168" NA
"168" "168"
"169" NA
"169" "169"
"170" NA
"170" "170"
"173" NA
"173" "173"
"174" NA
"174" "174"
"175" "contented"
"176" "form"
"177" NA
"177" "177"
"178" "determined"
"179" NA
"179" "179"
"180" NA
"180" "180"
"182" "opportunity"
"183" NA
"183" "183"
"184" NA
"184" "184"
"186" NA
"186" "186"
"187" NA
"187" "187"
"188" NA
"188" "188"
"189" NA
"189" "189"
"190" NA
"190" "190"
"191" NA
"191" "191"
"192" NA
"192" "192"
"194" NA
"194" "194"
"195" NA
"195" "195"
"196" "guide"
"197" NA
"197" "197"
"198" "direct"
"199" NA
"199" "199"
