"source" "target" "tag"
2 3 "that"
3 4 "that"
4 5 "that"
5 14 "that"
14 20 "that"
20 21 "that"
21 24 "that"
24 25 "that"
18 28 "thing"
28 30 "beauty"
25 35 "that"
28 39 "thing"
35 53 "that"
53 54 "that"
54 61 "that"
61 65 "that"
39 68 "thing"
65 70 "that"
64 78 "mother"
61 84 "after"
70 88 "that"
88 90 "that"
90 99 "that"
99 103 "that"
76 104 "cough"
103 106 "that"
68 107 "thing"
106 112 "that"
65 119 "shall"
30 121 "beauty"
112 122 "that"
122 123 "that"
84 126 "after"
123 126 "that"
126 127 "that"
127 128 "that"
126 132 "after"
127 133 "gentlemen"
132 133 "having"
118 134 "lively"
128 134 "that"
134 139 "that"
133 140 "having"
133 141 "gentlemen"
139 141 "that"
107 141 "time"
119 145 "shall"
141 156 "time"
60 159 "among"
134 159 "lively"
107 159 "thing"
78 163 "mother"
64 163 "way"
141 165 "that"
156 168 "time"
165 169 "that"
161 172 "admired"
119 172 "nothing"
152 173 "beautiful"
169 174 "that"
168 174 "time"
10 178 "impatiently"
174 180 "that"
159 184 "thing"
180 189 "that"
172 195 "admired"
159 196 "lively"
174 199 "time"
189 203 "that"
203 206 "that"
206 207 "that"
168 210 "deal"
139 212 "world"
195 218 "alone"
172 218 "nothing"
113 222 "neighbour"
145 222 "shall"
207 225 "that"
140 228 "having"
199 236 "time"
225 237 "that"
173 240 "beautiful"
121 241 "beauty"
195 243 "admired"
146 245 "particularly"
237 248 "that"
212 248 "world"
240 251 "kind"
222 251 "neighbour"
93 253 "sensible"
132 254 "after"
243 259 "admired"
248 259 "that"
259 263 "that"
218 264 "nothing"
263 264 "that"
264 268 "that"
268 270 "that"
159 271 "among"
270 275 "that"
163 278 "mother"
236 278 "time"
275 281 "that"
184 281 "thing"
245 285 "particularly"
92 285 "read"
281 285 "that"
210 290 "deal"
285 291 "that"
278 295 "mother"
291 297 "that"
163 297 "way"
248 297 "world"
243 300 "object"
297 300 "world"
297 301 "that"
288 301 "vanity"
83 302 "really"
301 307 "that"
307 309 "that"
264 312 "nothing"
309 319 "that"
319 320 "evenings"
319 320 "that"
106 322 "matter"
320 326 "that"
297 326 "way"
300 327 "object"
326 327 "that"
240 329 "beautiful"
327 329 "that"
130 331 "easy"
196 331 "perfect"
329 331 "that"
300 331 "world"
309 333 "conversing"
118 333 "step"
222 337 "shall"
331 337 "that"
337 338 "shall"
337 339 "that"
302 342 "really"
301 342 "vanity"
326 342 "way"
338 344 "shall"
228 346 "having"
339 346 "that"
342 347 "vanity"
331 348 "easy"
141 349 "near"
251 349 "neighbour"
346 349 "that"
254 350 "after"
312 350 "nothing"
350 355 "after"
349 355 "that"
91 361 "agree"
355 361 "that"
361 362 "that"
281 362 "thing"
305 363 "allow"
241 364 "beauty"
323 365 "least"
362 366 "that"
342 366 "way"
366 369 "that"
327 372 "object"
347 374 "injured"
320 376 "evenings"
322 388 "matter"
344 388 "shall"
297 390 "entertain"
331 390 "perfect"
369 390 "that"
366 395 "way"
350 396 "nothing"
285 396 "particularly"
113 398 "intelligence"
295 402 "mother"
396 402 "nothing"
390 403 "that"
278 404 "time"
390 405 "perfect"
253 408 "sensible"
361 410 "agree"
403 411 "that"
327 414 "becoming"
388 414 "shall"
404 414 "time"
411 415 "that"
285 417 "read"
417 421 "read"
414 422 "shall"
141 424 "gentlemen"
415 431 "that"
424 432 "gentlemen"
431 438 "that"
402 439 "mother"
439 441 "mother"
251 446 "kind"
346 447 "having"
388 447 "matter"
421 448 "read"
438 448 "that"
276 455 "carriage"
342 455 "really"
441 457 "mother"
362 457 "thing"
422 459 "shall"
402 463 "nothing"
459 464 "shall"
192 467 "set"
355 469 "after"
218 469 "alone"
290 470 "deal"
448 471 "that"
463 473 "nothing"
469 474 "alone"
469 476 "after"
447 482 "having"
471 482 "that"
432 484 "gentlemen"
473 484 "nothing"
482 485 "that"
455 486 "carriage"
485 486 "that"
476 490 "enquiries"
481 490 "solicitude"
447 492 "matter"
297 494 "evident"
484 496 "nothing"
364 498 "beauty"
496 499 "nothing"
464 500 "shall"
455 501 "really"
486 510 "that"
474 512 "alone"
510 515 "that"
501 519 "really"
457 520 "mother"
515 521 "that"
349 522 "near"
414 526 "time"
521 528 "that"
526 529 "time"
496 532 "cards"
528 536 "that"
536 538 "that"
102 541 "neglect"
541 543 "neglect"
132 543 "noble"
499 543 "nothing"
538 543 "that"
446 546 "kind"
519 546 "really"
543 546 "that"
522 551 "near"
546 563 "that"
529 563 "time"
546 567 "really"
563 567 "that"
470 569 "deal"
569 570 "deal"
567 571 "really"
567 578 "that"
187 580 "seek"
578 584 "that"
584 585 "that"
585 586 "that"
586 587 "that"
476 588 "after"
587 588 "that"
490 590 "enquiries"
563 590 "time"
520 591 "mother"
588 593 "after"
588 594 "that"
482 595 "apothecary"
590 595 "time"
591 596 "mother"
594 597 "that"
570 599 "deal"
366 599 "moved"
500 606 "shall"
599 608 "deal"
395 608 "way"
331 608 "world"
543 609 "nothing"
597 610 "that"
610 611 "that"
386 615 "exactly"
611 621 "that"
596 622 "mother"
621 622 "that"
365 625 "least"
622 625 "that"
625 628 "that"
593 631 "after"
628 633 "that"
608 634 "deal"
622 637 "mother"
609 637 "nothing"
633 637 "that"
637 639 "that"
639 644 "that"
644 651 "that"
651 654 "that"
498 657 "beauty"
654 661 "that"
178 665 "impatiently"
608 666 "way"
123 669 "already"
457 669 "thing"
661 670 "that"
637 671 "mother"
631 672 "after"
637 672 "nothing"
486 674 "carriage"
482 676 "having"
670 676 "that"
671 677 "mother"
348 678 "easy"
585 678 "recommended"
676 679 "that"
669 679 "thing"
608 679 "world"
606 681 "shall"
679 684 "that"
595 684 "time"
681 685 "shall"
685 686 "shall"
551 692 "near"
615 695 "exactly"
405 695 "perfect"
