"source" "target" "tag"
1 2 "but"
1 2 "first"
1 2 "her"
1 2 "probably"
1 2 "promised"
1 2 "shall"
1 2 "she"
1 2 "what"
1 2 "whom"
2 3 "but"
1 3 "feelings"
2 3 "first"
2 3 "her"
2 3 "little"
2 3 "shall"
2 3 "she"
2 3 "welfare"
2 3 "what"
2 3 "wish"
3 4 "but"
3 4 "first"
3 4 "free"
3 4 "her"
3 4 "little"
1 4 "nature"
3 4 "returning"
3 4 "shall"
3 4 "she"
2 4 "whom"
3 4 "wish"
4 5 "but"
1 5 "earnest"
4 5 "her"
2 5 "probably"
4 5 "shall"
4 5 "she"
4 5 "thoughts"
3 5 "what"
4 5 "wish"
5 6 "but"
5 6 "her"
4 6 "lady"
5 6 "room"
5 6 "shall"
5 6 "she"
3 6 "strongly"
5 6 "what"
5 6 "wish"
6 7 "but"
5 7 "desired"
4 7 "first"
6 7 "her"
6 7 "lady"
4 7 "little"
2 7 "promised"
6 7 "room"
6 7 "shall"
6 7 "she"
5 7 "stranger"
5 7 "thoughts"
6 7 "what"
6 7 "wish"
1 8 "appeared"
7 8 "but"
7 8 "desired"
7 8 "her"
7 8 "lady"
4 8 "returning"
7 8 "room"
7 8 "she"
3 8 "something"
7 8 "what"
4 8 "whom"
4 9 "accuse"
8 9 "appeared"
8 9 "but"
8 9 "courage"
7 9 "first"
8 9 "lady"
7 9 "little"
8 9 "she"
8 9 "something"
7 9 "thoughts"
8 9 "what"
9 10 "assembly"
9 10 "but"
6 10 "charming"
9 10 "first"
3 10 "grateful"
8 10 "her"
9 10 "lady"
8 10 "room"
9 10 "she"
4 10 "troubling"
9 10 "what"
7 10 "wish"
10 11 "assembly"
5 11 "began"
10 11 "but"
9 11 "courage"
10 11 "her"
10 11 "music"
10 11 "room"
7 11 "shall"
10 11 "she"
7 11 "stranger"
10 11 "what"
9 12 "angry"
11 12 "assembly"
11 12 "began"
11 12 "but"
4 12 "free"
11 12 "her"
10 12 "lady"
4 12 "neither"
11 12 "room"
11 12 "shall"
11 12 "she"
11 12 "stranger"
11 12 "what"
8 12 "whom"
10 12 "wish"
12 13 "but"
10 13 "charming"
10 13 "first"
12 13 "free"
12 13 "her"
12 13 "lady"
8 13 "returning"
12 13 "shall"
12 13 "she"
9 13 "something"
12 13 "what"
12 13 "whom"
12 13 "wish"
13 14 "but"
5 14 "consider"
3 14 "deserted"
8 14 "desired"
