"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"#-accuse";8;8;0;0;1;"#-accuse";4,9865087217706;"#-accuse";0,834373482656891;"#-accuse";394;"#-accuse";0,0147913128965949;"#-accuse";0,508552312850952
"#-become";29;25;2;53,5;0,862068965517241;"#-become";4,98138561389518;"#-become";0,841757182950634;"#-become";372,333333333333;"#-become";0,01726703782534;"#-become";0,497945129871368
"#-cherished";13;13;0;0;1;"#-cherished";4,64219291407441;"#-cherished";0,894900261485759;"#-cherished";179;"#-cherished";0,0520177711958534;"#-cherished";0,357670247554779
"#-complained";10;10;0;0;1;"#-complained";4,96711072429656;"#-complained";0,853009028857146;"#-complained";338;"#-complained";0,0205050313271312;"#-complained";0,471809387207031
"#-destroy";9;9;0;0;1;"#-destroy";4,95917591885297;"#-destroy";0,854718156027054;"#-destroy";331;"#-destroy";0,0210075546398416;"#-destroy";0,458743065595627
"#-distinctly";5;5;0;0;1;"#-distinctly";2,56494935746154;"#-distinctly";1;"#-distinctly";13;"#-distinctly";0;"#-distinctly";0
"#-doing";12;10;1;201;0,833333333333333;"#-doing";4,27071029981757;"#-doing";0,907912664888819;"#-doing";184;"#-doing";0,101305346700084;"#-doing";0,263537270948291
"#-engage";5;5;0;0;1;"#-engage";4,72251869925152;"#-engage";0,881628420992936;"#-engage";212;"#-engage";0,0396751306945482;"#-engage";0,38605397939682
"#-explain";17;16;1;136;0,941176470588235;"#-explain";4,8652899558053;"#-explain";0,863452806113278;"#-explain";289;"#-explain";0,0284030733676519;"#-explain";0,441577807068825
"#-extravagant";8;8;0;0;1;"#-extravagant";4,02213322727201;"#-extravagant";0,940483338034674;"#-extravagant";72;"#-extravagant";0,115789473684211;"#-extravagant";0,254907011985779
"#-felt";39;35;4;48,75;0,897435897435897;"#-felt";4,89022300666951;"#-felt";0,862351513801118;"#-felt";296,8;"#-felt";0,0268366915823865;"#-felt";0,446423000097275
"#-jot";13;12;1;54;0,923076923076923;"#-jot";4,93963355078037;"#-jot";0,861190601285584;"#-jot";310,5;"#-jot";0,0240756300419611;"#-jot";0,445430546998977
"#-known";62;43;8;37,625;0,693548387096774;"#-known";4,82566464351511;"#-known";0,866955237927827;"#-known";289,888888888889;"#-known";0,0346851027776246;"#-known";0,43799345029725
"#-need";21;20;2;71;0,952380952380952;"#-need";4,93191014032199;"#-need";0,857627462257878;"#-need";317,333333333333;"#-need";0,0234707253865141;"#-need";0,454710056384404
