"source" "target" "tag"
49 125 "same"
125 177 "same"
147 226 "old"
226 256 "old"
256 261 "old"
261 263 "old"
94 326 "right"
177 329 "same"
183 344 "red"
329 344 "same"
344 350 "red"
344 353 "same"
350 357 "red"
354 369 "main"
353 370 "same"
370 372 "same"
372 373 "same"
263 374 "old"
374 375 "old"
357 432 "red"
432 439 "red"
177 447 "varied"
375 450 "old"
430 457 "round"
212 460 "remarkable"
450 462 "old"
22 463 "private"
460 495 "remarkable"
373 514 "same"
462 531 "old"
463 555 "private"
495 556 "remarkable"
531 557 "old"
557 574 "old"
526 626 "male"
626 632 "male"
574 663 "old"
552 672 "handsome"
499 712 "devilish"
663 786 "old"
786 804 "old"
804 807 "old"
439 827 "red"
326 834 "right"
457 847 "round"
807 942 "old"
942 943 "old"
943 953 "old"
953 957 "old"
514 973 "same"
556 978 "remarkable"
957 984 "old"
834 995 "right"
984 997 "old"
672 1017 "handsome"
997 1029 "old"
847 1030 "round"
1029 1068 "old"
1068 1113 "old"
995 1136 "right"
1155 1170 "ridden"
888 1171 "innocent"
1136 1186 "right"
1023 1201 "deep"
1113 1203 "old"
1203 1206 "old"
1206 1210 "old"
1210 1211 "old"
1211 1213 "old"
1213 1214 "old"
1214 1216 "old"
1216 1218 "old"
1218 1219 "old"
973 1225 "same"
1219 1227 "old"
1227 1243 "old"
1243 1245 "old"
1245 1248 "old"
1248 1249 "old"
1249 1260 "old"
1260 1266 "old"
1266 1281 "old"
827 1284 "red"
1225 1287 "same"
1186 1316 "right"
1316 1339 "right"
1030 1357 "round"
1287 1383 "same"
1383 1392 "same"
1284 1416 "red"
1201 1431 "deep"
1431 1450 "deep"
1392 1465 "same"
1281 1502 "old"
1502 1511 "old"
1450 1517 "deep"
1511 1519 "old"
1200 1530 "cunning"
1519 1541 "old"
981 1550 "perfect"
1465 1572 "same"
1357 1583 "round"
978 1588 "remarkable"
1530 1600 "cunning"
1339 1625 "right"
1171 1642 "innocent"
1588 1650 "remarkable"
1625 1661 "right"
1650 1670 "remarkable"
1572 1703 "same"
1703 1705 "same"
555 1711 "private"
1416 1718 "red"
1705 1730 "same"
1730 1740 "same"
1541 1747 "old"
1740 1773 "same"
369 1776 "main"
1711 1782 "private"
1747 1808 "old"
1370 1927 "numerous"
1888 1928 "needful"
1718 1961 "red"
