"source" "target" "tag"
44 183 "small"
183 189 "small"
70 433 "open"
433 469 "open"
267 500 "hush"
542 551 "scanty"
471 554 "sullen"
189 657 "small"
123 775 "steep"
469 788 "open"
657 793 "small"
788 822 "open"
379 887 "inexorable"
793 996 "small"
996 1029 "small"
1029 1035 "small"
822 1058 "open"
551 1115 "scanty"
1058 1116 "open"
1035 1222 "small"
1222 1231 "small"
1115 1315 "scanty"
1231 1320 "small"
1320 1347 "small"
1347 1378 "small"
1116 1428 "open"
887 1648 "inexorable"
1120 1674 "encouraging"
1661 1674 "nondescript"
1674 1676 "nondescript"
1676 1678 "nondescript"
1678 1679 "nondescript"
1679 1680 "nondescript"
1680 1681 "nondescript"
1428 1700 "open"
1700 1756 "open"
1378 1884 "small"
1884 1894 "small"
629 1984 "airless"
1894 1984 "small"
1756 1995 "open"
1995 2126 "open"
385 2149 "unknown"
1984 2268 "small"
1941 2319 "previous"
2268 2327 "small"
2085 2347 "vivacious"
775 2358 "steep"
2126 2371 "open"
500 2373 "hush"
2371 2477 "open"
607 2628 "bald"
2327 2666 "small"
2628 2704 "bald"
2704 2707 "bald"
1913 2741 "surprising"
2477 2779 "open"
1315 2834 "scanty"
1674 2918 "encouraging"
2038 2925 "serious"
2779 2950 "open"
2373 3036 "hush"
2666 3069 "small"
2620 3088 "loud"
396 3132 "terrible"
2950 3166 "open"
3166 3236 "open"
298 3357 "homely"
3088 3617 "loud"
3069 3708 "small"
2319 3734 "previous"
3708 3743 "small"
2466 3783 "sentimental"
3743 3791 "small"
2149 3820 "unknown"
2964 3834 "courtly"
3834 3956 "courtly"
554 4008 "sullen"
3693 4031 "uneasy"
3791 4137 "small"
4137 4171 "small"
4008 4173 "sullen"
3236 4204 "open"
2024 4234 "obscure"
769 4396 "uniform"
4031 4420 "uneasy"
4171 4454 "small"
4454 4554 "small"
2741 4581 "surprising"
2865 4598 "relative"
694 4611 "timely"
3617 4647 "loud"
4204 4709 "open"
2358 4748 "steep"
1648 4763 "inexorable"
4709 4771 "open"
3036 4795 "hush"
4554 4947 "small"
4234 4958 "obscure"
2707 4963 "bald"
4420 4998 "uneasy"
4795 5009 "hush"
5009 5012 "hush"
2918 5025 "encouraging"
2834 5025 "scanty"
4771 5036 "open"
3820 5117 "unknown"
5036 5202 "open"
5202 5213 "open"
4947 5213 "small"
4396 5234 "uniform"
3710 5247 "distinguished"
4647 5326 "loud"
2347 5365 "vivacious"
5213 5382 "open"
2925 5424 "serious"
5213 5428 "small"
3132 5469 "terrible"
4958 5484 "obscure"
5382 5486 "open"
5428 5487 "small"
3956 5494 "courtly"
4173 5495 "sullen"
5247 5498 "distinguished"
664 5501 "shaded"
5487 5502 "small"
5502 5562 "small"
4998 5565 "uneasy"
5424 5572 "serious"
5486 5588 "open"
5565 5591 "uneasy"
5588 5595 "open"
5484 5598 "obscure"
4598 5601 "relative"
5572 5605 "serious"
4748 5610 "steep"
5591 5613 "uneasy"
5326 5658 "loud"
1984 5739 "airless"
5562 5747 "small"
5469 5793 "terrible"
5601 5823 "relative"
5747 5827 "small"
5012 5837 "hush"
5827 5946 "small"
3418 5966 "direct"
5595 6013 "open"
5613 6017 "uneasy"
1930 6146 "total"
3357 6165 "homely"
24 6167 "villainous"
5946 6180 "small"
5605 6187 "serious"
5498 6202 "distinguished"
6180 6229 "small"
6013 6250 "open"
6229 6411 "small"
3734 6415 "previous"
6411 6420 "small"
6250 6473 "open"
5837 6511 "hush"
5618 6571 "#-uneasy"
6473 6603 "open"
6420 6649 "small"
6649 6672 "small"
6511 6738 "hush"
6672 6807 "small"
5658 6839 "loud"
6807 6951 "small"
