"" "#-amiable" "#-ungenerous" "actual" "anxious" "awful" "daily" "different" "dirty" "good" "happy" "open" "difficult" "partial" "possible" "servant" "written" "sweet" "odd" "personal" "public" "mutual"
"#-amiable" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"#-ungenerous" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"actual" 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"anxious" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0
"awful" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"daily" 0 0 0 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"different" 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0
"dirty" 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"good" 0 0 0 0 0 0 0 0 0 1 1 0 0 0 0 0 0 1 1 1 0
"happy" 0 0 0 0 0 1 0 0 1 0 1 0 0 0 0 0 0 0 0 0 1
"open" 0 0 0 0 0 0 0 1 1 1 0 0 0 0 0 0 0 0 1 0 0
"difficult" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"partial" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"possible" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"servant" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"written" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"sweet" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"odd" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"personal" 0 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0
"public" 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"mutual" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
