"source" "target" "tag"
8 12 "present"
12 18 "present"
38 98 "strange"
96 113 "little"
113 152 "little"
152 159 "little"
159 181 "little"
114 192 "comfortable"
192 193 "comfortable"
181 206 "little"
6 211 "first"
206 226 "little"
178 226 "red"
235 241 "open"
73 252 "large"
226 260 "red"
226 267 "little"
267 270 "little"
222 277 "black"
270 278 "little"
278 288 "little"
277 295 "black"
295 317 "black"
288 321 "little"
321 322 "little"
225 325 "green"
211 333 "first"
322 334 "little"
317 348 "black"
334 351 "little"
351 356 "little"
292 356 "wrong"
325 357 "green"
348 362 "black"
362 363 "black"
252 367 "large"
356 377 "little"
18 383 "present"
377 385 "little"
333 389 "first"
241 391 "open"
385 423 "little"
389 434 "first"
423 439 "little"
273 446 "ready"
439 453 "little"
453 472 "little"
472 482 "little"
482 494 "little"
434 496 "first"
494 496 "little"
496 497 "little"
497 500 "little"
500 502 "little"
446 506 "ready"
499 507 "delightful"
151 510 "polite"
502 512 "little"
397 513 "cold"
363 514 "black"
513 514 "hot"
260 514 "red"
513 515 "cold"
379 531 "curious"
512 532 "little"
532 545 "little"
545 549 "little"
549 553 "little"
553 556 "little"
556 564 "little"
564 578 "little"
578 591 "little"
591 598 "little"
598 599 "little"
599 602 "little"
531 606 "curious"
602 610 "little"
610 613 "little"
613 618 "little"
618 620 "little"
193 624 "comfortable"
515 630 "cold"
630 632 "cold"
632 634 "cold"
620 637 "little"
637 641 "little"
506 655 "ready"
655 656 "ready"
656 657 "ready"
657 658 "ready"
641 694 "little"
694 696 "little"
696 699 "little"
658 700 "ready"
214 701 "familiar"
634 704 "cold"
98 706 "strange"
706 748 "strange"
704 751 "cold"
699 752 "little"
514 754 "hot"
748 758 "strange"
752 768 "little"
768 796 "little"
796 799 "little"
356 811 "wrong"
367 812 "large"
514 813 "black"
813 820 "black"
799 820 "little"
391 820 "open"
496 823 "first"
820 827 "open"
823 828 "first"
820 832 "little"
832 858 "little"
857 878 "mere"
828 895 "first"
820 900 "black"
811 905 "wrong"
383 915 "present"
700 926 "ready"
895 929 "first"
274 931 "fresh"
929 944 "first"
915 959 "present"
858 964 "little"
964 969 "little"
969 970 "little"
606 973 "curious"
970 982 "little"
754 1022 "hot"
67 1024 "wicked"
514 1026 "red"
827 1037 "open"
812 1040 "large"
931 1043 "fresh"
758 1043 "strange"
944 1056 "first"
982 1062 "little"
1062 1087 "little"
1026 1095 "red"
1024 1100 "wicked"
1087 1137 "little"
1137 1171 "little"
599 1176 "safe"
1171 1184 "little"
1043 1184 "strange"
1184 1186 "little"
1040 1195 "large"
1095 1197 "red"
1195 1205 "large"
507 1209 "delightful"
1186 1241 "little"
1056 1243 "first"
1241 1250 "little"
1243 1254 "first"
878 1272 "mere"
1250 1274 "little"
965 1277 "natural"
1274 1286 "little"
1286 1322 "little"
1022 1323 "hot"
900 1327 "black"
1129 1327 "dry"
1322 1335 "little"
1335 1345 "little"
1205 1353 "large"
1254 1354 "first"
1353 1360 "large"
1345 1360 "little"
1358 1360 "warm"
718 1363 "full"
1277 1367 "natural"
1037 1368 "open"
1043 1369 "fresh"
357 1377 "green"
1017 1380 "round"
1360 1385 "little"
1354 1390 "first"
1184 1402 "strange"
1390 1403 "first"
1380 1418 "round"
1368 1422 "open"
1385 1430 "little"
1430 1433 "little"
1377 1437 "green"
1363 1438 "full"
1360 1441 "large"
624 1444 "comfortable"
1444 1458 "comfortable"
1438 1462 "full"
1441 1463 "large"
1433 1463 "little"
1403 1471 "first"
1471 1510 "first"
1463 1512 "little"
1510 1513 "first"
1513 1515 "first"
1462 1516 "full"
1512 1542 "little"
398 1548 "secret"
905 1548 "wrong"
1542 1551 "little"
1551 1553 "little"
1367 1560 "natural"
1443 1562 "sad"
1197 1568 "red"
1553 1582 "little"
1369 1597 "fresh"
1463 1609 "large"
1582 1616 "little"
1616 1627 "little"
1568 1632 "red"
1627 1634 "little"
1515 1643 "first"
1634 1653 "little"
1653 1657 "little"
1657 1678 "little"
1458 1679 "comfortable"
1678 1683 "little"
1402 1688 "strange"
1683 1695 "little"
1643 1699 "first"
1632 1717 "red"
1695 1740 "little"
1740 1744 "little"
1744 1752 "little"
926 1759 "ready"
1548 1780 "wrong"
959 1782 "present"
1782 1785 "present"
489 1814 "clean"
1699 1816 "first"
1752 1829 "little"
1609 1831 "large"
1829 1832 "little"
1759 1835 "ready"
1832 1839 "little"
1839 1840 "little"
1840 1841 "little"
1327 1847 "black"
1831 1848 "large"
1209 1849 "delightful"
1841 1849 "little"
479 1852 "broad"
1849 1863 "delightful"
1560 1863 "natural"
1835 1881 "ready"
1849 1884 "little"
1847 1889 "black"
1884 1897 "little"
1897 1900 "little"
1881 1900 "ready"
1900 1908 "little"
1688 1932 "strange"
1908 1948 "little"
1516 1962 "full"
1948 1963 "little"
1717 1980 "red"
1816 1982 "first"
1963 1993 "little"
1993 2008 "little"
2008 2013 "little"
2013 2014 "little"
1980 2014 "red"
1900 2015 "ready"
2014 2031 "little"
2031 2039 "little"
1785 2061 "present"
2039 2068 "little"
1982 2091 "first"
2068 2109 "little"
2109 2126 "little"
1679 2128 "comfortable"
2126 2140 "little"
2015 2162 "ready"
2140 2177 "little"
2177 2182 "little"
751 2188 "cold"
1962 2195 "full"
1848 2210 "large"
2182 2229 "little"
2014 2231 "red"
34 2233 "important"
2195 2240 "full"
1889 2244 "black"
2229 2244 "little"
2244 2247 "black"
2244 2247 "little"
2128 2249 "comfortable"
2247 2251 "little"
2162 2253 "ready"
2249 2258 "comfortable"
2251 2266 "little"
2266 2271 "little"
2247 2272 "black"
2271 2278 "little"
2278 2280 "little"
2280 2285 "little"
2285 2290 "little"
2290 2295 "little"
2295 2307 "little"
2272 2312 "black"
1932 2314 "strange"
2307 2321 "little"
390 2328 "busy"
2188 2328 "cold"
2321 2340 "little"
2312 2344 "black"
2340 2350 "little"
2253 2356 "ready"
2356 2357 "ready"
406 2362 "distinct"
1422 2362 "open"
2091 2363 "first"
2350 2363 "little"
2363 2373 "little"
2363 2376 "first"
2373 2376 "little"
2376 2381 "little"
2376 2401 "first"
973 2405 "curious"
2381 2407 "little"
2401 2409 "first"
2061 2417 "present"
2409 2422 "first"
2407 2439 "little"
2439 2442 "little"
2417 2447 "present"
2442 2449 "little"
2357 2453 "ready"
2344 2457 "black"
2453 2458 "ready"
2258 2471 "comfortable"
2471 2473 "comfortable"
2473 2477 "comfortable"
2477 2483 "comfortable"
510 2486 "polite"
2449 2505 "little"
2505 2514 "little"
346 2518 "#-comfortable"
2514 2520 "little"
2520 2523 "little"
1863 2530 "delightful"
2523 2532 "little"
2532 2534 "little"
2405 2535 "curious"
2534 2537 "little"
2537 2540 "little"
2540 2544 "little"
2458 2544 "ready"
2544 2545 "little"
2545 2548 "little"
2548 2558 "little"
2558 2582 "little"
2582 2585 "little"
2585 2587 "little"
2587 2588 "little"
2240 2591 "full"
2588 2591 "little"
2591 2595 "little"
2422 2596 "first"
2595 2598 "little"
2483 2606 "comfortable"
2598 2608 "little"
2608 2622 "little"
1437 2623 "damp"
2596 2625 "first"
2622 2625 "little"
2625 2627 "little"
2627 2628 "little"
2628 2629 "little"
2629 2637 "little"
2606 2638 "comfortable"
2637 2638 "little"
2638 2639 "little"
2639 2645 "little"
2645 2649 "little"
2625 2652 "first"
2649 2653 "little"
2544 2654 "ready"
2653 2655 "little"
2652 2659 "first"
2655 2660 "little"
2210 2661 "large"
2660 2664 "little"
2664 2666 "little"
2314 2669 "strange"
2666 2675 "little"
1780 2678 "wrong"
2675 2683 "little"
307 2685 "bitter"
2447 2703 "present"
2362 2749 "distinct"
2683 2753 "little"
2753 2758 "little"
2703 2763 "present"
2659 2764 "first"
2233 2765 "important"
2591 2768 "full"
2764 2772 "first"
2457 2774 "black"
1548 2778 "secret"
2661 2784 "large"
2763 2789 "present"
2772 2806 "first"
2806 2811 "first"
1931 2818 "private"
2789 2820 "present"
2758 2824 "little"
2820 2826 "present"
2768 2827 "full"
1360 2844 "warm"
2824 2851 "little"
1323 2859 "hot"
2231 2860 "red"
2859 2871 "hot"
2669 2876 "strange"
2851 2879 "little"
2879 2882 "little"
2882 2887 "little"
2811 2892 "first"
701 2894 "familiar"
2887 2895 "little"
2860 2896 "red"
2328 2901 "busy"
2895 2903 "little"
1269 2904 "lovely"
885 2904 "unusual"
2535 2907 "curious"
2896 2910 "red"
1120 2921 "painful"
2921 2923 "painful"
2903 2926 "little"
2926 2928 "little"
2774 2929 "black"
2928 2933 "little"
2892 2937 "first"
2933 2939 "little"
2939 2943 "little"
2784 2948 "large"
1398 2949 "dirty"
2943 2953 "little"
2953 2960 "little"
2826 2966 "present"
2966 2975 "present"
2901 2980 "busy"
2362 2983 "open"
2960 2988 "little"
2876 2991 "strange"
2983 2993 "open"
2818 2996 "private"
816 3002 "near"
2988 3007 "little"
2654 3009 "ready"
3009 3012 "ready"
2937 3014 "first"
2827 3024 "full"
2406 3031 "calm"
2975 3045 "present"
3012 3045 "ready"
3014 3049 "first"
3007 3055 "little"
3045 3064 "present"
3064 3065 "present"
3055 3088 "little"
3049 3100 "first"
3088 3101 "little"
3101 3102 "little"
3024 3106 "full"
3102 3109 "little"
3065 3109 "present"
3100 3111 "first"
3045 3113 "ready"
3109 3114 "little"
2948 3120 "large"
3114 3147 "little"
3147 3149 "little"
3149 3152 "little"
3152 3154 "little"
3111 3170 "first"
2328 3173 "cold"
2844 3173 "warm"
2064 3175 "doubtful"
1312 3176 "dusty"
1100 3181 "wicked"
3154 3186 "little"
1272 3187 "mere"
3186 3190 "little"
2949 3195 "dirty"
3106 3195 "full"
3190 3198 "little"
2993 3227 "open"
3195 3232 "full"
1418 3240 "round"
1597 3241 "fresh"
3227 3244 "open"
2929 3246 "black"
2871 3272 "hot"
3170 3273 "first"
3198 3292 "little"
3240 3293 "round"
3292 3298 "little"
3273 3311 "first"
3298 3318 "little"
3311 3329 "first"
3329 3332 "first"
1437 3334 "green"
3318 3337 "little"
2396 3370 "gentle"
3337 3373 "little"
3373 3375 "little"
3334 3384 "green"
3113 3387 "ready"
2778 3387 "secret"
3387 3389 "ready"
3332 3390 "first"
3244 3390 "open"
3272 3395 "hot"
3384 3398 "green"
3375 3409 "little"
3409 3421 "little"
1863 3425 "natural"
3109 3437 "present"
3389 3449 "ready"
3449 3450 "ready"
3421 3452 "little"
1176 3453 "safe"
2678 3465 "wrong"
3452 3480 "little"
3398 3481 "green"
3390 3481 "open"
3232 3488 "full"
3481 3494 "open"
3120 3496 "large"
3437 3496 "present"
2991 3509 "strange"
3480 3553 "little"
3450 3554 "ready"
3553 3563 "little"
3563 3580 "little"
3390 3585 "first"
2907 3587 "curious"
3481 3590 "green"
3554 3590 "ready"
1377 3595 "steep"
3580 3605 "little"
3585 3610 "first"
3187 3619 "mere"
3590 3619 "ready"
3610 3667 "first"
3619 3668 "ready"
3494 3669 "open"
3668 3674 "ready"
2486 3689 "polite"
3667 3692 "first"
3605 3700 "little"
3465 3700 "wrong"
3700 3707 "little"
3246 3711 "black"
3590 3715 "green"
3293 3718 "round"
3707 3728 "little"
3587 3732 "curious"
3496 3762 "present"
2218 3765 "steady"
3728 3766 "little"
3496 3769 "large"
3692 3771 "first"
3766 3779 "little"
3779 3780 "little"
3718 3780 "round"
2910 3782 "red"
3711 3784 "black"
3784 3789 "black"
3782 3789 "red"
2980 3793 "busy"
3453 3796 "safe"
3789 3800 "black"
3780 3825 "little"
3825 3826 "little"
3826 3828 "little"
3789 3830 "red"
3830 3831 "red"
944 3833 "#-successful"
3762 3837 "present"
3837 3849 "present"
3828 3853 "little"
1852 3854 "broad"
3853 3856 "little"
3031 3861 "calm"
3856 3862 "little"
3862 3864 "little"
3854 3866 "broad"
3771 3881 "first"
3674 3882 "ready"
3864 3893 "little"
3173 3897 "cold"
1588 3901 "future"
3800 3903 "black"
3793 3912 "busy"
3488 3933 "full"
3769 3935 "large"
3866 3936 "broad"
3509 3941 "strange"
3893 3942 "little"
2894 3946 "familiar"
3881 3951 "first"
3942 3957 "little"
3941 3957 "strange"
3861 3970 "calm"
3831 3976 "red"
3669 3978 "open"
3976 3978 "red"
3957 3987 "little"
3951 4006 "first"
3970 4011 "calm"
3987 4013 "little"
4013 4022 "little"
2256 4046 "fat"
3849 4067 "present"
3882 4103 "ready"
4022 4104 "little"
3903 4105 "black"
4104 4105 "little"
4105 4106 "little"
4006 4107 "first"
4103 4115 "ready"
3732 4125 "curious"
4106 4125 "little"
4125 4131 "curious"
4125 4136 "little"
3912 4137 "busy"
4136 4139 "little"
2996 4142 "private"
3978 4145 "red"
3619 4146 "mere"
4139 4150 "little"
3052 4152 "married"
4152 4155 "married"
4067 4168 "present"
4146 4172 "mere"
3700 4175 "wrong"
4168 4183 "present"
4150 4194 "little"
4175 4201 "wrong"
3780 4215 "round"
4107 4216 "first"
3957 4228 "strange"
3425 4232 "natural"
4194 4262 "little"
3978 4265 "open"
3933 4269 "full"
4265 4270 "open"
3897 4291 "cold"
4262 4295 "little"
4295 4296 "little"
4296 4303 "little"
4216 4310 "first"
4201 4318 "wrong"
4303 4343 "little"
4343 4346 "little"
4346 4353 "little"
3946 4354 "familiar"
2530 4359 "delightful"
4353 4363 "little"
3175 4365 "doubtful"
4115 4370 "ready"
4363 4382 "little"
4318 4394 "wrong"
4232 4401 "natural"
4382 4420 "little"
4420 4425 "little"
4425 4427 "little"
4427 4428 "little"
4270 4428 "open"
3173 4428 "warm"
4183 4433 "present"
4433 4437 "present"
4145 4448 "red"
4428 4467 "little"
4428 4468 "warm"
4437 4474 "present"
4467 4483 "little"
2923 4486 "painful"
4310 4501 "first"
4474 4512 "present"
4011 4517 "calm"
3395 4518 "hot"
4483 4524 "little"
4524 4530 "little"
4518 4532 "hot"
