"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"“if";19;13;5;347,4;0,684210526315789;"“if";4,25013185435017;"“if";0,72752268322653;"“if";369,5;"“if";0,00224407548788662;"“if";0,621360798676808
"“what";7;5;3;551,666666666667;0,714285714285714;"“what";4,09929840534905;"“what";0,770845925280039;"“what";241,25;"“what";0,00687305589684601;"“what";0,564059779047966
"#-back";2;2;0;0;1;"#-back";4,22018926260252;"#-back";0,744317088829455;"#-back";290;"#-back";0,00211094053005818;"#-back";0,596185982227325
"#-care";9;9;3;715,666666666667;1;"#-care";4,21355987430275;"#-care";0,744699123610522;"#-care";326;"#-care";0,00359981726143586;"#-care";0,608809888362885
"#-cease";9;9;0;0;1;"#-cease";3,42923378433152;"#-cease";0,949684780239254;"#-cease";37;"#-cease";0,0549450549450549;"#-cease";0,219999998807907
"#-depend";1;1;0;0;1;"#-depend";4,32618204102087;"#-depend";0,719678882256583;"#-depend";408;"#-depend";0,00133364723526514;"#-depend";0,636133968830109
"#-die";1;1;0;0;1;"#-die";4,29061778443477;"#-die";0,703343188803919;"#-die";446;"#-die";0,000993204833393122;"#-die";0,666578352451324
"#-discouraged";7;7;0;0;1;"#-discouraged";4,1175434636324;"#-discouraged";0,758386690593749;"#-discouraged";228;"#-discouraged";0,00433111603843311;"#-discouraged";0,550304770469666
"#-follow";6;6;0;0;1;"#-follow";3,9976243027659;"#-follow";0,8162015227215;"#-follow";134;"#-follow";0,0104425465838509;"#-follow";0,529449582099915
"#-get";13;12;4;478;0,923076923076923;"#-get";4,21970947380372;"#-get";0,744251316179709;"#-get";327,4;"#-get";0,00354683210714285;"#-get";0,611100423336029
"#-help";4;4;0;0;1;"#-help";4,31467299631087;"#-help";0,721651686613588;"#-help";395;"#-help";0,00139629232542571;"#-help";0,644930422306061
"#-kill";13;9;5;27,2;0,692307692307692;"#-kill";4,33210929509475;"#-kill";0,717357280187196;"#-kill";419,5;"#-kill";0,00122611564125126;"#-kill";0,64460485180219
"#-look";18;17;1;1301;0,944444444444444;"#-look";4,16909290261388;"#-look";0,767009911650534;"#-look";270;"#-look";0,00559113331379456;"#-look";0,587791055440902
"#-overflowed";2;2;0;0;1;"#-overflowed";4,22197704311613;"#-overflowed";0,745086326092137;"#-overflowed";289;"#-overflowed";0,00213969670836408;"#-overflowed";0,587220191955566
"#-pitch";2;2;0;0;1;"#-pitch";4,297196570991;"#-pitch";0,700375050590228;"#-pitch";462;"#-pitch";0,000925813191653136;"#-pitch";0,670320689678192
"#-please";1;1;0;0;1;"#-please";4,15989318524704;"#-please";0,755611748011201;"#-please";246;"#-please";0,0034350767200132;"#-please";0,563350260257721
"#-prisoners";3;3;0;0;1;"#-prisoners";4,28845304769529;"#-prisoners";0,700945556907497;"#-prisoners";454;"#-prisoners";0,000958675310517912;"#-prisoners";0,672154724597931
"#-rage";1;1;0;0;1;"#-rage";4,08628196209382;"#-rage";0,776462572451779;"#-rage";193;"#-rage";0,00614440773949976;"#-rage";0,556924104690552
"#-rise";4;4;0;0;1;"#-rise";3,69666660891587;"#-rise";0,922475481334708;"#-rise";55;"#-rise";0,0467980295566502;"#-rise";0,361149579286575
"#-said";3;3;0;0;1;"#-said";4,0124431721363;"#-said";0,816756573678007;"#-said";136;"#-said";0,0103903074917568;"#-said";0,523815095424652
"#-servant";4;4;0;0;1;"#-servant";4,2987671584968;"#-servant";0,698676079686823;"#-servant";470;"#-servant";0,000894135148949968;"#-servant";0,678940951824188
"#-set";4;4;1;58;1;"#-set";3,77321038756793;"#-set";0,885911724331172;"#-set";74;"#-set";0,0319528773819071;"#-set";0,441194906830787
"#-sign";3;3;0;0;1;"#-sign";4,31519847805742;"#-sign";0,721130419116339;"#-sign";397;"#-sign";0,00138964359205053;"#-sign";0,640043139457703
"#-sold";15;15;0;0;1;"#-sold";3,28366192823366;"#-sold";0,956224275950958;"#-sold";31;"#-sold";0,0576923076923077;"#-sold";0,222222223877907
"#-sufficient";7;7;0;0;1;"#-sufficient";4,302823024029;"#-sufficient";0,726634474645328;"#-sufficient";373;"#-sufficient";0,00145995486040161;"#-sufficient";0,630403161048889
"#-thirty";2;2;0;0;1;"#-thirty";4,32581681211633;"#-thirty";0,720206870486978;"#-thirty";406;"#-thirty";0,00133723048025314;"#-thirty";0,635303199291229
"#-wink";6;6;0;0;1;"#-wink";4,32690500423198;"#-wink";0,721577516219006;"#-wink";402;"#-wink";0,00134722488165401;"#-wink";0,642383635044098
"#-without";4;4;1;502;1;"#-without";4,00074722392931;"#-without";0,805898427974807;"#-without";168,5;"#-without";0,0112517926240523;"#-without";0,53800916671753
"#-worthy";10;10;0;0;1;"#-worthy";4,28487290037308;"#-worthy";0,728308363443955;"#-worthy";359;"#-worthy";0,0014782413581207;"#-worthy";0,623446404933929
"abetted";5;5;0;0;1;"abetted";4,30375964953691;"abetted";0,726464183301329;"abetted";374;"abetted";0,00145898802599672;"abetted";0,627594530582428
"abridgment";2;2;0;0;1;"abridgment";4,32790731610823;"abridgment";0,721445754829553;"abridgment";403;"abridgment";0,001346318005528;"abridgment";0,639525711536407
"abroad";104;47;32;72,4375;0,451923076923077;"abroad";4,12583056049262;"abroad";0,764360060434748;"abroad";291,545454545455;"abroad";0,00888229453436004;"abroad";0,567004761912606
"accomplishing";3;3;0;0;1;"accomplishing";4,29813076701255;"accomplishing";0,726501684953987;"accomplishing";371;"accomplishing";0,00145790446643612;"accomplishing";0,630756437778473
"accordingly";40;27;15;138,533333333333;0,675;"accordingly";4,2151500301041;"accordingly";0,742515538414945;"accordingly";320,875;"accordingly";0,00321189963705158;"accordingly";0,606387510895729
"accustomed";2;2;0;0;1;"accustomed";4,29875120566562;"accustomed";0,699890105155512;"accustomed";465;"accustomed";0,000923616096961437;"accustomed";0,676330387592316
"admirably";2;2;0;0;1;"admirably";4,26306976182924;"admirably";0,737460458188989;"admirably";324;"admirably";0,00179596906953325;"admirably";0,614230513572693
"ado";1;1;0;0;1;"ado";4,15989318524704;"ado";0,755611748011201;"ado";246;"ado";0,0034350767200132;"ado";0,563350260257721
"advancement";4;4;0;0;1;"advancement";4,0152802893935;"advancement";0,786393099949441;"advancement";165;"advancement";0,00722408228516273;"advancement";0,534235417842865
"adventure";14;10;4;418,75;0,714285714285714;"adventure";4,02165665937643;"adventure";0,799985756732731;"adventure";194,4;"adventure";0,00981550725624136;"adventure";0,552911078929901
"afflicted";7;7;0;0;1;"afflicted";4,20374719442787;"afflicted";0,748427721431318;"afflicted";275;"afflicted";0,00244926259768004;"afflicted";0,584302663803101
"affliction";50;34;11;109,090909090909;0,68;"affliction";4,27029020196063;"affliction";0,732871479530798;"affliction";344,25;"affliction";0,00174167241410415;"affliction";0,614137515425682
"alight";3;3;0;0;1;"alight";4,29802735443911;"alight";0,698797746537751;"alight";469;"alight";0,000895382532445602;"alight";0,678491234779358
"all”";5;4;2;164,5;0,8;"all”";4,32250047098183;"all”";0,713706903546468;"all”";427;"all”";0,00115286856531287;"all”";0,645245889822642
"along";107;45;27;82,7407407407407;0,420560747663551;"along";4,22582159610062;"along";0,740185584523746;"along";332,75;"along";0,00322508515733938;"along";0,612022972532681
"amiss";5;5;1;640;1;"amiss";4,31034085260766;"amiss";0,714905871153524;"amiss";416,5;"amiss";0,00121722623879413;"amiss";0,64697328209877
