"terms";"coocs";"distcoocs";"recs";"distrecs";"coocProp";"terms";"entropy";"terms";"evenness";"terms";"richness";"terms";"density";"terms";"modularity"
"#-adjuration";0;0;0;0;0;"#-adjuration";0;"#-adjuration";0,462757543527776;"#-adjuration";252;"#-adjuration";4,34519898474008e-05;"#-adjuration";0,802455723285675
"#-belief";1;1;1;6682;1;"#-belief";0,13780243818217;"#-belief";0,475613245670392;"#-belief";212,5;"#-belief";7,80530951819931e-05;"#-belief";0,810898661613464
"#-benefits";0;0;0;0;0;"#-benefits";0;"#-benefits";0,468668145365932;"#-benefits";211;"#-benefits";6,43586824698853e-05;"#-benefits";0,803858757019043
"#-contradicted";1;1;0;0;1;"#-contradicted";0;"#-contradicted";0,463001875726943;"#-contradicted";253;"#-contradicted";4,32727440308722e-05;"#-contradicted";0,807702302932739
"#-dawned";0;0;0;0;0;"#-dawned";0;"#-dawned";0,472481486559841;"#-dawned";226;"#-dawned";5,2920314255996e-05;"#-dawned";0,807279944419861
"#-doubting";1;1;0;0;1;"#-doubting";0;"#-doubting";0,456472307681727;"#-doubting";298;"#-doubting";3,33006384524043e-05;"#-doubting";0,795721828937531
"#-engaged";3;2;1;8848;0,666666666666667;"#-engaged";0,14590956731257;"#-engaged";0,485364780882777;"#-engaged";205,5;"#-engaged";0,000107439802052031;"#-engaged";0,822959959506989
"#-entreaty";0;0;0;0;0;"#-entreaty";0;"#-entreaty";0,469086874829159;"#-entreaty";241;"#-entreaty";4,7857685163949e-05;"#-entreaty";0,803343951702118
"#-habituated";1;1;0;0;1;"#-habituated";0;"#-habituated";0,460721964289726;"#-habituated";263;"#-habituated";4,09902666679016e-05;"#-habituated";0,805788576602936
"#-husband";0;0;0;0;0;"#-husband";0;"#-husband";0,456300556515679;"#-husband";294;"#-husband";3,47772753326924e-05;"#-husband";0,799134135246277
"#-jury";0;0;0;0;0;"#-jury";0;"#-jury";0,452024731551681;"#-jury";313;"#-jury";3,01599152368022e-05;"#-jury";0,797398447990417
"#-kiss";0;0;0;0;0;"#-kiss";0;"#-kiss";0,449204943934596;"#-kiss";332;"#-kiss";2,57256783024479e-05;"#-kiss";0,799536406993866
"#-loud";0;0;0;0;0;"#-loud";0;"#-loud";0,489610048826865;"#-loud";153;"#-loud";0,00011246245555869;"#-loud";0,835649430751801
"#-offender";0;0;1;12619;0;"#-offender";0,15830695320208;"#-offender";0,476310151822798;"#-offender";231;"#-offender";9,28934173181288e-05;"#-offender";0,823063164949417
"#-part";1;1;1;2777;1;"#-part";-0,0347435840964199;"#-part";0,486032769045479;"#-part";171,5;"#-part";0,000104210167327183;"#-part";0,83698457479477
"#-pretensions";0;0;0;0;0;"#-pretensions";0;"#-pretensions";0,472149328134593;"#-pretensions";221;"#-pretensions";5,7630714877897e-05;"#-pretensions";0,803779304027557
"#-prospects";1;1;0;0;1;"#-prospects";0;"#-prospects";0,483949284087841;"#-prospects";179;"#-prospects";9,43896150084467e-05;"#-prospects";0,816321909427643
"#-strewing";0;0;0;0;0;"#-strewing";0;"#-strewing";0,490917629951249;"#-strewing";147;"#-strewing";0,000118603591536558;"#-strewing";0,836083829402924
"#-sworn";0;0;0;0;0;"#-sworn";0;"#-sworn";0,48332108238454;"#-sworn";174;"#-sworn";9,52644558869187e-05;"#-sworn";0,821707248687744
"#-time";7;2;10;1128,4;0,285714285714286;"#-time";0,016211229573777;"#-time";0,463842335581748;"#-time";254,454545454545;"#-time";5,36102059148321e-05;"#-time";0,807233962145719
"#-trampled";0;0;0;0;0;"#-trampled";0;"#-trampled";0,450761928685822;"#-trampled";317;"#-trampled";2,91835149420813e-05;"#-trampled";0,801423966884613
"#-understand";3;2;14;981,357142857143;0,666666666666667;"#-understand";0,0042854899088643;"#-understand";0,475068833857391;"#-understand";240,133333333333;"#-understand";7,902719766944e-05;"#-understand";0,808414264520009
"#-uneasy";0;0;0;0;0;"#-uneasy";0;"#-uneasy";0,470823697188722;"#-uneasy";224;"#-uneasy";5,47352221270205e-05;"#-uneasy";0,807679414749146
"#-unhappiness";0;0;0;0;0;"#-unhappiness";0;"#-unhappiness";0,471612170294447;"#-unhappiness";227;"#-unhappiness";5,2650963097864e-05;"#-unhappiness";0,814076721668243
"#-was";11;7;43;337,837209302326;0,636363636363636;"#-was";0,00998820099572443;"#-was";0,483539220146188;"#-was";226,840909090909;"#-was";0,000121230565790098;"#-was";0,805957320061597
"#-woman";0;0;0;0;0;"#-woman";0;"#-woman";0,464467845886033;"#-woman";203;"#-woman";6,99712432057248e-05;"#-woman";0,818976640701294
"#-worst";0;0;2;1,5;0;"#-worst";0,00562873293148014;"#-worst";0,548412747979717;"#-worst";97;"#-worst";0,00023595616969597;"#-worst";0,831782678763072
"absolved";0;0;0;0;0;"absolved";0;"absolved";0,451151890381917;"absolved";320;"absolved";2,87564932511438e-05;"absolved";0,802037239074707
"accomplishments";0;0;2;5248;0;"accomplishments";0,0493463412966451;"accomplishments";0,480150115155063;"accomplishments";213,666666666667;"accomplishments";8,72470085298942e-05;"accomplishments";0,820436199506124
"adoption";0;0;0;0;0;"adoption";0;"adoption";0,506005091088393;"adoption";127;"adoption";0,000153977744975771;"adoption";0,851855278015137
"affection";5;3;9;1301;0,6;"affection";0,0136996479913011;"affection";0,500482588101069;"affection";203,3;"affection";0,000146522179992647;"affection";0,806752043962479
"aged";0;0;1;2494;0;"aged";0,00655465097512975;"aged";0,456167684496348;"aged";288,5;"aged";3,51870026230488e-05;"aged";0,794871777296067
"airless";0;0;0;0;0;"airless";0;"airless";0,468575649248052;"airless";212;"airless";6,39530996026709e-05;"airless";0,809917807579041
"ajar";3;3;0;0;1;"ajar";0;"ajar";0,486971953447311;"ajar";156;"ajar";0,000108277052121545;"ajar";0,818764746189117
"annum";0;0;0;0;0;"annum";0;"annum";0,468594981846898;"annum";242;"annum";4,77063289864612e-05;"annum";0,800473809242249
"anticipated";2;2;2;3738,5;1;"anticipated";0,0130010841699602;"anticipated";0,508440760745147;"anticipated";179;"anticipated";0,000146791608702561;"anticipated";0,811322073141734
"appearance";22;7;37;369,783783783784;0,318181818181818;"appearance";0,000627064282911894;"appearance";0,477134177897073;"appearance";227,552631578947;"appearance";8,07340046882211e-05;"appearance";0,80896900829516
"approval";1;1;1;1324;1;"approval";0,0111723945858597;"approval";0,454403653531555;"approval";297;"approval";3,36207390198389e-05;"approval";0,794745862483978
"assertion";3;3;3;1882;1;"assertion";0,0224081273691333;"assertion";0,491766821564002;"assertion";187,75;"assertion";0,000102113660705982;"assertion";0,816708579659462
"assertions";0;0;0;0;0;"assertions";0;"assertions";0,453085397097414;"assertions";306;"assertions";3,17519328297902e-05;"assertions";0,795399129390717
"associate";5;2;3;3931,66666666667;0,4;"associate";0,01320641673142;"associate";0,490440813049982;"associate";222,5;"associate";0,000102776699185805;"associate";0,801702827215195
"axis";0;0;0;0;0;"axis";0;"axis";0,579265144613976;"axis";79;"axis";0,000295350609756098;"axis";0,82584285736084
"bald";1;1;0;0;1;"bald";0;"bald";0,466295426038364;"bald";201;"bald";7,21989233832984e-05;"bald";0,816477656364441
"beetles";0;0;0;0;0;"beetles";0;"beetles";0,667840946755221;"beetles";34;"beetles";0,000928699124701075;"beetles";0,742265701293945
"belief";4;2;6;1618;0,5;"belief";0,0414865230433933;"belief";0,491421647609193;"belief";195,857142857143;"belief";0,000150984102064793;"belief";0,807114899158478
"benefits";0;0;0;0;0;"benefits";0;"benefits";0,462256263747285;"benefits";257;"benefits";4,22934337646404e-05;"benefits";0,806893408298492
"biggodd";0;0;1;5186;0;"biggodd";0,0164660743241698;"biggodd";0,46291901883475;"biggodd";272,5;"biggodd";4,03391358708722e-05;"biggodd";0,801516771316529
"blown";2;2;1;4705;1;"blown";0,0180926510956803;"blown";0,512042440151022;"blown";156,5;"blown";0,000153098313487159;"blown";0,813773810863495
"butterflies";2;2;0;0;1;"butterflies";0;"butterflies";0,575912652761189;"butterflies";77;"butterflies";0,000295550671158272;"butterflies";0,828599393367767
"butterfly";0;0;0;0;0;"butterfly";0;"butterfly";0,450750159651122;"butterfly";318;"butterfly";2,91789639066127e-05;"butterfly";0,801423966884613
"carefulness";0;0;0;0;0;"carefulness";0;"carefulness";0,599721481956659;"carefulness";70;"carefulness";0,00037483813807674;"carefulness";0,821946918964386
"cautiously";0;0;3;1900;0;"cautiously";0,0102234007898267;"cautiously";0,460503705917982;"cautiously";275,25;"cautiously";3,85315446951408e-05;"cautiously";0,800482869148254
"chaff";2;2;1;535;1;"chaff";-0,00158027899749014;"chaff";0,45900080600643;"chaff";275,5;"chaff";3,82368652447733e-05;"chaff";0,795043975114822
"chilled";3;2;2;3005;0,666666666666667;"chilled";0,41882473375969;"chilled";0,557375663304184;"chilled";146;"chilled";0,0034814656574907;"chilled";0,725937704245249
"circles";6;6;1;6255;1;"circles";0,03161505399801;"circles";0,454195647747396;"circles";297;"circles";3,3804962361762e-05;"circles";0,798157036304474
"circumstance";4;2;11;1011,54545454545;0,5;"circumstance";0,0151024117658437;"circumstance";0,469415564174421;"circumstance";237,916666666667;"circumstance";6,56074271437631e-05;"circumstance";0,814593975742658
"clasping";0;0;4;1613,75;0;"clasping";0,07909976468312;"clasping";0,513768441606672;"clasping";163;"clasping";0,000271776009076419;"clasping";0,80045280456543
"clattered";0;0;0;0;0;"clattered";0;"clattered";0,541430364659453;"clattered";103;"clattered";0,000214086742327181;"clattered";0,838367164134979
"comfortless";0;0;0;0;0;"comfortless";0;"comfortless";0,454679736174471;"comfortless";300;"comfortless";3,2406977090358e-05;"comfortless";0,794676303863525
"concluded";4;4;10;1232,3;1;"concluded";0,00822482734683496;"concluded";0,493198627067124;"concluded";208,636363636364;"concluded";0,00012328633581307;"concluded";0,809217442165722
"confide";0;0;2;5292,5;0;"confide";0,0434453861416551;"confide";0,466058056352394;"confide";251,333333333333;"confide";5,37587784990094e-05;"confide";0,809758861859639
"confinement";3;3;4;2707,75;1;"confinement";0,229760745302035;"confinement";0,543825407720617;"confinement";165,6;"confinement";0,00216670773575072;"confinement";0,765016984939575
"confirmation";1;1;1;4063;1;"confirmation";0,0354046675814601;"confirmation";0,457272765726125;"confirmation";285;"confirmation";3,62931385142732e-05;"confirmation";0,803503870964051
"congregation";0;0;0;0;0;"congregation";0;"congregation";0,619338497752235;"congregation";53;"congregation";0,000514968181105101;"congregation";0,80533754825592
"contained";1;1;1;3943;1;"contained";0,02945833182484;"contained";0,455755182173218;"contained";290;"contained";3,51249997726309e-05;"contained";0,80049416422844
"contradicted";0;0;0;0;0;"contradicted";0;"contradicted";0,450027108312531;"contradicted";327;"contradicted";2,61593770137228e-05;"contradicted";0,805473148822784
"copper";0;0;0;0;0;"copper";0;"copper";0,562412012968925;"copper";87;"copper";0,000255080016639066;"copper";0,819898128509521
"corners";9;7;5;1443,6;0,777777777777778;"corners";0,012530126113124;"corners";0,493075712303891;"corners";175,333333333333;"corners";0,000117110791995068;"corners";0,818723112344742
"cottages";0;0;0;0;0;"cottages";0;"cottages";0,896240625180289;"cottages";4;"cottages";0,00952380952380952;"cottages";0
"courtly";4;3;5;1154,6;0,75;"courtly";0,014829722041836;"courtly";0,469664402229603;"courtly";226,833333333333;"courtly";6,23726867587104e-05;"courtly";0,809984852870305
"crowded";1;1;2;4294;1;"crowded";0,0897709214959299;"crowded";0,513480733279347;"crowded";186;"crowded";0,000204626153648093;"crowded";0,805155913035075
"cunningly";1;1;0;0;1;"cunningly";0;"cunningly";0,578212826359834;"cunningly";74;"cunningly";0,000297914011987352;"cunningly";0,822430193424225
"dances";1;1;1;9972;1;"dances";0,0963802639287303;"dances";0,491762212167503;"dances";207,5;"dances";0,000114137511453437;"dances";0,823649734258652
"dawned";0;0;0;0;0;"dawned";0;"dawned";0,461116292529502;"dawned";274;"dawned";3,87076756002017e-05;"dawned";0,803322494029999
"denoted";0;0;0;0;0;"denoted";0;"denoted";0,472210744296426;"denoted";225;"denoted";5,35189129398294e-05;"denoted";0,811731696128845
"denying";3;2;1;618;0,666666666666667;"denying";0,02723456055889;"denying";0,456306440410785;"denying";291;"denying";3,51531732159376e-05;"denying";0,795785576105118
"depositories";0;0;0;0;0;"depositories";0;"depositories";0,461103473873997;"depositories";273;"depositories";3,87158263004755e-05;"depositories";0,803322494029999
"description";4;4;4;1696,75;1;"description";0,018285120453945;"description";0,457501198555334;"description";286,6;"description";3,84129637252592e-05;"description";0,798064374923706
"desperately";0;0;1;8872;0;"desperately";0,13506008143465;"desperately";0,456426471637915;"desperately";269,5;"desperately";4,6324489487588e-05;"desperately";0,802930951118469
"destiny";3;3;3;4145,66666666667;1;"destiny";0,0398372085176134;"destiny";0,471091317474856;"destiny";241;"destiny";6,6323206013639e-05;"destiny";0,811636909842491
"differences";0;0;0;0;0;"differences";0;"differences";0,503852558616446;"differences";141;"differences";0,000135145988558154;"differences";0,837385892868042
