"root_node_id" "tag"
"1" "one"
"1" "supposed"
"2" "were"
"3" "clergyman"
"4" "addicted"
"4" "good"
"5" "plain"
"6" "anybody"
"7" "ten"
"8" "thin"
"9" "heroic"
"10" "taste"
"12" "occasionally"
"13" NA
"13" "13"
"14" NA
"14" "14"
"15" "forlorn"
"16" "spite"
"17" "dismissed"
"18" "houses"
"18" "odd"
"18" "outside"
"19" NA
"19" "19"
"20" "hated"
"22" "eyes"
"23" "personal"
"24" "pretty"
"25" "can"
"26" "nature"
"27" NA
"27" "27"
"28" "censure"
"29" NA
"29" "29"
"30" NA
"30" "30"
"31" "jealous"
"32" NA
"32" "32"
"33" NA
"33" "33"
"34" "party"
"35" NA
"35" "35"
"37" NA
"37" "37"
"38" "amiable"
"38" "sensibility"
"39" NA
"39" "39"
"40" "may"
"42" "found"
"42" "whose"
"43" NA
"43" "43"
"44" "forty"
"45" NA
"45" "45"
"46" "owned"
"46" "property"
"48" "information"
"48" "looks"
"48" "open"
"49" "departure"
"49" "hour"
"49" "maternal"
"50" "tears"
"51" "some"
"52" NA
"52" "52"
"53" "danger"
"55" "wrap"
"56" NA
"56" "56"
"57" "interesting"
"58" NA
"58" "58"
"59" "hands"
"60" NA
"60" "60"
"61" NA
"61" "61"
"63" NA
"63" "63"
"64" NA
"64" "64"
"66" "happy"
"68" "imprudence"
"70" "genius"
"71" "choice"
"72" "public"
"73" NA
"73" "73"
"74" NA
"74" "74"
"76" "declared"
"77" NA
"77" "77"
"78" NA
"78" "78"
"79" NA
"79" "79"
"80" NA
"80" "80"
"81" NA
"81" "81"
"82" "allow"
"83" "dances"
"85" "ingenuity"
"86" NA
"86" "86"
"87" "longed"
"88" NA
"88" "88"
"90" "#-were"
"91" NA
"91" "91"
"95" NA
"95" "95"
"96" NA
"96" "96"
"97" NA
"97" "97"
"98" NA
"98" "98"
"99" NA
"99" "99"
"100" NA
"100" "100"
"101" NA
"101" "101"
"102" NA
"102" "102"
"103" NA
"103" "103"
"104" NA
"104" "104"
"105" NA
"105" "105"
"108" NA
"108" "108"
"109" NA
"109" "109"
"110" NA
"110" "110"
"112" NA
"112" "112"
"113" NA
"113" "113"
"115" NA
"115" "115"
"116" NA
"116" "116"
"117" NA
"117" "117"
"118" NA
"118" "118"
"119" NA
"119" "119"
"120" NA
"120" "120"
"122" NA
"122" "122"
"123" NA
"123" "123"
"124" "received"
"125" NA
"125" "125"
"126" "hide"
"127" NA
"127" "127"
"129" NA
"129" "129"
"130" "admired"
"130" "disperse"
"131" "openings"
"132" NA
"132" "132"
"133" "#-one"
"136" "humour"
"136" "perfectly"
"137" "paraded"
"138" "fresh"
"139" NA
"139" "139"
"140" NA
"140" "140"
"141" NA
"141" "141"
"143" "credit"
"144" "hardly"
"144" "interested"
"145" "concert"
"145" "whether"
"146" "satisfy"
"147" NA
"147" "147"
"148" NA
"148" "148"
"149" "affectedly"
"150" NA
"150" "150"
"151" NA
"151" "151"
"152" "raised"
"153" NA
"153" "153"
"154" NA
"154" "154"
"155" NA
"155" "155"
"156" NA
"156" "156"
"157" NA
"157" "157"
"158" NA
"158" "158"
"161" "journal"
"162" NA
"162" "162"
"163" NA
"163" "163"
"164" NA
"164" "164"
"166" NA
"166" "166"
"167" NA
"167" "167"
"168" "possible"
"169" NA
"169" "169"
"170" "tenour"
"171" "compliments"
"172" NA
"172" "172"
"173" "contributes"
"173" "easy"
"173" "largely"
"174" NA
"174" "174"
"176" NA
"176" "176"
"177" NA
"177" "177"
"178" "judging"
"179" NA
"179" "179"
"180" NA
"180" "180"
"181" NA
"181" "181"
"182" NA
"182" "182"
"183" NA
"183" "183"
"185" "cost"
"185" "pin"
"186" NA
"186" "186"
"189" "yard"
"191" "gowns"
"192" NA
"192" "192"
"195" NA
"195" "195"
"198" "heard"
"200" "miles"
"203" "indulged"
"204" NA
"204" "204"
"205" NA
"205" "205"
"206" NA
"206" "206"
"207" "tease"
"208" "parted"
"209" "justified"
"210" "dreamer"
"211" "hasten"
"212" "different"
"214" "since"
"215" "stranger"
"217" "inquiries"
"218" "discovery"
"220" NA
"220" "220"
"223" "observed"
"224" "history"
"225" "brothers"
"225" "considered"
"225" "expressions"
"226" NA
"226" "226"
"227" NA
"227" "227"
"228" NA
"228" "228"
"229" "fashions"
"229" "thickness"
"231" "attachment"
"231" "increasing"
"231" "lengthened"
"231" "mutual"
"232" "spirit"
"235" NA
"235" "235"
"236" "nods"
"237" NA
"237" "237"
"240" NA
"240" "240"
"241" "assemblies"
"241" "undressed"
"242" NA
"242" "242"
"243" NA
"243" "243"
"244" NA
"244" "244"
"246" NA
"246" "246"
"247" "weaken"
"248" NA
"248" "248"
"249" "partial"
"250" NA
"250" "250"
"251" NA
"251" "251"
"253" "daily"
"256" "deprived"
"257" "enemies"
"257" "ungenerous"
"258" NA
"258" "258"
"260" NA
"260" "260"
"261" NA
"261" "261"
"263" NA
"263" "263"
"264" NA
"264" "264"
"265" "abridger"
"266" "really"
"267" NA
"267" "267"
"268" NA
"268" "268"
"269" NA
"269" "269"
"272" "delicacy"
"274" NA
"274" "274"
"277" NA
"277" "277"
"280" NA
"280" "280"
"281" NA
"281" "281"
"282" NA
"282" "282"
"284" NA
"284" "284"
"286" NA
"286" "286"
"287" NA
"287" "287"
"288" NA
"288" "288"
"289" NA
"289" "289"
"291" NA
"291" "291"
"292" NA
"292" "292"
"293" NA
"293" "293"
"294" NA
"294" "294"
"295" NA
"295" "295"
"296" NA
"296" "296"
"297" NA
"297" "297"
"299" NA
"299" "299"
"300" NA
"300" "300"
"301" NA
"301" "301"
"302" NA
"302" "302"
"303" NA
"303" "303"
"306" "sweet"
"307" NA
"307" "307"
"309" NA
"309" "309"
"310" NA
"310" "310"
"311" NA
"311" "311"
"312" NA
"312" "312"
"315" NA
"315" "315"
"317" "difference"
"318" "hear"
"320" NA
"320" "320"
"322" NA
"322" "322"
"323" NA
"323" "323"
"325" NA
"325" "325"
"326" "else"
"327" NA
"327" "327"
"330" NA
"330" "330"
"331" NA
"331" "331"
"332" NA
"332" "332"
"333" NA
"333" "333"
"334" NA
"334" "334"
"335" NA
"335" "335"
"336" NA
"336" "336"
"337" "suppose"
"338" NA
"338" "338"
"339" NA
"339" "339"
"340" NA
"340" "340"
"341" NA
"341" "341"
"342" NA
"342" "342"
"343" NA
"343" "343"
"344" NA
"344" "344"
"345" NA
"345" "345"
"346" NA
"346" "346"
"347" NA
"347" "347"
"348" NA
"348" "348"
"349" NA
"349" "349"
"350" NA
"350" "350"
"351" NA
"351" "351"
"352" NA
"352" "352"
