"source" "target" "tag"
6 13 "into"
17 22 "was"
22 23 "was"
23 24 "was"
24 25 "was"
18 28 "great"
25 29 "was"
29 31 "was"
28 33 "great"
31 34 "was"
34 41 "was"
41 55 "was"
55 62 "was"
62 65 "was"
65 70 "was"
15 76 "have"
76 77 "have"
17 78 "form"
58 80 "threw"
70 81 "was"
13 84 "into"
81 85 "was"
85 88 "was"
87 89 "you"
84 90 "into"
88 105 "was"
33 115 "great"
121 124 "cabman"
90 124 "into"
113 129 "sparring"
108 137 "your"
105 138 "was"
137 139 "your"
124 140 "into"
138 142 "was"
142 144 "was"
144 147 "was"
147 148 "was"
139 149 "your"
148 150 "was"
89 151 "you"
140 155 "into"
77 164 "have"
155 167 "into"
151 173 "you"
164 178 "have"
173 189 "you"
115 193 "great"
189 194 "you"
194 195 "you"
167 200 "into"
178 203 "have"
203 206 "have"
150 213 "was"
193 216 "great"
213 218 "was"
216 226 "great"
195 226 "you"
226 229 "great"
218 234 "was"
234 246 "was"
246 248 "was"
226 248 "you"
229 255 "great"
248 255 "was"
255 257 "great"
255 257 "was"
257 259 "was"
259 260 "was"
149 261 "your"
260 262 "was"
248 263 "you"
262 267 "was"
257 268 "great"
268 273 "great"
267 278 "was"
273 279 "great"
278 280 "was"
280 281 "was"
106 282 "got"
146 286 "hair"
279 289 "great"
281 289 "was"
289 290 "great"
289 293 "was"
293 300 "was"
206 303 "have"
286 304 "hair"
300 304 "was"
304 305 "was"
305 318 "was"
318 319 "was"
319 320 "was"
320 325 "was"
325 328 "was"
328 329 "was"
329 331 "was"
331 334 "was"
200 336 "into"
303 337 "have"
263 340 "you"
340 341 "you"
334 343 "was"
343 344 "was"
336 354 "into"
341 357 "you"
344 360 "was"
337 363 "have"
357 363 "you"
363 369 "you"
369 370 "you"
360 371 "was"
261 371 "your"
371 373 "was"
373 374 "was"
15 375 "had"
363 375 "have"
374 376 "was"
370 377 "you"
376 379 "was"
375 381 "have"
381 382 "have"
379 382 "was"
382 384 "was"
382 386 "have"
377 388 "you"
384 390 "was"
354 392 "into"
388 392 "you"
390 398 "was"
398 399 "was"
399 400 "was"
371 402 "your"
402 407 "your"
386 408 "have"
400 410 "was"
134 417 "#-you"
410 419 "was"
419 420 "was"
392 421 "you"
420 422 "was"
422 425 "was"
425 428 "was"
392 429 "into"
428 430 "was"
430 431 "was"
282 432 "got"
421 432 "you"
432 434 "got"
408 434 "have"
431 436 "was"
304 448 "hair"
436 448 "was"
432 455 "you"
448 457 "was"
407 458 "your"
455 460 "you"
434 463 "have"
457 469 "was"
460 469 "you"
469 472 "was"
472 473 "was"
78 481 "form"
223 482 "coming"
473 482 "was"
469 486 "you"
486 491 "you"
458 492 "your"
491 493 "you"
290 498 "great"
482 500 "was"
493 502 "you"
500 503 "was"
463 504 "have"
502 504 "you"
492 504 "your"
498 505 "great"
504 505 "you"
504 505 "your"
505 506 "you"
505 507 "great"
503 507 "was"
507 515 "was"
515 516 "was"
516 521 "was"
506 526 "you"
526 527 "you"
527 531 "you"
521 536 "was"
375 537 "had"
504 537 "have"
536 538 "was"
538 543 "was"
214 546 "shoulder"
543 546 "was"
546 548 "was"
548 550 "was"
550 551 "was"
551 555 "was"
555 556 "was"
429 559 "into"
138 559 "led"
556 560 "was"
560 561 "was"
559 562 "into"
561 563 "was"
563 564 "was"
562 566 "into"
474 569 "stared"
531 572 "you"
572 578 "you"
569 580 "stared"
537 581 "have"
581 582 "have"
149 585 "well"
481 586 "form"
582 586 "have"
578 594 "you"
564 596 "was"
537 600 "had"
586 600 "have"
600 601 "have"
566 604 "into"
255 604 "partial"
596 605 "was"
605 609 "was"
609 610 "was"
610 612 "was"
594 614 "you"
538 615 "theatre"
612 616 "was"
135 620 "learned"
615 621 "theatre"
616 621 "was"
621 623 "was"
623 626 "was"
626 627 "was"
627 629 "was"
580 630 "stared"
546 633 "shoulder"
629 638 "was"
638 639 "was"
601 640 "have"
639 645 "was"
604 646 "into"
645 649 "was"
640 650 "have"
507 656 "great"
485 657 "quiet"
505 660 "your"
633 662 "shoulder"
646 687 "into"
649 687 "was"
532 690 "mixed"
687 691 "was"
660 692 "your"
691 695 "was"
692 695 "your"
650 696 "have"
695 697 "was"
696 700 "have"
700 703 "have"
697 708 "was"
474 713 "running"
713 714 "running"
708 716 "was"
687 718 "into"
716 719 "was"
703 720 "have"
719 723 "was"
723 724 "was"
600 725 "had"
720 725 "have"
724 726 "was"
726 729 "was"
199 732 "nearly"
656 739 "great"
729 739 "was"
739 740 "was"
725 741 "have"
740 741 "was"
586 745 "form"
741 745 "was"
745 747 "was"
726 748 "firmly"
739 748 "great"
747 748 "was"
748 752 "was"
752 753 "was"
714 754 "running"
753 754 "was"
718 757 "into"
754 759 "was"
759 761 "was"
761 766 "was"
614 774 "you"
757 777 "into"
774 779 "you"
585 780 "well"
779 780 "you"
766 781 "was"
695 781 "your"
780 783 "well"
780 785 "you"
785 788 "you"
781 794 "your"
662 796 "shoulder"
754 797 "running"
781 798 "was"
798 799 "was"
799 800 "was"
788 803 "you"
800 815 "was"
815 817 "was"
817 824 "was"
725 826 "had"
741 826 "have"
803 828 "you"
826 830 "have"
828 830 "you"
748 831 "great"
830 838 "have"
254 839 "sort"
824 839 "was"
830 841 "you"
841 843 "you"
843 845 "you"
845 846 "you"
846 847 "you"
847 850 "you"
850 851 "you"
851 852 "you"
839 855 "was"
684 856 "looks"
745 859 "form"
826 859 "had"
831 865 "great"
855 865 "was"
852 866 "you"
434 868 "got"
838 868 "have"
866 871 "you"
865 875 "was"
875 877 "was"
868 878 "have"
877 878 "was"
783 878 "well"
777 883 "into"
883 884 "into"
559 884 "led"
796 884 "shoulder"
878 884 "was"
884 885 "was"
878 894 "well"
878 895 "have"
895 896 "have"
871 898 "you"
896 899 "have"
352 900 "repose"
899 901 "have"
884 901 "into"
794 901 "your"
901 907 "have"
885 909 "was"
909 912 "was"
901 914 "your"
482 915 "coming"
898 916 "you"
894 921 "well"
912 923 "was"
916 929 "you"
657 933 "quiet"
923 935 "was"
935 936 "was"
448 939 "hair"
901 939 "into"
939 940 "into"
929 944 "you"
936 946 "was"
946 952 "was"
856 956 "looks"
952 957 "was"
907 958 "have"
957 959 "was"
959 960 "was"
960 961 "was"
961 970 "was"
630 973 "stared"
797 976 "running"
970 976 "was"
976 977 "was"
977 980 "was"
980 982 "was"
982 983 "was"
983 986 "was"
973 987 "stared"
986 989 "was"
958 1000 "have"
944 1002 "you"
940 1003 "into"
956 1008 "looks"
1008 1009 "looks"
989 1010 "was"
1010 1011 "was"
1002 1013 "you"
1003 1020 "into"
884 1021 "led"
1000 1022 "have"
1013 1022 "you"
1011 1026 "was"
1026 1029 "was"
865 1035 "great"
1029 1035 "was"
859 1036 "form"
921 1038 "well"
1035 1039 "was"
1022 1047 "you"
1020 1048 "into"
868 1052 "got"
1039 1063 "was"
1047 1065 "you"
1065 1066 "you"
1063 1067 "was"
153 1072 "gravity"
1067 1072 "was"
1035 1073 "great"
1022 1073 "have"
1072 1073 "was"
1073 1074 "have"
1066 1082 "you"
1073 1084 "was"
1084 1085 "was"
1048 1090 "into"
1085 1090 "was"
832 1093 "spinster"
1090 1094 "was"
1090 1096 "into"
1094 1101 "was"
1082 1101 "you"
1101 1106 "you"
1106 1108 "you"
1074 1112 "have"
1112 1118 "have"
1108 1125 "you"
1101 1127 "was"
1127 1128 "was"
1128 1129 "was"
1036 1130 "form"
1129 1135 "was"
818 1137 "gaze"
1135 1140 "was"
1140 1141 "was"
1141 1143 "was"
1118 1146 "have"
1143 1147 "was"
1147 1150 "was"
1150 1151 "was"
1151 1152 "was"
330 1154 "perspiration"
80 1155 "threw"
1152 1157 "was"
1157 1158 "was"
1158 1159 "was"
1159 1162 "was"
732 1165 "nearly"
557 1166 "#-was"
1155 1169 "threw"
1162 1172 "was"
1172 1178 "was"
1178 1187 "was"
1096 1188 "into"
1187 1191 "was"
1191 1194 "was"
1166 1197 "#-was"
1038 1202 "well"
1194 1207 "was"
1130 1209 "form"
1188 1211 "into"
1207 1211 "was"
1202 1211 "well"
1211 1215 "well"
1211 1219 "was"
1219 1220 "was"
1220 1222 "was"
1222 1224 "was"
1211 1225 "into"
1169 1225 "threw"
1215 1225 "well"
1224 1226 "was"
1225 1227 "into"
1226 1228 "was"
1228 1230 "was"
1230 1233 "was"
1125 1238 "you"
1233 1244 "was"
1244 1247 "was"
1247 1249 "was"
1227 1251 "into"
1249 1251 "was"
1251 1252 "was"
1137 1254 "gaze"
216 1260 "delicious"
1251 1260 "into"
1252 1261 "was"
1238 1265 "you"
1265 1267 "you"
1261 1269 "was"
1269 1270 "was"
914 1270 "your"
855 1271 "wish"
1021 1275 "led"
1270 1277 "was"
1277 1280 "was"
1146 1283 "have"
1225 1290 "well"
1267 1291 "you"
1280 1295 "was"
1295 1299 "was"
1299 1301 "was"
1301 1306 "was"
1306 1309 "was"
1309 1312 "was"
1312 1317 "was"
1093 1323 "spinster"
1323 1329 "spinster"
1317 1330 "was"
1260 1337 "into"
1329 1337 "spinster"
1337 1339 "spinster"
1291 1347 "you"
1347 1348 "you"
1330 1349 "was"
1348 1349 "you"
1270 1352 "your"
1337 1354 "into"
1349 1356 "you"
1339 1361 "spinster"
1165 1362 "nearly"
1356 1366 "you"
1283 1368 "have"
1366 1368 "you"
1349 1371 "was"
1371 1372 "was"
1368 1375 "you"
1368 1376 "have"
1375 1377 "you"
1376 1378 "have"
1372 1378 "was"
1377 1382 "you"
1073 1385 "great"
1378 1387 "was"
1387 1388 "was"
1388 1391 "was"
1354 1400 "into"
1391 1404 "was"
1404 1405 "was"
1405 1408 "was"
1352 1412 "your"
1382 1413 "you"
1400 1415 "into"
1408 1415 "was"
1415 1416 "was"
1416 1418 "was"
1415 1419 "into"
246 1420 "properly"
839 1420 "sort"
915 1423 "coming"
1418 1426 "was"
1426 1429 "was"
1429 1435 "was"
1435 1437 "was"
1378 1439 "have"
859 1441 "had"
1439 1441 "have"
1437 1456 "was"
1456 1460 "was"
1290 1471 "well"
1412 1473 "your"
1413 1474 "you"
1474 1475 "you"
1385 1485 "great"
1441 1485 "have"
1362 1485 "nearly"
1485 1488 "great"
933 1490 "quiet"
1460 1492 "was"
1492 1493 "was"
1441 1494 "had"
1485 1494 "have"
1493 1496 "was"
1361 1500 "spinster"
1496 1504 "was"
1500 1505 "spinster"
1504 1505 "was"
1475 1513 "you"
1505 1514 "was"
1473 1521 "your"
1514 1525 "was"
1525 1528 "was"
