"root_node_id" "tag"
"1" "had"
"2" "lived"
"3" "companion"
"3" "man"
"4" "death"
"4" "produced"
"5" NA
"5" "5"
"6" NA
"6" "6"
"7" "#-merely"
"7" "added"
"7" "every"
"7" "interest"
"11" NA
"11" "11"
"12" "also"
"12" "moiety"
"14" "nor"
"15" "sake"
"16" "attractions"
"16" "cunning"
"16" "outweigh"
"16" "tied"
"17" NA
"17" "17"
"18" "economically"
"18" "temper"
"19" "twelvemonth"
"20" "including"
"22" "#-had"
"22" "feelings"
"22" "nature"
"23" "leisure"
"24" "cold"
"25" NA
"25" "25"
"26" NA
"26" "26"
"27" NA
"27" "27"
"28" NA
"28" "28"
"29" "warmed"
"30" NA
"30" "30"
"31" NA
"31" "31"
"32" NA
"32" "32"
"33" NA
"33" "33"
"34" NA
"34" "34"
"35" "conduct"
"35" "moment"
"36" "till"
"37" NA
"37" "37"
"38" "arrival"
"39" "frequently"
"41" "abilities"
"42" NA
"42" "42"
"43" NA
"43" "43"
"44" "between"
"45" NA
"45" "45"
"46" "violence"
"47" NA
"47" "47"
"49" NA
"49" "49"
"52" NA
"52" "52"
"53" "quiet"
"55" NA
"55" "55"
"56" "hers"
"57" NA
"57" "57"
"58" NA
"58" "58"
"59" "impoverishing"
"60" NA
"60" "60"
"61" NA
"61" "61"
"62" "claim"
"64" NA
"64" "64"
"65" NA
"65" "65"
"66" NA
"66" "66"
"67" NA
"67" "67"
"69" "neglect"
"70" NA
"70" "70"
"71" NA
"71" "71"
"72" NA
"72" "72"
"73" NA
"73" "73"
"75" NA
"75" "75"
"76" NA
"76" "76"
"77" NA
"77" "77"
"78" NA
"78" "78"
"79" NA
"79" "79"
"80" NA
"80" "80"
"81" NA
"81" "81"
"82" NA
"82" "82"
"83" NA
"83" "83"
"84" NA
"84" "84"
"86" NA
"86" "86"
"87" "question"
"88" NA
"88" "88"
"89" NA
"89" "89"
"90" "divided"
"92" "advisable"
"93" NA
"93" "93"
"94" NA
"94" "94"
"95" NA
"95" "95"
"96" NA
"96" "96"
"97" "shall"
"98" NA
"98" "98"
"99" NA
"99" "99"
"100" NA
"100" "100"
"101" "getting"
"102" NA
"102" "102"
"103" NA
"103" "103"
"105" "sick"
"106" "because"
"107" NA
"107" "107"
"108" NA
"108" "108"
"109" NA
"109" "109"
"111" NA
"111" "111"
"112" NA
"112" "112"
"113" NA
"113" "113"
"114" NA
"114" "114"
"115" NA
"115" "115"
"117" NA
"117" "117"
"118" "being"
"119" NA
"119" "119"
"121" "forth"
"121" "looking"
"122" NA
"122" "122"
"123" "course"
"124" NA
"124" "124"
"125" NA
"125" "125"
"126" NA
"126" "126"
"127" NA
"127" "127"
"128" NA
"128" "128"
"129" NA
"129" "129"
"130" NA
"130" "130"
"131" NA
"131" "131"
"132" NA
"132" "132"
"133" "fulfil"
"135" NA
"135" "135"
"136" NA
"136" "136"
"137" NA
"137" "137"
"138" "sold"
"139" NA
"139" "139"
"140" NA
"140" "140"
"141" NA
"141" "141"
"142" NA
"142" "142"
"143" "breakfast"
"144" NA
"144" "144"
"145" NA
"145" "145"
"146" NA
"146" "146"
"148" NA
"148" "148"
"149" "decision"
"150" NA
"150" "150"
"151" "dwelling"
"151" "spirits"
"152" NA
"152" "152"
"153" "informed"
"154" "support"
"156" NA
"156" "156"
"157" "according"
"157" "maternal"
"157" "occurred"
"160" NA
"160" "160"
"161" NA
"161" "161"
"163" NA
"163" "163"
"164" NA
"164" "164"
"165" "natural"
"168" NA
"168" "168"
"169" "concerns"
"176" NA
"176" "176"
"178" NA
"178" "178"
"179" NA
"179" "179"
"180" "implies"
"181" NA
"181" "181"
"182" NA
"182" "182"
"183" "smile"
"184" NA
"184" "184"
"185" NA
"185" "185"
"186" NA
"186" "186"
"187" NA
"187" "187"
"189" "approaching"
"190" NA
"190" "190"
"194" NA
"194" "194"
"195" NA
"195" "195"
"196" "grave"
"197" NA
"197" "197"
"198" NA
"198" "198"
"199" "#-striking"
"200" NA
"200" "200"
"201" NA
"201" "201"
"202" "drawings"
"203" "matter"
"204" NA
"204" "204"
"205" NA
"205" "205"
"206" "point"
"208" "tame"
"209" NA
"209" "209"
"210" NA
"210" "210"
"211" NA
"211" "211"
"213" NA
"213" "213"
"214" NA
"214" "214"
"215" NA
"215" "215"
"219" NA
"219" "219"
"221" NA
"221" "221"
"222" NA
"222" "222"
"223" NA
"223" "223"
"224" NA
"224" "224"
"225" NA
"225" "225"
"227" NA
"227" "227"
"228" "innate"
"230" "smiling"
"231" NA
"231" "231"
"232" NA
"232" "232"
"233" NA
"233" "233"
"239" NA
"239" "239"
"240" NA
"240" "240"
"241" "unreserved"
"242" NA
"242" "242"
"243" NA
"243" "243"
"244" NA
"244" "244"
"245" "engrossed"
"246" "exceedingly"
"249" NA
"249" "249"
"250" NA
"250" "250"
"254" NA
"254" "254"
"255" "believed"
"257" NA
"257" "257"
"258" NA
"258" "258"
"260" NA
"260" "260"
"261" NA
"261" "261"
"262" NA
"262" "262"
"264" NA
"264" "264"
"265" NA
"265" "265"
"267" NA
"267" "267"
"268" NA
"268" "268"
"269" NA
"269" "269"
"270" "extent"
"270" "fully"
"270" "wishing"
"271" NA
"271" "271"
"272" NA
"272" "272"
"276" NA
"276" "276"
"277" NA
"277" "277"
"278" "pursuit"
"280" "prosperous"
"282" NA
"282" "282"
"284" NA
"284" "284"
"286" NA
"286" "286"
"287" "result"
"289" NA
"289" "289"
"291" NA
"291" "291"
"293" "offer"
"294" NA
"294" "294"
"295" "cottage"
"295" "merely"
"296" NA
"296" "296"
"298" NA
"298" "298"
"299" NA
"299" "299"
"301" "comparison"
"302" NA
"302" "302"
"304" "removing"
"307" NA
"307" "307"
"308" NA
"308" "308"
"310" "hearing"
"310" "repeated"
"311" NA
"311" "311"
"312" NA
"312" "312"
"313" NA
"313" "313"
"314" NA
"314" "314"
"315" NA
"315" "315"
"316" NA
"316" "316"
"318" NA
"318" "318"
"319" "#-produced"
"320" "totally"
"323" NA
"323" "323"
"324" NA
"324" "324"
"327" "agreement"
"327" "off"
"328" "offering"
"331" "examine"
"331" "prepare"
"331" "unknown"
"333" NA
"333" "333"
"334" "neglected"
"336" "stand"
"337" "journey"
"338" NA
"338" "338"
"340" NA
"340" "340"
"341" NA
"341" "341"
"343" "tedious"
"343" "walk"
"345" NA
"345" "345"
"346" NA
"346" "346"
"347" "green"
"348" "walls"
"349" NA
