"philip::infant";"pirrip::infant"
"abraham::infant";"alexander::infant"
"abraham::infant";"bartholomew::infant"
"abraham::infant";"roger::infant"
"abraham::infant";"tobias::infant"
"alexander::infant";"bartholomew::infant"
"alexander::infant";"roger::infant"
"alexander::infant";"tobias::infant"
"bartholomew::infant";"roger::infant"
"bartholomew::infant";"tobias::infant"
"roger::infant";"tobias::infant"
"joe_gargery::live";"joe_gargery::whether"
"joe::#-reason";"joe::#-taken"
"joe::confidence";"joe::confidences"
"joe::fed";"joe::flare"
"joe::fed";"joe::heard"
"joe::flare";"joe::heard"
"joe::#-allowed";"joe::played"
"hubble::habit";"uncle_pumblechook::habit"
"hubble::habit";"wopsle::habit"
"uncle_pumblechook::habit";"wopsle::habit"
"joe::just";"uncle_pumblechook::just"
"richard::proper";"wopsle::proper"
"hubble::heard";"joe::heard"
"joe::flare";"joe::taken"
"joe::taken";"wopsle::taken"
"collins::particularly";"wopsle::particularly"
"biddy::confess";"wopsle::confess"
"joe::lower";"pip::lower"
"joe_pip::father";"joe::father"
"joe::buying";"uncle_pumblechook::buying"
"mooncalfs::wooden";"uncle_pumblechook::wooden"
"havisham::dogged";"havisham::inasmuch"
"havisham::dogged";"havisham::taken"
"havisham::inasmuch";"havisham::taken"
"estella::repeated";"joe::repeated"
"estella::repeated";"pumblechook::repeated"
"joe::repeated";"pumblechook::repeated"
"estella::consider";"joe::consider"
"biddy::reason";"wopsle::reason"
"joe::grimly";"wopsle::grimly"
"joe::drinking";"joe::habit"
"joe::relations";"wopsle::relations"
"richard::enough";"wopsle::enough"
"estella::heard";"sarah_pocket::heard"
"camilla::brightened";"camilla::met"
"camilla::brightened";"havisham::brightened"
"camilla::brightened";"havisham::met"
"camilla::met";"havisham::brightened"
"camilla::met";"havisham::met"
"havisham::brightened";"havisham::met"
"camilla::higher";"camilla::taken"
"georgiana::outdone";"sarah_pocket::outdone"
"georgiana::outdone";"sarah::outdone"
"sarah_pocket::outdone";"sarah::outdone"
"joe::#-favorable";"joe::reason"
"joe::#-favorable";"joe::taken"
"joe::reason";"joe::taken"
"cleopatra::ostentatiously";"cleopatra::whether"
"joe::confidence";"pip::confidence"
"joe::faces";"pip::faces"
"joe::near";"pip::near"
"estella::drawing";"estella::just"
"estella::drawing";"estella::wooden"
"estella::drawing";"havisham::drawing"
"estella::drawing";"havisham::just"
"estella::drawing";"havisham::wooden"
"estella::drawing";"joe::drawing"
"estella::drawing";"joe::just"
"estella::drawing";"joe::wooden"
"estella::just";"estella::wooden"
"estella::just";"havisham::drawing"
"estella::just";"havisham::just"
"estella::just";"havisham::wooden"
"estella::just";"joe::drawing"
"estella::just";"joe::just"
"estella::just";"joe::wooden"
"estella::wooden";"havisham::drawing"
"estella::wooden";"havisham::just"
"estella::wooden";"havisham::wooden"
"estella::wooden";"joe::drawing"
"estella::wooden";"joe::just"
"estella::wooden";"joe::wooden"
"havisham::drawing";"havisham::just"
"havisham::drawing";"havisham::wooden"
"havisham::drawing";"joe::drawing"
"havisham::drawing";"joe::just"
"havisham::drawing";"joe::wooden"
"havisham::just";"havisham::wooden"
"havisham::just";"joe::drawing"
