"source" "target" "tag"
36 38 "clara::strange"
28 62 "betsey::name"
62 64 "clara::name"
24 131 "betsey::mother"
53 148 "betsey::room"
53 148 "clara::room"
79 201 "betsey::back"
201 202 "betsey::back"
201 202 "chillip::back"
79 205 "clara::back"
205 215 "peggotty::back"
168 221 "clara::two"
148 222 "peggotty::room"
44 235 "clara::open"
205 260 "clara::red"
221 267 "peggotty::work"
259 269 "peggotty::thought"
267 269 "peggotty::work"
215 270 "peggotty::back"
267 270 "peggotty::little"
221 271 "peggotty::two"
270 273 "peggotty::back"
240 275 "peggotty::time"
36 278 "clara::little"
291 293 "clara::hand"
277 295 "clara::black"
245 295 "clara::round"
222 298 "peggotty::room"
148 301 "clara::room"
267 306 "peggotty::#-married"
269 310 "peggotty::thought"
307 311 "clara::can"
307 312 "peggotty::can"
310 320 "peggotty::thought"
278 321 "clara::little"
270 322 "peggotty::little"
321 334 "clara::little"
293 343 "clara::hand"
64 352 "clara::name"
353 354 "clara::horse"
362 363 "murdstone::black"
355 365 "murdstone::mother"
365 370 "murdstone::thought"
205 434 "peggotty::first"
167 437 "clara::point"
322 439 "peggotty::little"
354 447 "clara::idea"
205 454 "clara::back"
273 460 "peggotty::back"
473 476 "peggotty::found"
434 477 "peggotty::first"
460 478 "peggotty::back"
477 496 "peggotty::first"
439 496 "peggotty::little"
222 514 "peggotty::black"
513 514 "peggotty::hot"
205 514 "peggotty::red"
553 556 "emily::little"
556 591 "emily::little"
591 598 "emily::little"
531 606 "daniel::curious"
527 606 "daniel::thought"
598 610 "emily::little"
610 618 "emily::little"
496 620 "peggotty::little"
521 621 "daniel::pipe"
618 641 "emily::little"
538 654 "daniel::laugh"
275 689 "peggotty::time"
641 696 "emily::little"
620 696 "gummidge::little"
464 703 "peggotty::horse"
38 706 "clara::strange"
298 711 "peggotty::hand"
292 727 "davy::hand"
711 727 "peggotty::hand"
343 734 "clara::hand"
727 734 "peggotty::hand"
454 735 "clara::back"
478 735 "peggotty::back"
277 737 "clara::thought"
221 737 "clara::work"
696 752 "emily::little"
610 752 "emily::love"
727 763 "davy::hand"
734 771 "peggotty::hand"
207 771 "peggotty::touch"
457 773 "clara::love"
338 781 "clara::time"
689 781 "peggotty::time"
221 786 "clara::two"
271 786 "peggotty::two"
696 799 "gummidge::little"
734 800 "clara::hand"
301 803 "clara::room"
706 803 "clara::strange"
737 803 "clara::thought"
781 803 "clara::time"
234 817 "clara::boy"
496 828 "peggotty::first"
311 829 "clara::can"
286 829 "clara::trouble"
829 830 "clara::can"
803 834 "clara::thought"
370 834 "murdstone::thought"
311 837 "clara::talk"
800 847 "clara::hope"
365 849 "murdstone::mother"
46 866 "clara::condition"
834 883 "clara::thought"
803 891 "clara::room"
295 900 "clara::black"
459 903 "murdstone::round"
786 904 "clara::two"
837 908 "clara::wonder"
908 909 "clara::wonder"
830 918 "clara::can"
817 937 "clara::boy"
815 948 "murdstone::time"
937 950 "clara::book"
937 957 "murdstone::book"
915 984 "murdstone::found"
849 984 "murdstone::mother"
903 984 "murdstone::round"
957 997 "murdstone::book"
948 997 "murdstone::time"
918 1001 "clara::can"
1001 1003 "clara::can"
1001 1003 "david::can"
891 1008 "clara::room"
816 1039 "clara::near"
361 1039 "murdstone::near"
800 1040 "clara::hand"
772 1040 "murdstone::hand"
812 1040 "murdstone::large"
957 1049 "murdstone::room"
828 1056 "peggotty::first"
781 1056 "peggotty::time"
620 1062 "peggotty::little"
696 1087 "daniel::little"
752 1087 "emily::little"
799 1087 "gummidge::little"
771 1089 "peggotty::hand"
915 1095 "clara::found"
260 1095 "clara::red"
476 1120 "peggotty::found"
1040 1133 "clara::hand"
904 1133 "clara::two"
763 1133 "davy::hand"
476 1175 "peggotty::waiting"
352 1192 "murdstone::name"
259 1247 "peggotty::school"
937 1288 "murdstone::boy"
1192 1303 "murdstone::name"
735 1321 "peggotty::back"
1389 1409 "mell::back"
334 1433 "clara::little"
1062 1433 "peggotty::little"
1404 1438 "mell::end"
1456 1468 "creakle::leg"
1390 1510 "mell::first"
1463 1512 "creakle::little"
1470 1512 "creakle::thought"
1430 1512 "mell::little"
1428 1515 "tommy_traddles::boy"
1089 1530 "peggotty::hand"
1550 1552 "copperfield::hand"
1512 1593 "creakle::thought"
1593 1601 "creakle::thought"
1593 1601 "tungay::thought"
1463 1609 "creakle::large"
1591 1609 "creakle::round"
1453 1655 "mell::two"
1512 1657 "creakle::little"
1484 1659 "creakle::found"
1672 1673 "james::story"
1582 1678 "james::little"
1542 1683 "copperfield::little"
1104 1684 "copperfield::box"
1678 1695 "james::little"
1662 1695 "james::time"
1561 1704 "creakle::school"
1430 1705 "mell::school"
1442 1707 "mell::hand"
1707 1709 "mell::book"
1409 1715 "mell::back"
1657 1740 "creakle::little"
1502 1743 "creakle::hand"
1707 1743 "mell::hand"
1613 1765 "creakle::boy"
1743 1770 "mell::hand"
1561 1773 "creakle::mother"
1512 1774 "mell::thought"
1533 1784 "james::can"
1753 1788 "creakle::back"
1715 1788 "mell::back"
1516 1788 "tommy_traddles::account"
1773 1804 "james::mother"
1646 1804 "james::thought"
1673 1806 "james::story"
1522 1808 "james::school"
1087 1829 "daniel::little"
1087 1829 "emily::little"
1087 1829 "gummidge::little"
608 1831 "daniel::two"
1829 1832 "daniel::little"
1832 1840 "daniel::little"
1829 1841 "emily::little"
1655 1855 "james::two"
1855 1859 "james::two"
1427 1877 "james::name"
606 1883 "daniel::back"
1841 1884 "emily::little"
1695 1884 "james::little"
1877 1884 "james::name"
606 1885 "daniel::thought"
1171 1900 "barkis::little"
1153 1900 "barkis::time"
1910 1911 "barkis::end"
1146 1924 "barkis::name"
352 1924 "clara::name"
1900 1925 "barkis::time"
803 1925 "clara::time"
1804 1933 "james::mother"
849 1933 "peggotty::mother"
1056 1956 "peggotty::time"
718 1962 "peggotty::full"
1956 1962 "peggotty::time"
1155 1964 "barkis::thought"
767 1980 "peggotty::dinner"
514 1980 "peggotty::red"
1962 1980 "peggotty::time"
786 1980 "peggotty::two"
205 1982 "clara::first"
1056 1982 "peggotty::first"
1133 1983 "clara::hand"
1530 1983 "peggotty::hand"
1983 1985 "peggotty::hand"
1983 1988 "clara::hand"
837 1994 "clara::talk"
1964 2007 "barkis::laugh"
1900 2008 "barkis::little"
312 2016 "peggotty::can"
909 2018 "clara::wonder"
1003 2019 "clara::can"
2018 2027 "clara::wonder"
2018 2027 "davy::wonder"
2018 2027 "peggotty::wonder"
2008 2031 "barkis::little"
1433 2039 "peggotty::little"
825 2044 "murdstone::point"
437 2044 "peggotty::point"
2019 2046 "clara::can"
1994 2054 "peggotty::talk"
2054 2060 "murdstone::talk"
1982 2067 "peggotty::first"
459 2078 "murdstone::back"
1008 2092 "clara::room"
984 2101 "murdstone::mother"
1433 2109 "clara::little"
321 2109 "davy::little"
2092 2122 "clara::room"
838 2150 "murdstone::observe"
1988 2154 "clara::hand"
60 2162 "clara::mother"
298 2175 "peggotty::room"
377 2177 "murdstone::little"
1740 2182 "creakle::little"
1884 2182 "james::little"
1039 2190 "clara::near"
1039 2190 "murdstone::near"
1659 2205 "creakle::found"
1743 2205 "creakle::hand"
1609 2210 "creakle::large"
2031 2244 "barkis::little"
