"source" "target" "tag"
100 101 "monsieur_rigaud::hand"
101 106 "monsieur_rigaud::hand"
157 197 "john_baptist::first"
84 208 "john_baptist::little"
219 238 "madame_rigaud::little"
101 266 "john_baptist::ready"
320 322 "tattycoram::name"
597 601 "arthur::mother"
601 698 "arthur::mother"
775 778 "mrs_clennam::room"
696 782 "jeremiah::time"
782 809 "jeremiah::time"
619 984 "arthur::back"
625 997 "arthur::little"
997 998 "arthur::little"
987 1000 "mrs_clennam::mother"
1017 1018 "mrs_affery::two"
944 1031 "flintwinch::mother"
1021 1041 "arthur::found"
1062 1063 "marshalsea::lock"
1120 1140 "mrs_bangham::hand"
1142 1145 "mrs_bangham::little"
1196 1218 "marshalsea::room"
1198 1218 "marshalsea::yard"
1227 1229 "bellows::time"
1227 1229 "snooks::time"
1227 1229 "wideawake::time"
1228 1231 "bellows::back"
1228 1231 "snooks::back"
1228 1231 "wideawake::back"
1249 1251 "haggage::first"
1302 1303 "marshalsea::little"
1063 1304 "marshalsea::rest"
1303 1309 "marshalsea::little"
1303 1340 "marshalsea::time"
1140 1366 "mrs_bangham::hand"
1374 1375 "clifford::back"
1199 1389 "mrs_bangham::found"
1218 1422 "marshalsea::yard"
1309 1424 "marshalsea::little"
844 1445 "arthur::can"
998 1446 "arthur::little"
631 1469 "arthur::round"
1498 1500 "amy::daughter"
1446 1539 "arthur::little"
1502 1544 "clennam::excuse"
1540 1639 "little_dorrit::two"
1434 1671 "arthur_clennam::back"
1638 1671 "little_dorrit::back"
1437 1673 "arthur_clennam::hand"
1434 1673 "arthur_clennam::red"
1639 1673 "little_dorrit::two"
1431 1674 "arthur_clennam::street"
1546 1722 "amy::dress"
1488 1763 "clennam::found"
1673 1865 "little_dorrit::two"
1843 1865 "maggy::large"
1888 1891 "maggy::window"
1857 1893 "maggy::little"
1857 1893 "maggy::mother"
1437 1987 "arthur_clennam::little"
1449 2017 "dorrit::name"
1941 2051 "arthur_clennam::room"
1673 2084 "arthur_clennam::two"
346 2127 "meagles::street"
2128 2153 "meagles::back"
1445 2236 "arthur::can"
2225 2241 "meagles::hot"
2153 2243 "meagles::back"
2396 2440 "john_baptist::time"
2392 2441 "lagnier::shoes"
2392 2455 "john_baptist::shoes"
101 2458 "john_baptist::hand"
2455 2458 "john_baptist::shoes"
2155 2478 "daniel_doyce::name"
1865 2479 "little_dorrit::two"
1826 2485 "plornish::little"
1512 2518 "clennam::little"
2485 2518 "plornish::little"
1446 2525 "arthur::hand"
1673 2525 "little_dorrit::hand"
2478 2553 "arthur_clennam::name"
1826 2553 "plornish::name"
2553 2571 "plornish::name"
1564 2621 "clennam::two"
2518 2639 "clennam::beg"
2604 2675 "flora::daughter"
1542 2675 "mr_clennam::daughter"
2675 2676 "casby::married"
2675 2676 "flora::married"
2675 2676 "mr_clennam::married"
2683 2684 "casby::room"
1763 2724 "clennam::found"
2553 2732 "pancks::name"
2725 2734 "clennam::time"
2725 2734 "flora::time"
1828 2736 "arthur::present"
1446 2742 "arthur::familiar"
2676 2742 "flora::married"
2734 2745 "arthur::time"
2734 2745 "clennam::time"
2743 2747 "flora::name"
2724 2750 "clennam::found"
2724 2750 "flora::found"
984 2756 "arthur::back"
1539 2756 "arthur::little"
2742 2763 "clennam::natural"
2733 2767 "pancks::little"
1489 2789 "clennam::doubtful"
2621 2789 "clennam::two"
1564 2799 "clennam::first"
2518 2815 "clennam::little"
2745 2815 "clennam::time"
2774 2817 "pancks::dirty"
2767 2817 "pancks::little"
2789 2826 "clennam::two"
2734 2831 "flora::time"
2799 2833 "flora::first"
2817 2841 "pancks::little"
2815 2858 "clennam::little"
2841 2858 "pancks::little"
2858 2871 "pancks::little"
1545 2877 "clennam::room"
1527 2887 "clennam::#-use"
1512 2891 "clennam::round"
2891 2894 "clennam::round"
2051 2963 "arthur_clennam::room"
2802 2963 "flora::room"
2926 2976 "clennam::work"
1822 2988 "little_dorrit::name"
2858 2999 "clennam::little"
2889 3000 "clennam::can"
1489 3002 "clennam::hand"
2997 3023 "little_dorrit::little"
1672 3026 "little_dorrit::first"
1640 3035 "little_dorrit::thought"
2826 3038 "clennam::wine"
2826 3054 "clennam::two"
2479 3054 "little_dorrit::two"
1893 3091 "maggy::little"
1340 3104 "marshalsea::time"
2525 3108 "little_dorrit::hand"
3108 3109 "little_dorrit::hand"
3091 3120 "maggy::little"
3120 3124 "maggy::little"
2994 3127 "maggy::thought"
1671 3165 "little_dorrit::back"
3120 3165 "maggy::back"
3122 3165 "maggy::cold"
1500 3185 "amy::daughter"
778 3221 "mrs_clennam::room"
3232 3233 "mrs_flintwinch::thought"
3233 3235 "mrs_flintwinch::thought"
995 3236 "affery::room"
3236 3237 "affery::room"
942 3242 "flintwinch::anger"
846 3264 "arthur::thought"
2756 3266 "arthur::#-love"
2745 3269 "arthur::time"
3237 3365 "affery::room"
2963 3365 "arthur_clennam::room"
3237 3367 "affery::little"
3239 3367 "affery::near"
763 3367 "affery::two"
1034 3367 "flintwinch::little"
802 3367 "jeremiah::two"
3222 3367 "mrs_clennam::two"
2815 3370 "clennam::time"
366 3370 "meagles::time"
2129 3389 "meagles::hand"
2756 3401 "arthur::first"
3269 3403 "arthur::time"
2999 3418 "clennam::little"
2736 3419 "clennam::present"
2799 3420 "clennam::first"
2877 3459 "clennam::room"
2243 3464 "meagles::back"
1565 3488 "clennam::back"
3459 3502 "clennam::room"
3524 3536 "tattycoram::little"
366 3538 "tattycoram::found"
3389 3546 "meagles::hand"
3546 3560 "meagles::hand"
3370 3569 "meagles::time"
3054 3589 "clennam::gentle"
379 3589 "meagles::gentle"
3418 3590 "clennam::little"
2151 3590 "meagles::little"
3590 3616 "clennam::little"
3002 3646 "clennam::hand"
2976 3650 "clennam::touch"
1750 3655 "clennam::mother"
631 3694 "arthur::room"
3403 3694 "arthur::time"
3502 3694 "clennam::room"
3370 3694 "clennam::time"
3502 3694 "meagles::room"
3569 3694 "meagles::time"
3401 3695 "arthur::account"
2756 3695 "arthur::little"
3616 3695 "clennam::little"
1762 3695 "clennam::rest"
3499 3695 "meagles::account"
3590 3695 "meagles::little"
366 3695 "meagles::rest"
3694 3696 "arthur::room"
3694 3696 "clennam::room"
3694 3696 "gowan::room"
3694 3696 "meagles::room"
3694 3697 "meagles::time"
3694 3699 "clennam::time"
2750 3706 "clennam::found"
3646 3706 "clennam::hand"
3643 3706 "gowan::hand"
2887 3707 "clennam::public"
3054 3707 "clennam::two"
3707 3715 "gowan::two"
3697 3717 "meagles::time"
3552 3717 "meagles::two"
3560 3733 "meagles::hand"
3699 3736 "clennam::time"
3736 3738 "clennam::time"
3717 3741 "meagles::time"
346 3743 "meagles::full"
412 3744 "meagles::#-natural"
3695 3747 "clennam::little"
3706 3777 "clennam::found"
2800 3777 "clennam::hope"
3747 3777 "clennam::little"
3786 3796 "young_john::object"
1240 3808 "marshalsea::wall"
1422 3824 "marshalsea::yard"
3788 3839 "young_john::dinner"
3787 3843 "chivery::yard"
3830 3862 "john::time"
3384 3875 "dorrit::little"
3004 3877 "dorrit::thought"
3875 3889 "john::little"
1712 3893 "amy::thought"
3877 3893 "dorrit::thought"
1488 3895 "amy::found"
3069 3896 "little_dorrit::can"
3836 3929 "john::rest"
3896 3931 "little_dorrit::can"
3023 3931 "little_dorrit::little"
3960 3961 "frederick::hand"
3957 3964 "frederick::yard"
3957 3964 "william::yard"
1512 3966 "frederick::little"
3966 3971 "frederick::little"
3971 3980 "frederick::little"
3961 3991 "frederick::hand"
3786 4008 "chivery::little"
3815 4012 "chivery::boy"
3980 4044 "frederick::little"
4057 4132 "amy::touch"
1722 4139 "amy::dress"
4136 4139 "amy::shoes"
1402 4139 "amy::time"
4141 4161 "amy::love"
3786 4180 "young_john::little"
4180 4182 "young_john::little"
3106 4185 "marshalsea::#-idea"
3127 4195 "maggy::thought"
3876 4198 "dorrit::first"
1703 4204 "fanny::open"
1512 4221 "fanny::round"
4221 4222 "fanny::round"
4133 4233 "amy::black"
3858 4233 "amy::round"
4222 4233 "fanny::black"
4221 4233 "fanny::boy"
4222 4233 "fanny::round"
4220 4241 "fanny::two"
4241 4297 "fanny::two"
3003 4336 "dorrit::hand"
1512 4344 "fanny::little"
4344 4348 "fanny::little"
4319 4358 "fanny::found"
4139 4368 "amy::time"
4233 4376 "fanny::round"
3894 4379 "amy::hope"
1723 4379 "amy::little"
4324 4379 "fanny::known"
4348 4379 "fanny::little"
3884 4386 "dorrit::back"
4327 4423 "mrs_merdle::little"
4448 4472 "merdle::little"
4477 4478 "merdle::can"
4408 4494 "merdle::reply"
3418 4531 "clennam::point"
3707 4534 "clennam::public"
4531 4548 "clennam::point"
1673 4553 "arthur_clennam::hand"
1449 4556 "arthur::name"
3875 4560 "dorrit::little"
3843 4588 "john::yard"
4588 4596 "john::yard"
3889 4597 "john::little"
1048 4601 "little_dorrit::idea"
3738 4603 "clennam::time"
3696 4610 "arthur::room"
3264 4614 "arthur::thought"
3165 4637 "maggy::back"
3605 4652 "clennam::position"
4651 4658 "clennam::letters"
1751 4703 "clennam::name"
3733 4728 "meagles::hand"
3695 4728 "meagles::little"
3741 4728 "meagles::time"
4717 4733 "clennam::sense"
871 4737 "arthur::private"
2742 4739 "clennam::familiar"
3694 4753 "arthur::time"
2832 4757 "flora::hand"
2236 4759 "arthur::can"
2747 4760 "flora::name"
3038 4767 "clennam::wine"
2826 4767 "flora::wine"
4757 4771 "flora::hand"
2825 4771 "flora::little"
3695 4781 "arthur::little"
4771 4781 "flora::little"
2719 4783 "flora::thought"
4781 4788 "flora::little"
4785 4789 "flora::can"
4789 4790 "flora::can"
2750 4792 "flora::found"
4771 4792 "flora::hand"
2826 4794 "flora::two"
2756 4795 "arthur::back"
698 4804 "arthur::mother"
4556 4804 "arthur::name"
2772 4805 "pancks::tow"
3777 4835 "clennam::little"
4783 4836 "flora::thought"
2675 4845 "casby::daughter"
3655 4846 "clennam::mother"
1637 4846 "little_dorrit::mother"
2871 4850 "pancks::little"
2732 4866 "pancks::name"
4862 4868 "pancks::can"
4866 4868 "pancks::name"
3371 4877 "clennam::dry"
2542 4884 "plornish::first"
2571 4884 "plornish::name"
3488 4892 "clennam::back"
4868 4893 "pancks::can"
2817 4895 "pancks::dirty"
4835 4902 "clennam::little"
4850 4902 "pancks::little"
4902 4903 "pancks::little"
4903 4904 "pancks::little"
4893 4908 "pancks::can"
4904 4908 "pancks::little"
4908 4922 "pancks::can"
2817 4939 "pancks::ready"
4901 4939 "pancks::time"
2860 4944 "pancks::money"
4884 4954 "plornish::first"
4845 4957 "casby::daughter"
4908 4958 "pancks::little"
2518 4958 "plornish::little"
4386 4959 "dorrit::back"
2544 4962 "dorrit::can"
3931 4962 "little_dorrit::can"
1868 4968 "maggy::hand"
4792 4970 "flora::found"
4794 4970 "flora::two"
2820 4972 "flora::near"
4788 4974 "flora::little"
4962 4978 "dorrit::can"
4790 4978 "flora::can"
3165 4986 "little_dorrit::back"
3641 4988 "clennam::known"
4603 4988 "clennam::time"
4603 4988 "little_dorrit::time"
4772 4989 "clennam::#-known"
3303 4993 "little_dorrit::work"
4993 4996 "little_dorrit::work"
4974 4999 "flora::little"
2168 5002 "arthur::public"
4534 5002 "clennam::public"
4767 5004 "arthur::wine"
3076 5004 "clennam::spare"
4767 5004 "clennam::wine"
4767 5004 "flora::wine"
1987 5006 "arthur_clennam::found"
1987 5006 "arthur_clennam::little"
4972 5007 "flora::near"
2756 5009 "arthur::cold"
1473 5009 "arthur::end"
