"MR1";"MR2";"MR4";"MR3"
"#-beautiful";0.593671447599015;0.148872058622618;-0.13909646879727;-0.0952813683800638
"#-fancy";-0.0549067584554826;-0.00806519707906704;-0.0270899393149924;-0.0599400508466569
"#-humble";0.3205799843857;-0.052563977743912;0.184079532980568;0.0782679941971955
"#-worth";0.321015239853263;0.227546848424981;0.112553658122789;-0.0401551194511598
"accomplished";0.074253538602362;0.406839637697048;-0.0902469935226266;-0.0302206752216931
"accustomed";0.57143995986536;-0.0753979445719434;-0.0367253398173851;0.390563335162795
"afraid";0.243670742081906;0.285380305207647;0.457929517280885;0.272101199756687
"amusing";0.150169274705174;0.33717645903705;0.0466154354864127;-0.0627182169029118
"beautiful";0.694899142429991;-0.168053686890435;0.178231876042837;0.0938584816637344
"calm";0.0556137039337888;-0.0952305999797549;0.218809607777215;0.260176766305979
"capable";0.39815533908923;0.17653532645292;0.404954243563601;-0.00530552701407438
"capital";0.128444016741071;-0.104127693607486;0.412158249621982;-0.113403655272739
"careful";0.00230974016533125;0.0916807721769851;0.413866211008749;0.20711503035717
"cheerful";0.207343175200411;0.1112564214735;-0.10750775410448;0.388157978201539
"clever";0.615904992325801;-0.193193134363405;-0.14389556626443;0.344484909644227
"comfortable";0.335924199917953;0.171144798929427;0.332457371516745;-0.1520297963601
"compassionate";0.0564395809870223;-0.104798739563661;0.249578816228259;-0.048992759273177
"compliance";-0.0601436435153844;0.0753975985695047;-0.0869873308878653;-0.031643857884081
"confident";0.604023933117275;0.149011268420154;-0.123730590937389;-0.088970148147128
"creative";-0.0679291509470288;0.0228678405961443;0.113991407213768;0.611380282681169
"curious";0.399448187272838;-0.126297509341396;0.290979194635604;0.198896163522201
"dangerous";0.498126287749731;0.157293949837183;-0.0471333066031619;-0.0104820166592643
"daring";0.0114767336847526;-0.0107109872530905;0.376257740805905;-0.0607613505207095
"delicate";0.180249308859939;0.367154725828879;0.398717057003665;0.306607642194542
"delighted";0.498932005049737;-0.0650997714920052;0.381984704020507;0.10248534843411
"delightful";0.472553081330587;-0.21690427002368;0.0133220461312523;0.462130924237071
"determined";0.373741155405862;0.257076679114388;0.554534507929663;0.0867882583413604
"direct";-0.0495850264897674;0.0695679225004384;0.226839285972665;0.321104926321689
"entertaining";0.0360590718764867;0.152254660472173;0.432267442425554;0.0555998568763415
"entitled";-0.0681779121498479;-0.151000278152862;0.132295666523348;0.276942938369811
"exciting";0.110507905096783;0.230679200015683;-0.048929730553072;-0.0890225592134864
"expensive";-0.0623943471362441;0.614094354935297;-0.0169251208462082;0.0811712079816009
"extraordinary";0.628300025857191;0.0218823694051969;0.318679848820146;0.112393830353415
"extreme";0.0492137062728015;0.506909743622345;0.10394941011777;0.359508197935904
"fair";0.569654040124443;0.200864828222922;0.148209854757753;0.0630524405169409
"faithful";0.174427283230032;0.158107722317003;0.410586234786726;-0.0674371423134076
"familiar";0.0822047832381263;0.535181941565825;0.151838319068712;0.226163013029339
"famous";-0.114817215351319;0.293866127812479;0.26233677435123;0.0486979733866776
"fancy";0.439940066970571;0.171314176396704;0.273522268093922;0.00884288909966901
"fascinating";0.174740187549852;0.055449117759078;0.0326191375668795;0.178408271802591
"friendly";0.0786405098286168;0.342659528442532;0.00028336147005034;0.301020141108747
"gentle";0.0299478079812906;-0.0132049771564338;0.457193918493049;0.229773485919531
"genuine";0.294385986266881;-0.0522422924098221;-0.238653459874001;0.398474187563666
"graceful";-0.0590407663507075;-0.0165559020593833;0.246742180461602;0.176848779979118
"happier";-0.0335933941511109;-0.127869445787141;-0.043655226601124;0.405598787666109
"heavenly";0.458346157654791;-0.0547370390900411;-0.0268246172520694;0.179154992724728
"honest";-0.0770095066512121;0.176420925463615;0.109885895541603;0.687711528118196
"humble";0.346083181297971;0.161514547463713;0.467327505107102;-0.0991679135763739
"improper";0.0755473730294537;-0.040254227337811;0.604523740477791;0.113093690839604
"independent";-0.0883710811017617;0.0271859714098206;-0.0474610300250568;0.0143930632058594
"individual";0.328469064997928;-0.149328838469846;-0.082598899645591;0.177271551437963
"intelligent";0.593671447599008;0.148872058622615;-0.139096468797266;-0.0952813683800613
"interesting";0.238009806823401;0.209510883523849;0.204930776177139;0.00934738478610519
"jest";-0.000805359685558524;-0.0262630061710647;0.24040410850981;-0.103999625773632
"liberal";-0.064556541994966;0.145367990243096;-0.146656271164563;0.087384708654203
"loose";-0.0505599168948695;0.399317124272344;-0.119057686998999;-0.151400679366473
"married";-0.109098625273833;0.572172488031473;0.0680274592064018;0.215586103287941
"mature";0.0742535386023587;0.406839637697032;-0.090246993522618;-0.0302206752216889
"mighty";0.00617516344697059;0.309552869740741;0.0492095919751415;-0.142109464644536
"minded";0.0229610431692825;-0.0805537128469689;-0.0293680078010324;0.111073497290319
"modest";0.708889795534245;-0.0485449631782315;-0.0464150974466171;0.194347560371473
"mysterious";0.0740838895842347;-0.0826448084143315;0.258864063685103;0.262330829627731
"natural";0.319929104559318;0.36674685353497;0.350759163882719;-0.0134991551681397
"novel";0.0900095366368503;0.535611978566037;0.0921225566534617;-0.106007417267638
"obliged";0.0193678118976679;0.323675892388657;0.152023999559525;-0.12640394175285
"outrageous";-0.0808380516445687;0.35753743848493;-0.168803608164708;-0.0578600476291303
"passionate";0.161505959901856;0.309362361844575;0.0742277814230593;-0.124033678497727
"peaceful";-0.077408002812098;0.0959564287809506;0.138296476201593;0.0753883021464003
"pleasant";0.154646425175026;0.114293860956512;-0.102066390406939;0.29300278534882
"polite";0.170966294616531;0.0864942293416676;0.5343264850796;0.185139860154092
