"MR2";"MR1";"MR3";"MR4"
"#-comfortable";-0.0366553723010189;0.0289787519465341;0.279497268045302;0.0722570105938365
"#-fair";-0.162268019174731;0.290970885090067;0.251909529567849;0.0729189017789231
"#-married";0.213891194445993;-0.071741161404275;0.00642369983838387;-0.291941190895431
"#-worth";0.129694801248628;-0.0494882468710096;0.0730759349317982;0.0170774656705287
"accomplished";0.135071450999422;0.221386273187905;0.104643712162371;-0.109991011602019
"afraid";0.0623474800924502;0.466215545548905;0.295312487553661;0.00542566767952845
"amusing";-0.00267248590692465;0.168165795122493;0.217079142395204;-0.0986726822729675
"beautiful";-0.0179047453014731;0.0321523624800418;0.0846288264075035;0.41476020398232
"brave";-0.0347055785958183;0.71168772144142;-0.227951933744526;-0.0400363671404913
"calm";0.104399112033852;0.0847698352243397;0.118068342881052;0.0363091651764092
"capable";0.538455888585984;-0.0583647439532182;-0.176717496328699;0.40273360423763
"careful";0.0444421832495335;0.689358500545599;0.220076366725295;-0.128378807877994
"cautious";0.0739785476476547;-0.0222002932160861;-0.0487940270037689;0.548966446489599
"charitable";0.0658708380600965;-0.160377781981492;-0.0599785887527733;0.589245912159991
"cheerful";0.409019063063015;0.147195112357121;0.358242819083975;-0.0976765329128682
"clever";0.272620792137228;0.254484278553032;0.266329930378496;0.291018313135827
"comfortable";0.00661267516369924;0.434915356110757;0.323309596864954;0.0291403040946578
"compassionate";-0.040278810515882;-0.0224071543910553;0.545065517412632;-0.0220894132526819
"confident";0.719997191497021;-0.000197480576989406;-0.155536121412512;-0.00347090108375841
"cruel";0.255394457839742;0.242367751423659;0.0727576006859116;-0.0354590765172103
"curious";0.150955992036538;0.042530609865255;0.0587226278692464;-0.137159677759782
"dangerous";0.601937845118874;-0.0134130685395591;0.0634747548201411;-0.0429434248973924
"delicate";0.421919909872274;-0.12440042952552;0.106640831940247;0.317677669246304
"delicious";0.0892971175313266;-0.0422141697642895;-0.0965605703491463;-0.180403602024516
