"MR1";"MR3";"MR2";"MR5";"MR4"
"#-clever";0.0819724202282199;0.00808395420133305;0.11949512057661;-0.0594697269091387;0.417913166410417
"#-united";0.242254164419744;0.0822661080414413;0.0510607922882805;-0.185454059716607;-0.0409150983143356
"#-worth";0.0906126405466784;0.176497005822306;0.0501072601660336;0.632025971157633;0.169842508453101
"accomplished";0.0196399157885179;-0.12653063706756;-0.00975038633902476;0.435431364130473;0.49088476313587
"accustomed";0.0856943337699368;-0.00816267758472389;-0.0118859058156028;0.322714483382245;-0.0371472450152924
"amusing";0.0347554226757967;0.0245914069420598;0.00394043504976375;-0.172576400845714;0.0161090762438806
"beautiful";0.226987026443671;0.334049240606067;0.210412006258997;0.447965767261429;0.0572777555984809
"calm";-0.149027368843138;0.222234106667972;0.433071593454778;-0.016586672297296;0.0512850168442304
"capable";0.593631254245128;0.285056879068294;0.110341633608063;0.200611388866749;0.0201278817997396
"careful";-0.103137329576719;0.18871132480989;0.0210488091223878;0.131505884882249;0.704321661279456
"cautious";0.59400831785374;0.1907762342526;0.162050441337747;0.251360896778868;-0.0507251081632676
"cheerful";0.456607097816144;0.0482025229992193;0.175176429034558;-0.229792201495875;0.00292323244516042
"clever";0.318569710896624;0.643020741409386;-0.102448791532177;-0.0804151836006695;-0.175345538884555
"comfortable";0.47109363274371;0.494993856887474;-0.0204878153714426;0.0068123395301221;-0.033505740971232
"compassionate";0.108144896119365;0.19864506834924;-0.0923847808389013;-0.28316351381794;-0.136878991563366
"confident";0.0183846784262842;0.434942144159306;0.018021971227869;0.0245277465249369;0.115349189968888
"creative";-0.119156642575633;0.0286182779711669;0.00575065069355588;-0.0760731350288164;0.193183916837226
"cruel";0.484542223187261;0.262316357717613;-0.0268421397779452;0.0239268464654845;0.149472223335377
"curious";0.453811770159266;0.0280990405622326;0.225393409525672;0.466061781081875;-0.205526789814787
"dangerous";0.213865869755706;-0.18960779203424;0.484837570807834;-0.0246080981419465;-0.05201338613012
"daring";0.110522331350267;-0.042936950333995;0.229051885319966;-0.00578341245034221;0.434645677677252
"delicate";0.153371631547851;0.405390643064178;-0.0443141886056403;-0.108684776438323;-0.0835649609658782
"delicious";0.196865153653979;0.340502302690616;-0.10135699058454;0.355709824929935;-0.0180077849360665
"delight";0.140148096428749;-0.0301584669890261;0.251808124496676;0.182874128088448;0.0345466939172437
"delighted";0.543066405271547;-0.0255455868736635;0.394166148394925;0.396768537421982;0.0310479590623015
"delightful";0.199396097688779;0.41842816046704;0.322866977336578;0.486170144132422;0.0524544383178802
"determined";0.264360399107239;0.000291479744739782;0.698956902515208;-0.0267084916890211;0.0240410425231492
"direct";-0.0107973929075252;0.222552847181927;0.0629662033223714;0.420625591787797;-0.222496425331652
"encouraged";-0.0838439404965219;-0.00119053633969796;0.0436014283267021;-0.00324338389500985;0.218679532920295
"encouraging";0.0343045334596182;0.510321106633422;-0.0170681990889051;0.0797864348453992;-0.224470691715938
"energetic";0.32454201771874;-0.104422537893249;-0.082521334262792;0.0393497240038583;-0.0402842325305304
"exciting";-0.132024431924611;0.0166307234025586;0.628895948464666;-0.0906391869771448;0.15099536174099
"extraordinary";0.247235668704601;0.200086084493237;0.561274339795197;0.116318155369785;0.173495605099532
"extreme";-0.0275766634215582;-0.090506511572615;0.676812613964866;0.12038312925568;0.103953480989253
"fair";0.419726775653186;0.262909385371649;0.280499027631857;0.300658955658655;-0.097038154071591
"faithful";-0.0135738717841179;0.168943313832086;0.0257792899850983;0.225929610331443;0.108726367793572
"familiar";0.260245224878148;0.112743464460525;0.137241190917194;0.0161015724786899;-0.111386595424484
"fancy";0.178358537552974;0.439344383424832;-0.0350977154262469;0.222595185100684;0.136169009560685
"free";-0.00970198283646865;0.399599849212427;0.0598778370494681;-0.120694557586706;0.00696378890083621
"friendly";0.182908260625406;0.418874263463602;0.212769820909473;-0.0378463602398478;0.207653473961802
"generous";0.27044950639392;0.290007777662081;0.322753750229349;-0.00147629348110501;-0.113035612809548
"gentle";0.33945286506058;0.0602963187852737;0.282206583848484;-0.269635665306856;-0.0197417761417666
"genuine";-0.130147459821891;0.0283749874534747;-0.0281766860679782;0.0285475914621997;-0.0380165515159076
"graceful";0.300863586521637;0.0492700450050823;0.0261633365824148;-0.29383291975857;0.0114230242851571
"happier";0.038437934418939;0.42927200817237;0.0943924380765471;0.00945035193143909;0.136506870727268
"honest";-0.107507700036518;0.420599409679855;0.0252317291970058;0.0157981780459785;0.0102005957058671
