"MR1";"MR3";"MR2";"MR4";"MR6";"MR7";"MR5";"MR8"
"#-accustomed";-0.0122705188915709;0.0105506888592789;-0.0255331334257364;0.0040490078258639;-0.0262277592793738;0.0162088574861371;0.0107748431645636;-0.00549883142663591
"#-afraid";0.365962163417282;0.359285066525998;-0.0025569441608319;-0.164955045556284;-0.080210578046736;0.399918269320637;0.253818263958257;0.291837857474418
"#-comfortable";-0.0185144950650143;0.540556965275255;-0.0300623891251993;-0.096619996137039;-0.0237939815166847;-0.0450236365640363;-0.0318926480042169;-0.00632869479808868
"#-curious";-0.0185144950650175;0.540556965275253;-0.0300623891251999;-0.0966199961370408;-0.0237939815166838;-0.045023636564037;-0.0318926480042165;-0.00632869479808989
"#-free";0.147662075988642;-0.0198146038741336;0.192734606866505;0.2639648390493;-0.0265868664120473;-0.000616645982949378;0.140433189108162;-0.0305786897161878
"#-honest";-0.0682515217799284;0.0106259534701593;0.0831651676556693;-0.0520774410744647;0.211610536527873;-0.0647952443124659;0.0373579392464832;-0.0281755263676586
"#-married";0.337291971413162;-0.0480952372328884;-0.163087376739631;-0.118340226177032;-0.0443492139389674;0.387135950186596;0.0507563025659249;-0.178387939429141
"#-minded";0.00186053980537242;-0.0683446314189479;0.0876418097219524;-0.06668290005516;-0.0764861867525321;0.86409046751822;-0.0287158606476881;0.0539902884111307
"#-neat";-0.0061545539513234;0.149338185497918;0.12854126510428;0.597241942059623;-0.0483733506242711;-0.0208380268667726;0.171821073107249;0.0525945283073846
"#-profitable";0.276063920878959;0.0158042403807169;0.0420415189373567;0.178579977696425;-0.0738103916983102;0.0836588390141637;0.0401682362227706;0.359248758808147
"accomplished";0.457342784221333;0.192734426876134;0.384379995617478;0.0891665232219332;0.150676175210532;0.18907058408941;-0.0506597625878501;0.231921077640776
"accustomed";0.568619157807562;0.216466363939453;0.221591153964445;0.136715321424876;0.0234259929854401;-0.0384585643361811;-0.112730565415012;-0.0837043671408745
"amusing";-0.0346193859045092;0.477406522956615;0.171510157414608;0.14417743446358;-0.0744450006255838;-0.0226339016645307;0.0510299233161245;0.236873391166673
"appropriate";0.014623991835676;-0.071707609115968;0.336362348597852;0.111920973105489;-0.000777075780957864;-0.0970062273270439;0.414035594460855;-0.0130632295946344
"artistic";0.160453019896683;-0.0624075430426783;0.000947090331844236;-0.0137758158051244;0.108868889989006;-0.0132043434378915;0.178339637833462;-0.0121745757847331
"beautiful";0.646618261443334;0.277550882244959;0.204619803554307;0.13489334568606;0.204513982440387;0.13180037429494;-0.0137458537495949;-0.156146000613809
"blessed";0.478681541751265;0.0217764905220395;0.120231199650709;0.245538800124855;-0.0955285718957136;0.0154270759283433;0.0609224155140524;-0.0301498841700435
"bored";0.312485335302913;-0.0699421892102696;0.0449871600325083;0.0217714825888747;0.310778765226164;-0.069139303767038;-0.0142630268896065;0.111942283741747
"brave";0.278667587246861;0.056654287663722;0.127138858211673;-0.0139291543621801;0.0688970079174634;0.364351383595899;0.0344599368871077;0.349614465386417
"calm";0.179685670407023;0.211905715145459;0.0517479498781844;0.0522955827872033;0.233720899002663;0.390885456703486;0.0914150449494083;-0.122898030798755
"capable";0.423646017979811;0.00360094649077923;-0.00644730257802328;0.0213064874953088;0.494374162375627;-0.0166237646529698;0.159896506988066;-0.0338717936544013
"careful";0.435699391465967;0.447104590932331;0.0946536211569766;0.385410694797341;0.0266018493717257;0.0781571242487869;0.106118027167457;-0.0967064298206896
"charitable";0.26095990483235;0.197026945895584;0.190766967071248;0.250348152867709;-0.0173248449708333;-0.136300421222535;-0.00674532260646333;-0.199898707165769
"cheerful";0.764385115077972;0.187443146669621;0.01616918121034;0.0776756925601814;0.148375042816873;0.0929208214152598;-0.00272045651234916;0.0683505705212462
"clean";0.356188736189324;-0.0358616322943582;0.566132235309047;0.130050698037639;0.0205951308378408;0.331236613128995;0.0374480261135681;-0.0844250070827757
"clever";0.391021624928206;0.0836913520622542;0.0579132687407294;0.317402457011828;0.417959406929072;0.0398692757326639;-0.0658618277667365;-0.00981843460616005
"comfortable";0.508508384452694;0.20150513465938;0.274626151346828;0.161906307398575;0.261514662482825;0.227955576906996;-0.0400635251241481;0.147846579916201
"compassionate";0.389546939241314;-0.154822714247949;0.187459370128016;0.0558140367346973;0.150032357857082;-0.130234805461392;-0.0615108227162371;-0.219020611515275
"competent";0.135662736503116;-0.0421223601393567;-0.119682347218575;0.336512559867924;0.143515393024411;0.0611801910602325;-0.14307224263776;0.0363302254708724
"complex";0.480733751465653;-0.0916603856372467;-0.152364021275213;-0.150510756174484;-0.0400593612323288;0.0010543020652448;0.230589518829352;0.100205402909776
"confident";0.35463474034946;0.146625061583615;0.277453557907881;0.103148257667706;-0.0237803769611259;-0.0292323916746995;-0.0410095737509153;-0.322666304381456
"corrupted";0.30248157897388;-0.0875862433493686;0.0399764104656581;0.0544720925751381;0.0362523420352725;-0.114131896695755;-0.118851201645057;-0.16997166991165
"cruel";0.299422308015531;0.391829748113783;0.195745450265389;0.205966685586623;-0.0140121477468044;0.240005503894379;-0.0756252934928066;-0.207498456736492
"curious";0.641568873234245;0.269161243907732;0.291274793094106;0.120724016457106;0.220623869390788;0.253700157585666;0.042988345475076;0.0519130118644868
"damned";0.20059789771212;0.0299806212108793;-0.2040768951549;0.0881304195523199;-0.0602894693037226;0.181696635825525;0.0183301530063743;-0.120080155885061
"dangerous";0.595871919770265;0.264204454566481;0.165104882077843;-0.115374190035656;0.157655872463608;0.163551335691997;0.116896859374062;0.0207686628694944
"delicate";0.677996939659656;0.218924804454768;0.175406768312428;0.183179089595656;0.155670095189302;0.0748383104273476;-0.117950943338976;0.216687745056889
