"MR1";"MR5";"MR3";"MR4";"MR2";"MR7";"MR9";"MR10";"MR8";"MR6";"MR11";"MR12"
"#-beautiful";-0.0579208411726766;0.0213329654947477;0.0252642898554992;-0.000562669363369857;-0.0615857397151231;0.323194329251537;0.0243689245255143;0.141373827923975;0.0657697535847492;0.0176980546657498;-0.028112542789848;-0.0207033016739249
"#-clever";0.228456541157404;-0.132695487183668;-0.0131527088362444;-0.10837098534929;0.00845547174600523;0.36786761492251;-0.0890738318316175;-0.0142680883282877;0.0631100762358058;-0.0566899545215019;0.395206910765954;0.0168508226240715
"#-curious";0.0364866493561387;0.0289912416444705;-0.0969583286957275;0.192540390280451;-0.00421996576463582;-0.0851010559262429;0.000164207735815764;0.0311048045129016;-0.0301877581459863;0.0094729986942016;0.110960748207406;0.68847441721567
"#-familiar";0.0536954973456426;0.0411313868693037;0.286185664192618;0.564920179531355;0.0175244580870721;0.0416329679438405;-0.0361333527693184;0.0774707080351677;0.0737337229296942;0.0337632959613246;-0.0837340749630563;0.115629261498919
"#-free";0.0678818928357849;0.00484727256541252;0.080596671502677;-0.0823081671461401;0.0590417402900646;-0.00527950029200947;-0.0886030547074021;-0.0945851831483287;-0.0393511037207773;0.121192724377461;0.601655676015068;0.0231089803786993
"#-happy";0.329758867400369;0.473374315642975;0.357774306426514;0.0914565768781205;0.318307373019223;-0.0498503518243338;0.0225998477756772;-0.161577505640708;0.22489514886595;-0.0457441212449347;-0.0214073062454626;0.119940993289583
"#-powerful";0.00846730521658282;-0.0188868356651805;0.039757398012879;-0.0692213197279108;0.0117571678009393;0.0416710659102097;0.536931343725834;-0.0940854198678349;0.0295454286197765;-0.0406636318400233;-0.0792102343691145;0.0927091449145222
"#-professional";-0.0075890031749232;0.0694915730886916;0.57227056968152;-0.0550364421293362;-0.0571899930840921;-0.0225545838431835;0.378613672244224;0.0222509947549182;0.0926554087610361;-0.0487261874881158;-0.0254932256980117;0.00944564073833363
"#-proud";0.16061362461673;-0.0445683828589417;0.0813254788153875;-0.0940196331977026;0.176017114998934;-0.0380448517368977;-0.11600587151119;0.600776535227715;-0.0203862658283379;-0.101646081027572;-0.0875042140935423;0.206305555726726
"#-rich";0.058619637995792;0.00989062088637475;-0.0251869890327867;-0.0610620097563974;-0.0271163118469158;0.0793864471577497;-0.0637822770498869;-0.0575267940405685;0.0751431292478053;0.387639811430083;0.269840488366862;-0.0301749643273126
