"MR1";"MR2";"MR3";"MR5";"MR4"
"#-beautiful";0.0265103056632504;-0.0135253021596343;0.158586921411996;-0.0116067609998005;-0.0252306249068687
"#-clever";-0.0405918085227013;0.139916905773231;0.417997187870863;-0.0893218585698007;-0.0741449397695734
"#-curious";-0.106868317153215;-0.0425542310629089;0.139707530621572;0.057878649926482;0.320303912356723
"#-familiar";0.316247259759647;-0.0276524453967919;-0.0422941485518626;0.0240115314661607;0.566085367018253
"#-free";-0.0403444979534152;0.0608029922161324;0.190068075685752;0.0127040955272299;0.0086748050931944
"#-happy";0.480139345807041;0.144608523407363;0.0631815312177473;0.513372351775643;0.138862029543049
"#-powerful";-0.0583053554754855;0.279425310521631;-0.0408183575506323;0.0545432493935894;-0.0428810514723097
"#-professional";0.423116294574446;0.192555887637517;-0.183941076682475;0.0781696168858522;-0.0528513356878768
"#-proud";0.329567921028702;-0.108948770244235;0.337118629247394;-0.0951671470167063;-0.0730702084031626
"#-rich";-0.0607862354403372;0.119824418121024;0.144745277248622;0.0107095399021231;0.0208009795357967
"#-worth";0.00188363196303871;0.0826973591121055;0.0109058321357384;-0.0256327434145003;0.00302238983393818
"accomplished";0.434225638173445;0.52569564551823;0.051156717592968;0.136679742019175;-0.0185038837577129
"accustomed";0.302211018507336;0.467617587822272;0.257949886196192;0.0516344863033372;0.195541251842125
"afraid";0.36250972311707;0.369648723767122;0.401013329721882;0.366629731689457;0.257721499738184
"amusing";-0.0511049092131994;0.00829488183183762;0.0978919917530425;0.411694198965209;0.0929958083754264
"appropriate";0.12709226978743;0.0779050342825324;0.198489960609418;-0.0368748847274657;0.408269610149532
"artistic";0.0454288388292921;0.0151831728829962;-0.102296679409543;-0.0447718718790414;0.567225661858906
"beautiful";0.471980961147474;0.425522789658994;0.452121009146229;0.24001151704426;0.105576068601516
"blessed";0.20805577188708;0.044689818101095;0.00186794002617236;-0.000709237188254013;-0.0130812100393637
"bored";0.0227311520109051;0.0495458443660502;0.1598634987251;0.0121642189070012;0.0789358933122973
"brave";0.166180079634785;0.0296322754088108;0.408357361773211;0.346160552210054;0.220246427302821
"bustle";-0.0732213613638159;-0.0961160106267215;0.425642545290123;0.140699698764161;-0.0540186537049691
"calm";0.230918155473806;0.173096088228983;0.269955191598637;0.217048785945198;0.283077501431192
"capable";0.130614306106396;0.307522496757554;0.171433989856055;0.230944886963155;0.143386822510869
"careful";0.568671600400907;0.155475889406531;0.305487094239118;0.277346020872658;0.139699371354791
"cautious";-0.0104901237763236;-0.106835169518771;0.326299454173535;0.179146459491213;0.342089518254072
"charitable";0.183677377779319;-0.170974378779074;0.408745713904892;0.0826691112800874;0.0303465059182593
"cheerful";0.470246597335404;0.4143554213854;0.289582166970425;0.213484750098311;0.0750522849374094
"clean";0.0793807217139639;0.24916504838539;0.345557980635105;0.184025799311496;0.206776829201399
"clever";0.413967898894788;0.297588734011577;0.198369799471452;0.168130716102089;0.167407419187545
"comfortable";0.204774752941066;0.40398684313353;0.254231198662645;0.294380853819511;0.395421515440763
"compassionate";0.141516482879805;0.245882937598825;0.133815603558913;-0.107502946020492;0.177314298702814
"competent";0.197101282423408;0.476982274822893;-0.0745396493926458;0.447152134293608;0.0242749761752245
"confident";0.295093363314726;0.489604814332475;0.232458299573152;0.136717708398438;0.232368733259409
"conventional";0.645246388654352;0.153075019928748;-0.0264357426949692;0.0293291688115853;0.00958742674129025
"cruel";0.380580122972687;0.255121667540472;0.36696703479628;0.170302094582259;0.272211183671882
"curious";0.329667689742595;0.571192703454759;0.307648313324626;0.176571641085742;0.244670694144255
"dangerous";-0.00488923053273561;0.0435194087577519;0.407253072063051;0.135112897091027;0.296231066496952
"daring";0.070287669965743;0.291180553701814;0.198576660751598;0.288288044220676;-0.0923217722273324
"delicate";0.330408075511346;0.477286000495141;0.291362148081434;0.341797776794263;0.249671838629199
"delicious";0.180563350589868;0.238653405453414;0.027412200991654;0.328813403108273;0.292073507938014
"delighted";0.149507089982073;0.613791960768329;0.128631823750085;0.22392151118034;-0.00766770815418092
"delightful";0.528626079985068;0.229530262973441;0.0721827959173426;0.0342234759431661;0.181876477244106
"determined";0.237443659955318;0.291905974929794;0.264917915622773;0.340349106525402;0.0682493109252873
"direct";0.619470063278522;0.0994203405747246;0.255782137499041;0.0396940406795648;0.170972278272382
"diverse";-0.0969159066415467;0.0157988162264372;0.117821160947828;0.437503856183266;-0.068602910731686
"ecstasy";0.192002755033581;-0.109822420173722;0.0544149031131824;0.588886743707308;0.0627623296343464
"educational";0.231270566159887;-0.0398380151524559;0.413544673557041;-0.0473535879719263;0.197168343258253
"effective";0.144350347238139;-0.0934313570931155;0.430218773861778;0.0679602759539162;0.34366567640763
"encouraging";0.0913568745615357;0.0971912657109429;0.168626587641828;0.547915191738644;0.159853994858404
"energetic";-0.0405138787315279;-0.1105638956927;0.00706492737022813;0.0822756939007273;0.486171745596803
"enthusiastic";-0.0403444979534154;0.0608029922161323;0.190068075685753;0.0127040955272295;0.00867480509319441
"ethical";0.319979279959418;-0.0886144349065833;0.442579473845471;-0.0558799512566655;-0.112150198430868
"exciting";-0.0311118967143279;-0.00108492334994759;0.362615244229457;0.13408182376243;0.0329887593936516
