"MR1";"MR2";"MR3";"MR4";"MR6";"MR5";"MR8";"MR7"
"#-cruel";0.0689636970038126;-0.0809742978331119;-0.0267120470161218;0.0263698437019064;-0.0700060222355648;-0.0480743163325154;-0.0344332835744468;0.920702976616298
"#-determined";-0.0144416070510841;-0.0257941814272719;-0.0163406233173047;-0.0183591710686333;-0.0343003948077011;-0.00804666112258602;-0.0431053542803119;-0.0141681759070372
"#-rich";0.0705060539597451;0.856693704791441;0.0479134668912507;0.0133414235274014;-0.0441929826674888;-0.0353006508683103;0.0454011296029126;0.0324917283054952
"accomplished";0.194708970408575;-0.0959246922825432;-0.119054080810904;0.300375523021219;0.225556188803742;0.0293249984305536;0.14296603668426;0.0393014691039218
"accustomed";0.0640403052528784;0.0128891053418209;0.0952707221065772;0.157270545884399;0.686573539746039;0.0920442466949907;-0.0390406485942385;0.00382196676601012
"afraid";0.680717749878007;0.195425168289743;0.314959739185908;0.084390032170049;0.157382052348318;0.0809177856588181;0.161486019935282;0.205922227656163
"alert";0.212721776427641;0.0850697022698856;-0.12224758292272;0.1392979977948;0.24468228468008;0.585393491466373;-0.000654950349403935;-0.0142334867797732
"amusing";0.137346775369665;0.0592498142426339;-0.0681041100123713;0.366307284302776;0.0808807949617126;-0.236493806112236;0.209787257459562;0.192113390000348
"appropriate";0.0763467331199835;0.0624115926447111;0.37666899896085;0.580013150252007;0.0179748005392422;0.156871526815252;-0.0093929084905354;-0.021560215280702
"avoided";0.316441353661826;-0.0844796245757447;-0.120958846304097;0.45242050536469;0.0338853046140408;0.0977526332087968;-0.0592895352969632;-0.0755340201755768
"beautiful";0.578189871897299;0.279056707512141;0.0695084214362877;0.362317305979503;-0.0311691623633053;0.222597299184426;-0.16197279651154;0.0127764765902414
"bustle";0.27031057224943;-0.175033293289241;0.584734130885525;0.0610422838015403;-0.0391147516820644;0.178000192650303;0.0435730314191266;0.0939274549690423
"calm";0.370225515289041;0.246825385924122;0.0519291729596696;0.399009425078292;0.366819567333217;0.0671221922820028;0.0242550607684747;-0.0731701478580246
"capable";0.488401967804871;0.517123144426607;0.283796791871413;0.152860975059229;0.117164289851126;0.16001423953337;0.171375420776787;0.181190854034937
"careful";0.247021835185265;0.125194597729984;0.359733430998846;-0.135719531371084;0.160058708600253;-0.0499973036277371;0.312846513726265;0.0686829285318909
"cautious";0.0841442227000701;-0.00458235988676153;-0.0143201058880951;0.500154677273643;0.334594234240497;0.00953015086648589;0.0158424506225641;-0.00139226098629463
