"MR1";"MR4";"MR7";"MR3";"MR2";"MR6";"MR5";"MR8"
"#-comfortable";-0.0543462820135083;-0.0344228291337295;0.106791601502122;0.326388471571731;-0.070196204373509;0.0634952575757779;0.212285184477836;0.607761686749391
"#-fair";0.0187725702338017;0.0796529304415286;0.0205594045031486;-0.0588966498977599;0.0175259148587669;-0.03410558249868;0.74101578567647;-0.00859752249296856
"#-married";0.300288454931224;0.253431097827551;0.415649252301152;-0.223320366475258;0.00393873378535985;-0.140091977813464;0.0709532953205986;-0.200559052504481
"#-worth";0.0711644530947986;0.0244057525487371;-0.0176266092352515;-0.0151003049719333;0.0139621610822579;-0.0463815217784939;-0.0123961061999362;0.408943462414973
"accomplished";0.149493345580234;-0.065460978934174;0.454527546577741;0.12507756313815;0.0371551909110554;0.0646507312495569;0.311428614171989;0.155305411210778
"afraid";0.109375492023932;0.162032275152491;0.0980352463406976;0.279688058829161;0.26027222216757;0.0387931925935889;0.350913293830124;-0.0639765591136515
"amusing";-0.119524001532358;0.103685457722039;0.254262828588115;0.288175311021256;0.0488768853117426;0.094455307960233;0.0414528655043934;-0.00882172724552808
"beautiful";0.0127007637939179;0.179726410649552;0.212345154973511;-0.11711542219594;0.0412970157063911;0.488733894518649;0.192082081836295;0.0135677186925934
"brave";-0.0427664596986169;0.0379038800250473;0.0607086533278068;-0.0550318274323669;0.838367052111185;-0.048052784563144;0.111945555542244;-0.00976498082799588
"calm";0.406607447243978;-0.0868101014973475;0.00700048633316018;0.0598331210565616;-0.148518053439614;-0.0866813657527067;0.429374969500522;-0.032844044051761
"capable";0.470824579026919;-0.120800617436961;0.199088086168821;-0.0499813017432438;-0.00944161975815228;0.5539617551046;-0.0031113201996514;0.0953590684694774
"careful";0.00785297314305761;0.182594705129436;0.145177619051809;0.409939826367986;0.602361324927921;-0.0907960488017809;0.159143306668584;0.128264607336586
"cautious";0.17291432654656;-0.125681501275814;0.197376395430876;-0.00254920136980527;-0.0664043328580933;0.564171321839716;0.196018398401915;0.126079524817302
"charitable";0.0651796274458048;-0.144467462762619;0.278193322510716;-0.00363912749359895;-0.140655873937754;0.644037536322755;0.0704544517630553;0.24908335445984
"cheerful";0.298177397347113;0.336152065945281;0.423069163831977;0.197112855815685;0.0764708138549458;0.094695082229974;0.114604087704947;0.143155413063485
"clever";0.279585213822015;0.120829417940587;-0.150913020159644;0.178768298174833;0.0515151916997785;0.236841475008354;0.295475702790702;-0.117005116218543
"comfortable";0.159712191378345;0.238127172734374;0.0731091674346962;0.144011772415985;0.268371274693302;-0.0326663521442864;0.53322152428245;0.127538328395131
"compassionate";-0.0250516597144595;0.410762809203766;-0.217756604515595;0.412421554814752;-0.0947731727529765;-0.0282428971212888;-0.0765214777831267;0.101203174003905
"confident";0.707615217170374;-0.16752560513826;0.274843432908233;0.0577140102365981;-0.0378379157716905;0.164997509746756;-0.0566633529105068;0.00487080177452417
"cruel";0.506460355704015;-0.187478773740498;0.133222817486963;0.300051407512437;-0.0724139763463983;-0.0342034687898973;0.37422683017345;-0.12461795395049
"curious";0.0485926913628809;0.243189891021016;0.358581550504898;0.0267928427269876;0.210573985283411;0.0876598019599485;-0.120923396600576;0.192260150425065
"dangerous";0.685469019919619;0.115932823037171;0.205154787527281;-0.000846327812110685;-0.0166183523755007;0.0199726548107123;0.0838241693609346;0.036798190495279
