"MR2";"MR1";"MR3";"MR4";"MR6";"MR5";"MR7";"MR8";"MR12";"MR11";"MR10";"MR9"
"#-extraordinary";-0.120788835152475;-0.0369203848642727;0.345740931703326;-0.0518064749554148;0.578653028194063;0.0059781386427431;-0.0408280609006726;-0.0270029691651407;-0.140485805895233;-0.072860192549323;0.0165591724655569;-0.0387878677098863
"#-familiar";0.493854938544775;0.062809946209668;0.175669287144949;-0.0145810005792711;0.0970732753282781;-0.00521846303919564;-0.0770513257548052;-0.230531525847304;0.00482144463079036;0.221735573017709;0.0167148989968522;0.139429598625322
"#-strong";-0.0827616396307905;-0.0531589342449963;-0.0482364873486999;0.0913249963614411;-0.0436389301432256;-0.0781136256918275;-0.0231495332089724;-0.00178927279720518;0.0538119618417865;-0.0183201271004647;-0.0386133147733631;0.654454137226416
"#-worth";-0.0538050703471166;0.0368102852833122;-0.0763659781955437;0.0544632891897842;-0.0110727257995173;0.740811722049484;-0.00228777748529514;-0.171866859257071;0.165634297424555;-0.0367333979544504;-0.0749588880496741;-0.056500959644459
"afraid";0.101751670343413;0.180023323133928;0.101818184526699;0.104437076843453;0.45871123485913;0.28227049468193;0.015389750350869;-0.048503623886402;-0.00112390440097096;0.100646422985978;-0.0333741187271594;-0.078028780309124
"beautiful";-0.0439630269148894;0.935014890028503;-0.0481986248961479;0.0291714597023624;-0.0100047763473874;-0.102000287393533;0.0325944916566288;-0.0192287655668795;-0.134027714896433;-0.0248958132847642;-0.187771936570515;-0.0155148100729592
"best";0.546716537271773;0.384596547674813;0.108460657454297;0.23552092144051;0.098731321636706;0.0239080103211567;0.139283536823535;0.104208878431613;0.138121033977285;-0.378300463325635;0.0309349775832339;-0.096824352111595
"biggest";0.220437793735372;0.311806203967914;0.0604691605344892;0.160169510340242;0.188675515138517;0.526138878996241;0.209248714499502;-0.177894788625489;-0.0577856745521221;0.340464573217895;0.0874179097865404;0.0726468243102648
"blessed";0.00537386797205863;0.0992688592838127;0.233721865832619;0.106918646662159;-0.066959428291659;0.393723090511026;0.00256270222737125;0.238032270698455;0.682251545506695;-0.149021508279156;-0.0451770025571281;0.058862017326108
"brave";-0.0646437058932413;-0.0181865484325095;-0.054979531414416;-0.0695885564071199;-0.041301521423265;-0.0527010522970932;0.0326954588833094;-0.00011121378184157;0.0209054952481498;0.16929805750893;0.424672527624843;-0.0135255688457376
"calm";0.102840985650521;0.769411071928901;0.0462624743430986;0.0829966893564944;0.131896621199382;0.114908753054116;-0.0338556594403306;0.112066113850792;-0.00589470674334663;0.0524401485813082;-0.0893658766024045;-0.0433571311098525
"capable";0.0845362732216225;0.213956621662796;0.0194318241787775;0.527036635422443;-0.05601472961934;0.472644658234399;0.228984375509092;-0.0727078170944183;0.101044499446226;0.060523056653593;-0.0985273116399815;0.0465784201050981
"careful";0.155581271937502;0.806964312247363;0.134839014819454;0.135574604515299;-0.0449769428976443;-0.0758516645741985;-0.0115894468845265;-0.0359872207857216;0.191451092813567;0.119277653251798;0.277923775153194;0.0240841512286767
"catholic";0.911575242615462;-0.0345783138756922;-0.0366975342554438;-0.0111475577787549;-0.031886317250582;-0.0151718309664039;0.0888310489434545;0.0392026882072019;-0.125473641384248;-0.10159430400683;0.0475932130326706;-0.022441390766586
"cautious";0.388509379514202;0.0214970280173609;0.235590071658396;0.0500562029735646;-0.0964061116873213;-0.0310371939666616;-0.0289156204259644;0.362884646357087;0.205029121915216;0.44506004484104;-0.041776641691843;-0.0982208446872203
"charitable";0.892971284050924;-0.0309104454659411;0.00748782395617539;-0.0462835014931496;0.000519581000436882;0.0642702655932341;-0.000269639393991227;-0.0606983343815819;0.0795534356360029;0.0370032044876238;-0.0447320255567038;-0.0321384336966459
"cheerful";0.203737201217686;0.419894600852667;0.0394949438169985;-0.119498545563901;0.319574507345442;0.0455727514493267;0.0601113019127029;0.405557652299527;0.165873090658714;-0.0776332269249418;-0.176452963243627;-0.0949987344272
"clean";0.183034414356283;0.0249764095298844;-0.104064873449742;-0.152702592352829;-0.0109464139135766;0.549175358206968;0.187471695010197;0.436335889336955;-0.0646227476090211;-0.0188614326810199;-0.0466698985002235;-0.0312453825842571
"comfortable";0.13098570529212;0.336604658768178;-0.022623707538932;0.531920907504616;-0.0155593553131308;-0.0192866734411523;-0.0547043932451918;0.275018520877589;-0.0127657100460977;-0.0925260829884313;-0.146266564104419;0.22017879537012
"competent";0.14470252352217;-0.0178750169332676;0.79530737391504;0.0627131951450862;0.0699224408044325;-0.0671141229686427;-0.0125247855886665;-0.0516367052946295;0.107588376450762;-0.0496890406741185;-0.0801136703903208;-0.0200916978957022
"cruel";0.168443193994168;0.0386064292593688;0.153882847822311;-0.0575402053422873;-0.111545818247717;-0.00518328206397995;0.0199458843256554;-0.0619458266935514;-0.0182170877709188;0.547221111367711;0.328995655285019;0.0497978121678815
"curious";-0.0637501309668804;0.00700215964389341;0.266562031220178;0.0709977963980098;0.643616981209249;0.0330077391252134;-0.0612160651004673;-0.021969397279337;-0.167426399182593;-0.125535665310409;0.160278786710337;0.0344925049357988
"dangerous";0.151518700267045;0.0358030464224738;0.19875181210508;0.195288650021842;-0.1104175147585;-0.0186416283353511;0.522148607118034;0.032230352029048;0.221664468428005;0.170354915448783;0.181454789176741;-0.0412751326450772
"delicious";0.0444221130762784;0.600034789411937;-0.102374783171038;0.065444357802084;0.0402419523191414;0.159699574283259;-0.0297336933283601;-0.116784376022965;0.0971913994878553;-0.114759982039525;0.402964139222219;-0.145262951041568
"delighted";0.17956685285693;0.216793239747567;-0.000498483766356068;0.74555127173161;-0.0797164542399527;-0.0478811743196585;-0.0593338488654357;-0.0707717933644894;0.122233892213447;0.0685754458679657;0.021319989519975;-0.0496679390969227
"delightful";-0.108161523468076;0.3932493236538;0.0675930102966753;0.033123994744809;0.515703403984564;0.145429784478095;-0.101878645179326;0.0379864562905654;0.210752019603141;0.017803727250678;-0.069145166588786;-0.103342305989501
"determined";-0.0327277686245332;0.185862445429629;0.165415511184232;0.259797058574606;-0.0130664837406768;-0.0842400358320604;0.00257964043062583;0.244658752581929;0.570576558048643;0.037384122224981;0.0821052059944591;-0.110514144536259
