"MR1";"MR4";"MR5";"MR2";"MR10";"MR6";"MR3";"MR8";"MR9";"MR7";"MR11"
"#-fancy";0.160238868459098;0.09950010023307;0.474529953516464;0.134585172716076;0.449568371227657;-0.00271862138567962;0.0196259227389644;0.0879445406539653;0.123727382630807;0.284006845401933;0.0102027909170923
"#-happy";0.617475704654946;0.1884319242211;0.148623684862514;-0.0797685442701956;-0.019792130118327;0.26233743041013;0.0507665699330977;0.00752659838326049;-0.188667695294147;0.237009332075148;-0.0125388684444129
"#-married";0.0344884048351429;0.654542986688471;0.0653658541049883;-0.147581221880743;0.173196445236006;0.0296269655211958;0.0411964588496698;0.075115172841845;-0.0333172050892117;-0.0120459384766271;-0.0215313817717762
"#-pleasing";0.329916855274666;0.0372986398096888;-0.178445807003394;-0.0538279031346204;-0.0186788774070291;-0.103933136274602;0.139052494948678;0.091724380150355;0.234681793214538;-0.125368685958591;0.511488926132574
"#-wise";-0.0210864424010598;0.339660615620873;0.424722656732947;0.120851369236004;0.266335425439864;0.354182929082495;0.138041969402549;0.0726450082645244;-0.073550160685421;0.109987962634718;0.0465912489196979
"accomplished";0.107885327910835;0.223647152841961;0.233406612311544;0.0510074469131813;-0.128140450421867;0.23820821947509;0.619096255342998;0.0951896270688242;0.124098425327538;0.263965869839084;0.300999181296577
"afraid";0.47974558946106;0.440682330701616;0.224319641418644;0.241015592067922;0.257635416425825;0.134190061129971;0.167303253999982;0.184997907514011;0.159857139400418;0.184668385648572;0.00776745636812431
"alert";0.120493882439068;-0.0318680099405333;-0.0377263264580048;0.00587888681810607;0.111253969056726;-0.123867639778507;0.108591244772297;0.0211299702744179;-0.00589430659504711;0.539413394682446;0.0180939967358367
"amusing";0.410556446169387;0.0273288263839077;0.557887831639619;0.00360907727252218;0.359733540582285;0.0951632988127338;0.171449653501185;-0.0867309667277051;0.0735698704869497;-0.174734127708867;-0.0418691113289284
"beautiful";0.417018855747698;0.321249827778453;0.450202558051063;0.141300689468031;0.364658175023453;0.39567450002931;0.152475587492063;0.131932499699069;0.136179311975764;-0.00884368296260787;0.0257845302979471
"best";0.61959561957347;0.354601491145475;0.254594546043449;0.209308781940519;0.289157355839885;0.022255635268829;0.278658113788516;0.0824303664863239;-0.0255030503288214;0.12355199736446;-0.0285692067232747
"blessed";0.0907087980791983;0.341586798374785;0.195290282614336;-0.149764062180634;0.2314980273238;0.334131978780682;0.0201828141716404;0.299930252495742;0.0673025207610456;-0.0122733224391847;0.142806113449273
"bustle";0.17764984963808;-0.00328620812494924;0.25273254091241;-0.0941550739644861;0.615034144099077;0.0832680947389215;0.0661040856813322;-0.00812346144130127;-0.0428310953430567;0.00396762442371585;-0.127268337746764
"calm";0.554635722467117;-0.172118428905121;0.245097677369056;0.191508487333522;0.107173972960023;-0.0575812017294981;-0.0815135819627896;0.284283580766195;0.0782298114844776;0.0450947657492464;0.173053110452867
"capable";0.490108051466789;0.25354550759931;0.165752713767033;0.114414201604846;-0.0179129245013281;0.081176754478987;0.139126573119482;0.549090788832829;-0.0343798660847207;-0.104397835263727;0.106753028644658
"careful";0.62767552485724;0.135007823462993;0.271409382612502;0.137567088576364;0.14204154491918;0.0446446921188804;0.140664369210148;0.200721321983015;0.141954066757308;-0.244242532313155;0.0212554988790798
"cautious";0.545462190036083;0.259245039595177;0.111341771705102;0.222341648070231;-0.0695574231551309;0.219733874841653;0.167586676951847;0.168903080851677;0.197562546748036;0.00268040727684074;0.194075281491445
"charitable";0.240876284108792;0.40901546550464;0.156560721208711;-0.0484270848559433;0.0404739213820057;0.328048416015707;0.315621378145321;-0.0959117941232784;-0.0666649820658537;-0.00337587207032429;0.160537075453165
"cheerful";0.518698625997196;0.314664722010611;0.327019020335202;0.233590839335651;0.325658853468759;0.184189964739012;0.197491360171736;0.0484553062162562;0.225549247143662;0.0910813866860097;0.0489248888824672
"clean";0.116905692917017;0.209571995349831;0.646869168229325;0.0752323096830266;0.10292593271334;0.0394731251828839;-0.0203758206619486;-0.0829086579602735;0.0204657317114481;-0.0993850639267262;-0.0291656141215184
"clever";0.638932478143233;0.384488642492602;0.261122822118663;0.129328476467743;0.232206381584929;0.213134090500407;0.0687588472465946;0.161084444334041;0.126060720964189;-0.0632984019827182;0.109829302895305
"comfortable";0.545527188535131;0.219069987905308;0.290573870040205;0.372684725145822;0.286651780738728;0.166508637615803;0.153661337025824;0.141491139629408;0.265319702197752;0.12880429293383;0.110154521593997
"compassionate";0.325691829298728;0.187047163445878;-0.0466262032847961;0.119349952421994;0.129876170407815;0.376477886288359;0.131213057698136;-0.0762071825298237;-0.202064947347068;0.186127763349411;0.026453631987113
"competent";0.317588199677969;0.0214796765997427;-0.0431028579144482;0.1934914165708;0.102967550557159;0.198256980768622;0.336065485029897;0.276519376803674;-0.0592414227831491;-0.278519620492757;0.00492498851804797
"confident";0.613813859650213;0.054683025161414;0.340432581247966;0.112783151363683;0.115441486162115;0.152434397672766;-0.0609455680236105;0.0742360646830771;-0.0339264062558066;0.0994036016144298;0.0260440978052276
"cruel";0.131891876687911;-0.0375685898843715;0.280896978735895;0.227181314631267;0.2975484069672;0.306519589040727;0.136852398797567;-0.0837462480474152;-0.215219041349685;0.26595078348774;0.327533467958705
"curious";0.322043349752086;0.395149156518545;0.133984734572929;0.123933790701298;0.00232272743185076;-0.0968054631683478;0.184463417811321;0.144435750151682;0.355745835091557;0.00850730453810686;0.093824333731636
"dangerous";0.440615302211462;0.231025987649173;0.168366244710723;0.115343282624731;-0.0444261564512228;0.112670269361536;0.232033691072029;-0.0335960792257862;0.451718609707068;0.0140330761169361;0.413108581125402
"delicate";0.567748339696122;0.153447135345062;0.308399252853062;0.114989156806934;0.263659361438945;0.247757936243698;0.226863821936059;0.168505900312012;0.124606439908251;-0.290228674847012;0.00958775888356146
"delicious";0.0911245328796759;0.652094031832652;0.253445280756259;0.231786420122375;-0.0579767004337738;0.175091854153455;0.107385750731694;-0.116520215614032;0.0914587865628077;0.258104396784106;-0.0573963986796918
"delighted";0.522621687768781;0.454913533356551;0.17237927905334;0.261821067680514;0.276284566932422;0.129512654508605;0.0820218124900312;0.212949007146604;-0.0297790650922245;0.168666638870075;-0.0045594627584479
"delightful";0.501242262350351;0.361455722401299;0.373636824252351;0.215072635537298;0.291844571032022;0.198962396660223;0.123691243660599;0.219246509682531;0.146878560982706;0.0901111376492527;-0.0273707468266227
"determined";0.345084752652464;0.455530269397194;0.29966564597661;0.107064838199958;0.245828677667177;0.345146549677164;0.114938890650685;0.155703892848342;0.360447752295309;0.196133076110747;-0.0864193374545514
"different";0.414569574270999;0.35138989182887;0.332732551633803;0.132134813281435;0.377382516369253;0.231595998922997;0.128770026966145;0.25910329370714;0.226116552497507;0.176557139305066;-0.0173998619674291
"direct";0.349992618892722;0.248474917867958;0.0313888218930526;-0.0496976743170806;0.0587907141222841;0.279813822295282;0.196895954745617;0.279961947472145;0.339590858316106;0.288086649649655;0.270904904139174
"encouraging";0.227589379057404;0.587252449324838;0.256033999101905;0.127664441394577;0.0147240311594714;-0.0850197724947523;0.220959887659005;-0.00360625661967141;0.233179516564491;-0.0755076861178095;-0.156022595537125
"energetic";0.50896573927717;0.0279828365177269;0.353147220417686;0.131693002103508;0.132370205089189;-0.153959496986262;0.13863377288308;0.188172934554314;-0.239693033165365;0.022817877639082;0.125391230425044
"entertaining";0.0568845508172929;0.370351084184709;0.349633815408969;0.0682056753404474;0.18943784552763;0.331446116973098;-0.045764661673961;0.334444810737348;0.000513813297197526;0.0582163702941171;-0.0920094349531825
"entitled";0.106406101377858;0.00506218065569117;0.0670796898310499;0.907433480334002;-0.057182997775264;0.0756528845912951;-0.0829909054774331;0.0510822958809369;-0.0109874472840807;-0.0590848200083605;0.0695801000434047
"exciting";0.675474780336369;0.214023421892999;0.0306571684502312;0.0173984518729583;0.185777158021257;0.0936328248872624;0.0991068265037171;0.214053269798292;0.0981259296901105;0.0645530124344822;-0.0104940975663136
"extraordinary";0.598452666985866;0.18774505823726;0.168671317102998;0.057022804538216;0.000651404509889592;0.361886904205618;0.157967523074719;0.219503978989465;0.208396232129405;0.195093295570051;0.124629147570766
"extreme";0.473865389000024;0.408953921174319;0.171151826278608;0.11446355451319;0.249628305358335;-0.00288961207702765;0.183114338758642;0.30116508141716;0.124895793230441;-0.0462424752492153;0.231665959401164
"fair";0.555611448025114;0.266928362664102;0.395749891179922;0.269397920082474;0.160678639888469;0.141698414473109;0.122422576970988;0.242387819917478;0.201372104620174;0.0658536018970772;0.197919758039534
"faithful";0.405899608567539;0.253578798360959;0.0896049810878491;0.0799940038261289;0.125106741655845;-0.184068415230273;-0.00493621810900233;-0.160973618140836;0.116183463216485;0.0716481997792351;-0.414873865972172
"familiar";0.41108503288913;0.298041106840626;0.412956670670875;0.143118829671739;0.118215199096304;0.273842902166964;0.239756655010837;0.068057291346787;-0.170904590396062;0.345172072997997;0.0861909134316486
"famous";0.117932579529684;0.256672405163855;0.317585254628357;0.196887809690053;0.0883753926495178;0.053051142625043;0.188757241580301;0.530519999506005;0.0426145869507977;0.422119007768061;0.0514386410716235
"fancy";0.369421657214172;0.0266297586707057;0.0823999228642448;0.705849788982092;0.0185650982478457;-0.0565893325656237;0.0376739736281604;0.134111988143218;0.182967025316591;0.127780342277891;-0.00538068616823655
"feeling";0.294584592636517;-0.146950205450808;0.192218073186618;0.139129997450717;0.163040626545101;0.036417154588422;0.305328081227839;0.223379696351459;0.27486926445586;-0.164799517895527;0.023257036936935
"forgiving";0.195805089116671;0.308126391268798;-0.0344677234885252;0.195112341830669;0.065022543917964;-0.0800330611316568;0.0219484427262708;0.335554752298629;-0.0120884177511098;0.0108842510293316;0.03555017838551
"free";0.258130655024316;0.404286723410258;0.358249438094807;0.0984607252981149;0.0543981763691881;0.112775264415573;0.165645476906458;0.205743584295759;0.232152032008468;0.19690071737635;-0.199642204523817
"friendly";0.381827909326355;0.350744215059491;0.25564534410819;0.107100116601349;0.418707090115094;0.105705320019692;0.0694925437614621;0.102035620689247;0.307377917080391;0.300199703150546;0.0127224122725895
"generous";0.24056913412224;0.692975390256522;0.0265576047827942;0.079452460495029;0.133668022250618;0.173392338772345;0.110089216976024;0.171120273658204;0.0721764250069438;0.0484213508489469;0.129453954543146
"gentle";0.387997222238661;0.27287955460596;0.327669620495446;0.27341026787621;0.508784302400058;0.145898700004945;0.138243702688555;0.103905118973993;-0.024533899499304;-0.0563355196815661;0.136806303072117
"genuine";0.553549833226464;-0.0394168247970271;0.101492792734081;0.190310527647612;0.117274261470319;-0.128876428151072;0.1213484985608;-0.0713609994653816;-0.00186759341712529;0.388988599964394;0.00836879978213192
"graceful";0.320837485379569;0.139147865282421;0.202141344633431;0.0842412210963276;0.0053504389109222;0.681963148888082;0.101638883222752;0.102050165901167;0.221480962389627;-0.0566954173829864;0.102676945501315
"greatest";0.593526413061956;0.307833028772979;0.38461874736602;0.231227639936982;0.232000428413069;0.150364746873288;0.150316368264323;0.0393484587023934;0.222734571881481;0.0874226175353357;0.139433498308813
"happier";0.197713139909667;0.322062375114476;0.342172659331986;0.0495366778275025;0.571608201348483;0.11055910476814;-0.0193793607338999;0.143059358734559;-0.0465907353355512;0.020468833679421;0.293326918761835
"harmless";0.214410296614012;0.00778876996966119;0.0585524363991945;0.796586486658948;-0.00156560616803541;0.0425236802805439;-0.101346018783;0.00598189552352128;0.0580222948981821;-0.0201284121687395;-0.0929247777110382
"honest";0.148177283785984;0.60047011806346;0.17347731280422;0.570428907460642;-0.0183845750832103;0.124845030817924;0.105289453948255;0.162849437907404;0.0693558620721549;0.0957123646132306;-0.0723456440094867
"humble";0.483002932999955;0.303742469732131;0.0643124710772084;-0.00893481021482329;0.317424007512972;0.313950975776504;-0.0295828938430987;0.236912451689817;0.197736437798665;0.279060051914479;-0.143234554732283
"improper";0.275083894186739;0.0236602165596358;0.158611010618061;0.1614676106979;0.187472522379442;0.103838076036824;0.00865537220451386;-0.0488037685976687;0.0683742571815694;0.164263818019047;0.561781002943351
"independent";0.287104053617645;0.550301158979799;0.319682699807408;0.00620702985716138;0.182632648323521;0.169566342497943;0.27469372487719;0.166020680788502;0.10757505741501;-0.0186036820678388;-0.0930762016837329
"intellectual";0.252457808558726;0.25868600777575;0.197753341641096;0.753775394273918;0.152085192811717;0.134632998518205;-0.0618121967016848;0.0900804703455424;-0.00872393297217887;0.0700580422523991;0.0912489921460348
"intelligent";0.205663768500736;0.576841895097466;0.0377167232094745;0.29849138356105;0.308172061581142;0.128919069278139;-0.0501483839291208;-0.08322085703523;0.168641113414413;-0.17855325393075;0.152093677836116
"interesting";0.61994716864244;0.225146117249143;0.357148822066149;0.125111238654301;0.149779237101394;0.292713984126517;0.160681809570623;0.226044303991883;0.230463774895487;0.122624834440492;0.181107965893439
"irregular";0.0795623052661299;0.818307719601476;0.203380503641611;0.0542328495193616;0.0721179171488828;0.126625292273879;0.0901875677665469;-0.0247472203271946;0.0400792226204046;0.157872594305974;-0.0506697741517953
"legal";0.158334746325587;0.512476413533113;0.0100734524498992;0.17201179515518;-0.0358076960187775;0.091658895243071;-0.100191016800493;0.266101368489763;0.170060583357557;-0.20379589336659;0.356048167075738
"liberal";0.194993425036927;0.300973515239264;0.321037764281544;0.480998020454616;0.197589090507617;0.214199851707649;-0.0495137064481946;0.369946619503291;0.139735131394636;0.0512452903177382;0.193695937416821
"married";0.294675414884901;0.232018358467209;0.462707821387925;0.415013938879758;0.185149081681196;0.26056639197731;0.0867051062487497;0.21027112878145;0.11337144955777;0.214138519360668;0.224347940054714
"mighty";0.181365841568998;0.0621895298090977;0.0758079483242407;0.32591621242681;0.102549460664228;-0.13972180434308;0.265846525940968;0.00170384148261476;0.518754128927598;-0.0353962708236437;-0.0975754095044667
"minded";0.207525494772651;0.0996495801917089;-0.107439576023094;0.175046416291049;-0.032388682363057;0.686114209513691;0.150242759735175;0.116276139421388;0.0112157644707704;-0.0147271969353759;0.0396011553758858
"modest";0.327080744871207;0.36885206809524;-0.104693644671451;0.0193463409776916;0.261894150888328;0.331108963486014;-0.124385650663567;0.196598595075492;0.0200991575898346;0.274644287292895;-0.212088245095962
"moral";0.0247551209437065;0.172560537451895;0.0945978842472414;-0.128684061243822;-0.0923432958401479;0.107106354745015;0.812026055901977;0.0488354583777025;-0.0325152388322157;0.130807642846763;0.0482314887248485
"natural";0.53325630193554;0.269687003875318;0.400217032541272;0.215491717973533;0.212017348014173;0.138427907878763;0.202228699959301;0.13380968906667;0.13170617052064;0.0940663843634889;-0.0420059624717944
"neat";0.132193263731784;0.262596763177942;0.490636707636162;0.589439024093515;0.178295581509653;0.294138890924213;0.106182746217002;0.098322505925673;0.0238072638111442;0.0516681977016294;0.0432310975591332
"obliged";0.0471112642142919;0.360310353215157;-0.0699388369842499;0.0357197233152763;0.582068355941473;0.0118178183114047;-0.0143417232381035;-0.00446258150527638;-0.00948756178649636;0.163608775939608;0.133940283376519
"original";0.274026957086629;0.165997745270623;0.143446506597099;0.0815496796285743;0.377742363999243;0.529871540930333;0.105614149743162;0.277512318115073;-0.0502426242759073;-0.0351821166507452;-0.00321087895815085
"playful";0.407232712214994;0.230787404869303;0.0967082436767117;0.195605624198779;0.0673537813705923;0.238073577205852;-0.107565393085827;-0.272763872198718;0.0708671257953968;-0.0594855203788515;0.0914232705178717
"pleasant";0.421958649345333;0.354570556097041;0.350504105383009;0.19953973006004;0.356031773517757;0.198276485138393;0.0981973605930597;0.200932247612758;0.138631190857446;0.186237073550697;0.0183859701212902
"pleasing";0.403156163492109;0.304083166525442;0.369423659705066;0.162375366207102;0.318701606838868;0.191341458570726;0.250156859309053;0.125001136877803;0.10778293123677;-0.0641263278444674;0.0209223191752
