"MR1";"MR2";"MR4";"MR3"
"#-beautiful";0.206629074205907;-0.109477376331202;0.660650465863303;-0.115858400419161
"accustomed";0.6902414941422;0.183592252104237;0.186119046832452;0.130009725685308
"adventure";-0.111732603855265;0.795825851861812;0.0540723417951241;-0.207290733234654
"afraid";0.078415793290662;-0.14967130145736;0.0110922118808687;0.234100187691803
"almighty";-0.0615535130450294;-0.0650029316101218;0.712231061049283;0.0516097472229319
"beautiful";0.730937490770728;0.243590818498579;0.0877553820408988;-0.000469714456870934
"best";0.397692676394508;0.124216347772607;0.209931222471225;0.236712331060202
"blessed";0.146234088625697;0.106530999790603;0.0036776731418512;0.120371589580603
"brave";0.0467101115618088;-0.0680728018945356;0.698207467605075;0.0193423974847636
"calm";0.306331322373162;0.416080718027138;0.273163665249864;0.232154324036742
"capable";0.722165752479812;0.274922900873594;0.22513827962242;0.18964589534793
"cheerful";0.764069300082842;0.122289056137557;0.208535439133902;-0.0264821272256555
"clean";0.66199874208373;-0.0273768129909586;0.0532122273701113;0.0206641048647748
"clever";0.268258379146844;0.0597137304126077;-0.0662465048423136;-0.60400417731332
"comfortable";0.460939146510239;0.0414149407775376;0.0285649856931529;0.0851126093500457
"competent";0.0645839832266925;-0.0107856929682239;0.237068265901537;0.126431076846228
"complex";0.0459646474443245;0.214031646300715;-0.0225345008604276;0.0261725054433272
"confident";0.0615150816259699;0.335534177998604;-0.0674347412332553;0.0572455872578347
"cruel";0.519202675291331;-0.0242735574417768;-0.0707471892686495;-0.568552386341965
"dangerous";0.0742880097776826;0.0973407196826437;0.332694108958884;0.302175349497956
"delicate";0.368099629041269;-0.141523386647032;0.105791472700639;-0.124288126434608
"delicious";0.29435876209085;-0.0346176261643281;0.331633136473898;-0.210386815828471
"delighted";0.758083350586553;-0.0892065286672063;0.0903572538574564;-0.109868245525105
"delightful";0.263408283037663;0.045074191256355;0.52748837997608;-0.189700759320753
"determined";0.126356834648918;0.262544539121139;-0.0720560479738775;0.265271778872536
"different";0.775177637893948;0.114893079287935;0.241265379655862;0.0575303729694739
"direct";0.625714684832104;-0.122336375486051;0.362472163958215;-0.129574760330027
"encouraging";0.155704893413512;0.364557520695438;-0.116880095471718;0.386849998790389
"enthusiastic";0.536093041372351;-0.185145694183176;0.235953995292895;-0.147830543776935
"exciting";0.620606037087792;0.0289307752662724;0.382113227200129;0.0695577905935026
"extraordinary";0.229616513331335;0.163492009518767;0.0769279018093226;-0.0848360984901667
"extreme";0.781836780550662;0.159009396663435;0.209657498753864;0.041096440309247
"fair";0.691741833454011;0.152318977177773;0.0645315919808993;-0.00277887819508123
"faithful";0.285312957577444;0.346765350135012;-0.0218733065867928;-0.221038303110811
"familiar";0.357157235499543;0.277386311878798;0.398017658272259;0.177267147127708
"fancy";0.036516654529808;0.255241355995751;0.394293815403393;-0.292695434683629
"free";0.527683898884212;0.223940411663138;0.343536213693748;0.116446278107729
"generous";0.616426440654042;-0.0983537624144038;0.0895375434862979;0.195861778806853
"gentle";0.666074527762809;0.0416573301477632;0.190637063853213;0.127633529860636
"greatest";0.617105299223593;0.274625183919429;0.254661803789453;0.00567349607061039
"happier";0.0824903128503882;0.72467728924136;0.129317620357781;0.120874137286651
"harmless";0.279545943289673;-0.165296985364714;0.304829173555354;0.0741212496440555
"heavenly";0.162582521501479;0.412407559056324;0.258131273546152;0.275997516294801
"historical";0.097031762642844;0.0580880507320818;0.344307805887014;0.0203618666953226
