"MR1";"MR3";"MR2"
"#-free";0.265597614290505;0.575658423544375;0.0462548016893585
"#-profitable";0.0822308049603714;-0.00040965945765296;0.242720751345324
"#-strong";-0.192521840957704;0.149212208138332;0.222548244354599
"#-worth";0.0120812026858036;0.198238808647301;0.18389996716895
"accustomed";0.328751412288744;0.435826242667681;0.0249755588221663
"afraid";0.480956181968662;0.472653922539846;0.35450743115956
"appropriate";0.40198339881904;-0.00597048748241741;0.170002608611291
"beautiful";0.354401750573102;0.637406444092038;0.308183159793518
"blessed";0.217545055188992;0.13259450635616;0.26430967176031
"brave";-0.196797480443094;0.00157223439746653;0.30377496743197
"calm";0.0354936142937478;0.195074696790828;0.235357318976449
"capable";0.117525213767482;0.0729388912754936;0.59724597696796
"careful";0.0230288166331902;0.215790341042655;0.5921931458547
"cautious";0.0846126871485118;-0.109175522077352;0.155031597487574
"cheerful";0.325921620860328;0.231620831883224;0.54539205408013
"clean";0.108570147284564;0.215615284050593;0.547701305312348
"clever";0.150951795187258;0.087772833108144;0.384107813754986
"comfortable";0.475313295733892;0.145244003910212;0.326991144771814
"compassionate";0.0263466939608347;0.333169822217242;0.289347036533322
"competent";0.0465686364670373;0.370679109171416;0.0737795634987247
"competitive";0.177199435922559;-0.15523601702138;-0.100653301710007
"confident";0.0455151957890941;0.125574395510004;0.0200527022011037
"conventional";0.408759493969564;0.0405477274641874;0.409253468351635
"cruel";-0.133212785120932;0.467147226442422;0.210283352602391
"curious";0.394770107525355;0.281588783370978;0.49917094084738
"dangerous";0.120443913957205;0.31678068725532;0.262406892187901
"delicate";0.308875686958938;0.21735568181229;0.135209149988962
"delicious";0.423945616010023;-0.0300846627791333;0.149231165128017
"delighted";0.466820151270691;0.490856979684128;0.260848768244204
"delightful";0.311991587167003;-0.087818585379459;0.383615370314272
"determined";0.104254083477289;0.0509601056449822;0.579940825652349
"different";0.668299045204106;0.240172656544819;0.279634654812279
"direct";0.283500460409924;0.512293008467303;-0.0746464724495148
"dominant";-0.199203492543937;-0.0930550026217564;0.339790211672783
"dramatic";0.470027582731862;0.0319046146697633;0.0378909824350843
"educational";0.387542064041483;-0.151308746479713;-0.0276324611664314
"efficient";0.0858369406851083;0.0856165948781863;-0.088866848652687
