"MR1";"MR3";"MR2"
"#-fancy";0.4203557017559;-0.00729859264274626;0.311607620230989
"#-free";-0.0707840053232226;-0.0727035140117528;-0.03978695601469
"#-safe";0.444514100271095;-0.0751389318725166;0.101414749131309
"#-weak";0.0190056603428474;0.103199081050677;0.0705174384467934
"#-wise";-0.133546235907671;0.379564869252786;0.0382047305055358
"accomplished";0.526611231003754;-0.0754928275204449;0.0266585292777324
"accustomed";0.197830102519101;-0.144134608735403;0.726621076384134
"afraid";0.605775075135066;0.360113843834327;0.0744109888485067
"amusing";0.453167226215371;-0.0935197545512059;0.316892316788457
"appropriate";0.0636218251316622;0.0739157866520394;0.491047529037682
"beautiful";0.0320477762572055;0.539490832405431;0.094999482802805
"blessed";0.0356625879803762;0.654814420809898;0.0435635719109948
"bored";0.377900507707668;0.189069835117004;-0.111389216291294
"brave";0.131748541307321;0.420165892530332;-0.0639254244076776
"calm";0.273767267582287;0.0966830734573805;0.388029199415079
"capable";0.0193659894882447;0.331151287013883;0.127673465124212
"careful";0.0186355861709619;0.318732756414073;0.475599869969353
"cautious";0.646848918519065;-0.0559929014413242;-0.12236519298038
"cheerful";0.114089184652958;0.452183435639458;0.561142208046583
"clean";0.0573107542837352;0.455359440528457;0.265740712186157
"clever";0.120794311145151;0.0592428287745973;0.084378895081463
"comfortable";0.529794389687747;0.311435232714924;0.21004212190634
"compassionate";-0.021071602398781;0.0791394108978322;0.698835598789397
"competent";0.318285932772231;0.0202344533986113;0.19213840155602
"confident";0.113029205748783;-0.0725397259763935;-0.115159775999376
"controversial";0.113657808842666;0.112910261785097;0.0609672206624837
"conventional";0.0302675101347573;0.602994806824104;-0.196694400020258
"cruel";-0.0767190425602636;0.322878767306287;0.0826664703699051
"curious";0.202515597960769;0.542040589169429;0.297714341394572
"dangerous";-0.0276788027691997;0.443078688442393;0.0548167268173671
"delicate";0.016515172466721;0.25656869494345;0.551807217613847
"delighted";0.043024579862116;0.683684636337711;0.211647438409518
"delightful";-0.0707840053232221;-0.0727035140117532;-0.0397869560146898
"determined";0.00151414401954614;0.186796040373995;0.070678909249943
"different";0.524807612753867;0.461202321701269;-0.0112907489996899
"direct";0.412270088984495;0.0587756455370625;-0.153293392842148
"educational";0.0706516151529717;0.233004371869839;0.108275824880701
"effective";-0.0881866104962503;-0.148192218685835;0.248187629467518
"energetic";-0.115651676837384;-0.0390366877490401;0.282042817142248
"enthusiastic";0.0952715378729311;0.0256665637629893;-0.262195330522442
"expensive";-0.0110773784688375;0.624110152395123;-0.17285443283706
"extraordinary";0.35066531249768;0.262534131917585;0.160303082727334
"extreme";0.434764562516481;0.20791519359802;0.210825019487278
"fair";0.618523873450215;0.190276649035387;-0.108110239782259
"faithful";0.40423415606689;0.355117107087353;-0.175614387786601
"familiar";0.21592331856675;0.393770490840344;0.31904563818139
"famous";0.12499512200087;0.0471471672747053;-0.223112030568411
"fancy";-0.0652606141162522;0.330610538715057;0.369971858770273
"forgiving";-0.0992778434571453;0.171245857648218;0.117426865866297
"free";0.233558918063548;0.568808740970477;-0.00190232598601988
"friendly";-0.0149412077202003;0.365469970563443;0.348452503753607
"generous";-0.0109687882846395;-0.0115324993846937;-0.085396363852842
"gentle";0.296523165268892;0.516412184719064;-0.0599340143829188
"genuine";0.0915964846640027;0.607519789720044;-0.190991736994805
"graceful";0.0328554239778443;0.568156318231016;-0.0952326111562797
"greatest";0.448427134369918;0.394035927352356;0.0953362139311422
"greedy";0.0188891448554946;0.0804129759542055;-0.210911634033883
"happier";0.146623404017865;0.504662849531599;-0.0339890651767962
"happy";0.32435644262613;0.244827510413127;0.456483315349996
"heavenly";-0.0652606141162521;0.330610538715057;0.369971858770273
"holy";0.101451930357248;0.0682274410355573;0.539335337492392
"honest";0.184018999653507;0.346881471875819;0.195061154731008
"humble";0.334703733822656;0.634272025223608;-0.0571175154699108
"improper";0.112543637118972;0.0645098382364249;-0.0789680994047911
"independent";0.113015905059566;0.23506336984566;0.447249969350631
"individual";0.190027984129172;0.123842074441406;0.0176880561924257
"intellectual";0.166318733770498;-0.0195690331162717;0.658764719966371
"intelligent";0.0357076054469236;0.106880626465977;0.0563824299609594
"interesting";0.454781250211012;0.165516546165738;0.00689634685042889
"legitimate";0.230711151063433;0.121969546434924;-0.179681688911881
"liberal";0.0767597925214513;0.0790774732528368;0.399464383840326
"loose";0.229062047929243;0.285902460670638;0.304534313574235
"married";0.064621302609714;0.405865521620246;0.149401641268024
"mature";0.0544159050599154;0.62068225847073;-0.103982245099568
"mighty";0.0906028752422854;0.199859461625889;-0.0309384225188231
"minded";0.262121697666954;0.365819922658811;0.0308282656976499
"modest";0.564745077498725;0.318979968693776;0.0895141870394204
"moral";0.599618149493895;0.160703578173541;-0.049931072759401
"mysterious";0.262895470386898;0.316537822842979;0.00426072129989849
"natural";0.175212046138814;0.568185519965513;0.139321686123174
"neat";0.156175657249103;0.260224841496985;-0.0259446032627644
"novel";0.0952715378729313;0.0256665637629893;-0.262195330522443
"official";0.692850945555543;-0.100085339483966;-0.142068998649278
"original";-0.159033237619357;0.226251855159653;0.125934656948559
