"MR1";"MR2";"MR3";"MR4";"MR5";"MR9";"MR7";"MR6";"MR11";"MR10";"MR8"
"#-beautiful";0.11706680431746;0.175014264605174;-0.0593339623355721;-0.0217744401907732;-0.0834930703947338;0.289699209453229;-0.00651574693654181;-0.0408790463352632;0.0362050154761825;-0.25340352414088;-0.0285321994297188
"#-clever";0.409592889130399;0.131416391209599;-0.216896211112187;0.102024039280526;-0.169572219379613;-0.0829074966280937;0.190289311690445;0.00845609898370554;0.00223627045238771;0.222915321969216;0.236332005309922
"#-curious";0.146279213307769;-0.113647307597871;-0.0000435935934696895;-0.212417482688836;0.322297914025014;-0.0908552396254598;0.0231617735078427;0.105650635638995;-0.0946595346913936;0.0985950612057311;-0.10759232034191
"#-familiar";0.23349807523229;0.0105345537207854;-0.0281715287013612;0.359383825768697;0.484051186884936;0.152170895479663;0.0750607912581648;0.0803436907370538;0.0451007738805089;-0.198358589949509;-0.10477084708934
"#-free";0.0753807377159911;0.0507268257986171;-0.0890326802092079;0.0739961697469411;-0.0543586784639574;-0.0583986405351931;-0.0224975544271568;-0.0793703993272225;-0.0273984284611015;0.506784796331824;-0.0327114659759633
"#-happy";0.539558087324334;0.193597199806191;0.375349146059421;0.371060211497822;0.0732476741395919;-0.104063182106205;-0.0196955241784079;-0.0751638670889733;0.029451327209079;0.0921041075096715;0.0720761716243718
"#-powerful";0.0641322522020394;0.085337285712025;-0.00882366952586154;0.194515536411263;-0.0240783416318731;-0.108979582996925;0.638369648499432;-0.0745529119697252;-0.0329793497417464;-0.113646682176738;0.0127776678972522
"#-professional";0.496942993905712;-0.145631983384454;0.0140059360746495;0.391141726464693;-0.109807387227701;-0.253459811665159;0.335133334549996;-0.126138609953116;0.0319585613650813;-0.159912854878664;0.0505584558456106
"#-proud";0.181468993018982;0.0000221509284545237;-0.00843609625967006;-0.00373463811652696;-0.065472954845142;-0.0736156757715036;-0.0745170748965428;0.632033287285863;-0.0717632161360364;-0.073614721913823;-0.0284772915296369
"#-rich";0.0675505727787701;0.386396264454517;0.026234575294914;-0.0143611460310273;0.0767882630292448;-0.134263672543985;-0.0271333100612221;-0.116363762517643;0.103881084302326;0.350814099938171;-0.0503698730275777
"#-worth";-0.0179247564743531;-0.000746277929465326;-0.0126155683412831;0.0482245756573074;0.0028895942576554;-0.0139590716712511;-0.021941730271402;0.0022129020281401;0.0699865937370457;0.0577959338518475;0.226926759078949
"accomplished";0.376846806776938;0.0404246056857171;0.289395219568734;0.228320920533962;-0.0522118736605415;0.32207289810192;0.136209241858162;0.0888496269052795;0.343730843295167;-0.0520482557745607;0.223197137855251
"accustomed";0.30971056028106;0.229731503091036;0.136028516739015;0.173610619907331;0.152127801458611;0.271107563210005;0.245352367303038;0.219185247648527;0.291584749175026;0.0201466552679169;0.143324388175275
"afraid";0.679523502294969;0.291403915194305;0.269491307359065;0.0719223753756622;0.152118220167839;0.221825797757229;0.155869088447374;0.0997091675160414;-0.000965783414485785;0.0313461554460591;0.0166160244801428
"amusing";0.297956131894046;0.194691839983677;0.210527802032795;0.113569041910152;0.147061682661822;0.288961207053268;0.109268395810401;-0.150075767270485;-0.279226813904929;0.0393522688642337;-0.0300940990902015
"appropriate";0.242437000847633;0.242190139920895;-0.0624915137295686;0.0700400102536677;0.339099162306538;0.189462799532413;0.120571425747319;0.10825659927318;0.0516918597808444;-0.129918446483654;-0.0715147195786108
"artistic";0.0273856761114464;-0.128722498901853;-0.0326525202865411;0.061869686960283;0.575811009044846;0.0107102344242747;0.00310402291249333;0.0994750551842361;0.0761755074200277;-0.0211060566553614;-0.0165490069272262
"beautiful";0.782127844332689;0.264709677124012;0.157198068545111;0.120193959282829;0.0228303714683806;0.214670183406593;0.102273606651672;0.0677777997813954;0.0701499713171181;0.0594854297815306;0.0940706910923682
"blessed";0.542106628948229;-0.131746671044525;-0.0705423643299481;0.0869750523537644;-0.0989922105457012;0.0161266728779736;0.0895014899384532;-0.121348020262015;-0.0575121887381005;-0.146632715474776;0.0334091184756974
"bored";0.190222732994308;0.0640661314431025;-0.0170554634258336;-0.0393118067101342;0.0328876581070036;0.486462507028735;0.0281663012452768;-0.00440007936615079;-0.0837149112861394;-0.100083381835232;-0.146941804945961
"brave";0.297627256890765;0.569828032786753;0.239652599252347;0.111768561615149;0.233906506730316;0.152644693100178;-0.019036203734917;0.106286619726692;-0.032268415410603;-0.020107464302659;0.052634378227389
"bustle";0.0895558801915406;0.638046196858788;-0.0133273064170401;-0.0374881757446419;-0.052208958861303;0.0193683115429001;-0.0581816343665536;-0.0193237036616421;-0.122375324425913;-0.054796237471917;0.225548710538228
"calm";0.617876283639294;0.145527177583619;0.152345672695377;0.065328090892664;0.203061496525366;0.0740773569073308;0.0649128581997726;0.0778358977817658;0.00552242205441097;0.0713930533103258;0.00669716190677298
"capable";0.381795897169163;0.155809419403346;0.196205211067469;0.0178091424080226;0.0427919452951892;-0.12837797476913;0.0451577469261535;-0.0868565470409564;0.217493828342564;0.227397632591168;0.0778108800274424
"careful";0.724525592292772;0.120692363457466;0.223112271272459;0.140108521240236;-0.0209191013468901;0.0867744214980885;0.00442730350585438;0.136843474860284;0.112956610585201;-0.177927084420038;-0.130981501766823
"cautious";0.40371904536931;0.278020619934987;-0.0598005021747563;0.0861724825956885;0.185947428956836;0.208921968383479;0.0654651306648298;-0.104537391506558;-0.228940425496945;0.07093248302836;-0.113244993495172
