"MR4";"MR1";"MR3";"MR2"
"#-accustomed";0.381878530137148;-0.0421070781291034;0.270926979553471;-0.012036445797253
"#-delicate";0.0169258484164037;0.0468095244946519;-0.0057130105893192;0.577159240246964
"#-honest";0.0169258484164031;0.0468095244946528;-0.00571301058931855;0.577159240246965
"#-married";0.526647163163465;0.0141827450901874;0.185843351551833;0.23289327900828
"#-smart";0.0748881859527504;-0.0475947577629003;0.0146197543507477;0.381048295889318
"#-welcome";-0.0364910972748426;0.339796868563031;0.520665059392362;0.244842787715123
"#-worth";0.36451043378261;0.163422990959075;-0.191257259655128;0.373162189614754
"accomplished";0.438292332134608;0.438209665208078;0.0228383010680403;-0.147254151241084
"accustomed";0.46579095462981;0.465424571823477;0.249690949552693;0.106052254289524
"afraid";0.575851926474779;0.339854705541766;0.39496221178473;0.17801891293527
"appetite";0.0396702309318925;0.0401482630338676;0.549841647278856;-0.154026220256949
"appropriate";0.541519214508417;0.45990572921596;0.159628647306887;0.106441596391238
"beautiful";0.483990865486161;0.521354282732564;0.386936918695573;0.169326317219115
"blessed";0.265549615920946;0.22589687340376;0.128316107771405;0.00459526316038493
"brave";0.478662152466078;0.0704907322702706;-0.192590761495027;0.386395955929675
"bustle";0.182872447942636;0.130828165238062;0.0159787991557896;0.0730158435467761
"calm";0.195326714461515;0.623116227389124;0.149141952458272;0.125387081747679
"capable";0.299950261633517;0.520171786484513;0.183845491874158;-0.167300257954955
"capital";0.465655921923335;0.0308383549578727;-0.0178088912619068;-0.0866923248233109
"careful";0.626266082274494;0.15231611151697;0.155360628577172;0.385325185189756
"cautious";0.221857671068548;0.0652820163008528;0.1757716214565;0.533770710186717
"charitable";0.41472465592449;0.119926768935242;0.291616382228527;0.0915156756785008
"cheerful";0.353484284895735;0.510616885204976;0.49993896599803;0.203759352404876
"clean";0.251451436958272;0.563668312660057;0.364379584433557;0.116073758954822
"clever";0.453012450056381;0.44677892140605;-0.0875377031367617;0.183164647587385
"comfortable";0.541563850691733;0.462339625136877;0.250659643481926;0.408986336539174
"compassionate";0.0415459165608382;0.300637185729371;0.094228481467242;0.250438201535061
"competent";0.269550072724918;0.390383304348945;0.242414345696945;-0.185135880383956
"complex";-0.0939663962881734;0.0391246969574049;0.364474353104016;0.296453308702801
"confident";0.417078788642321;0.43455628837198;0.0522425020174934;0.256804828038569
"conventional";0.274205330272047;0.447193693011221;0.291491444238327;0.201685402419614
"cruel";0.535306494929585;0.398988135888228;0.225719106831673;0.156627692820141
"curious";0.56136161642603;0.303404960143252;0.202587637360527;0.108878230917887
"dangerous";0.258233784704916;0.372022219180115;0.334418001378795;0.204511360866334
"delicate";0.353479362816809;0.548046434675129;0.42900670787578;0.149091720235775
"delicious";0.383484668411305;0.266849821193391;0.480309298589276;0.0172413083158776
"delighted";0.390928718831018;0.569534010701268;0.286307314338537;0.0213522191510195
"delightful";0.625744497841281;0.449575802936819;0.122680761719503;0.134319601431681
"determined";0.345461305142258;0.2932054031129;0.20835773225359;0.356583241376255
"different";0.525795714437331;0.457841475936159;0.302923146032479;0.178579744635352
"direct";0.0873420835513713;0.399331244936318;0.510676858663019;0.174849825967109
"distinctive";-0.127846824099456;0.0329259202026213;0.231686594327545;0.00728432045988148
"dramatic";0.312891266544958;0.0758837153018285;-0.104829010788566;0.046666295488267
"encouraging";0.410502893318752;0.0759096694400474;0.386452500853854;0.105486528564939
"energetic";0.299049088767056;0.242997203341134;0.295270056839362;-0.0863588966999453
"entertaining";0.405613457519941;0.246147393174077;0.00329820971732064;0.220918548632391
