"MR5";"MR1";"MR4";"MR3";"MR2";"MR6";"MR7";"MR8"
"#-accustomed";0.061574738339374;0.146102740591967;0.331839231723986;-0.0561288748147992;0.276923774277378;0.290256973052748;-0.00796469325660154;-0.470167767892096
"#-delicate";0.0896321304860333;-0.049938564575712;-0.0197082692373487;0.105467538438601;0.596165474143147;-0.0998069817336195;0.0151946675366195;0.0436359744635276
"#-honest";0.0896321304860341;-0.0499385645757114;-0.0197082692373493;0.105467538438601;0.596165474143147;-0.0998069817336197;0.0151946675366213;0.0436359744635252
"#-married";0.419944780032599;0.00774750368432287;0.188016746630643;0.0359013642531282;0.386867188474365;0.388466103413606;-0.0585607572808011;-0.235827137855413
"#-smart";0.0550082445350965;-0.110698504527631;0.00161917719235375;0.0305682252028187;0.364980336426563;-0.0785419218524609;0.263164957073269;-0.0293412728824065
"#-welcome";0.029027112857703;0.183084546864882;0.237797633800823;0.604489295291516;0.0779828747748022;-0.00512639884997936;0.0797341984618513;0.212495624260652
"#-worth";0.498303506747544;0.0309471653996955;-0.0142748687501224;-0.0386423418536834;0.317965162756224;-0.04015669075849;-0.0270518274711365;0.0580623844460589
"accomplished";0.392630669488565;0.360702507040625;0.349899411571977;-0.073163970534833;-0.123417072746896;0.116228946590019;-0.00907498583051808;0.271666791455815
"accustomed";0.479399392329606;0.368700282926887;0.174799755596906;0.256290205432517;0.0602653111402466;0.160093566368238;0.207358632950272;-0.0286719098170217
"afraid";0.431519864906409;0.239734617663114;0.517973012207932;0.274986283624379;0.0990383824828193;0.0630732487542697;0.288269017498961;0.0136526948102779
"appetite";-0.105255776562033;0.0416530222486763;0.0877137077333299;0.310227704368454;-0.0404050917746476;0.618930872539357;0.117095430428642;-0.0243206184469364
"appropriate";0.534908515665203;0.289437342001305;0.371774315256771;0.105634915908997;0.0712378025155263;0.183672097405627;0.0762847786657823;0.293846859274571
"beautiful";0.458593187680298;0.389136627879362;0.363126239511458;0.346158326127723;0.130689894730924;0.186152204130008;0.139325253475889;0.10392875354523
"blessed";0.196823385777557;0.216421590586457;0.0787415334494076;0.043967128242301;0.051226563224693;0.150020195895199;0.247242411119061;-0.0766547356422935
"brave";0.515219323263652;0.00786696164572856;0.088325273578862;-0.0834597933009368;0.321839986266934;-0.182503706450028;0.0794892748007332;-0.154931342034595
"bustle";0.0588466289353333;0.234992068703725;0.118960472458626;-0.0688414328177534;0.206127478891835;-0.0679111714724468;0.0950222655012112;-0.253315493717014
"calm";0.26106678767594;0.523601593977563;0.0793152045373278;0.149399887615881;0.256438020146879;0.248843697819851;-0.0115770937483642;0.237665716429079
"capable";0.212890088585557;0.540527298611514;0.238522362094782;0.0553647629522545;-0.022526613179936;0.198514232216456;0.0328642475422697;0.030036260412729
"capital";0.497422257268436;-0.0676856680717693;0.00793175935480099;-0.0500136215210302;-0.175115173606133;0.287481776616913;0.138883361476773;0.00732625670430986
"careful";0.540260090327516;0.0512734217510585;0.370269316838907;0.119519421684868;0.313353237367483;-0.00947063514589865;0.204966144181244;-0.0865663104401346
"cautious";0.0971679638187127;-0.0239265332722174;0.277349355276237;0.0914057200046521;0.586507298727045;-0.0518249540551925;0.2921623962218;0.0404186496345281
"charitable";0.233929596632437;0.0873266801288653;0.466598080487591;0.0718996302433151;0.198824512952139;0.267090706224581;-0.0657928793008148;0.0662863552366013
"cheerful";0.321567199460833;0.351222206458547;0.332406853615436;0.419766560223258;0.198568662163308;0.313533915155587;0.175549836074858;0.206471093784313
"clean";0.344953198594825;0.46559689441635;0.158754557606476;0.458167696746852;0.0484764721572644;0.104323142881283;-0.00101312731384718;0.0306706576464103
"clever";0.582143035961507;0.267853682912411;0.0395876290114859;0.0308956696416962;0.0819086807619036;0.0275919890658327;0.20713681356418;0.186528201492698
"comfortable";0.533662710959661;0.305148659943225;0.298008576741941;0.257441130314928;0.369843665187314;0.0876984208747648;0.242554718150351;0.0597469910763857
"compassionate";0.0763553886270276;0.117108290609962;0.259629585902678;0.109328107410565;0.214109569140118;-0.0367441648922957;0.0334563806277029;0.510746773754004
"competent";0.153293056437643;0.393735937861852;0.263335718324655;0.124259048860538;-0.19315741368142;0.0481105428068219;0.293852945608167;-0.000919631433271179
"complex";0.0587998003173263;-0.0591907556623679;-0.135825271964071;0.555028195873864;0.129443159548908;0.0569029557169914;0.024007367133968;-0.123815153865817
"confident";0.495459038611534;0.288153795438589;0.0548023607269072;0.10724156282231;0.247819358123636;0.152612950597428;0.178034066483117;0.105263353401771
"conventional";0.281973703150753;0.327903752850006;0.253673022081882;0.287613382819018;0.182712296578831;0.100146590614194;0.102024997463776;0.148191491797926
"cruel";0.428349415911107;0.307918126663299;0.250663801342926;0.104043741746889;0.167723336951416;0.175044279353979;0.470935201993113;-0.00610153884224122
"curious";0.489781472720628;0.196031697936624;0.46671746180723;0.138982899119271;0.0312325972040288;0.0401051611138147;0.0556141287142904;0.107488561994878
"dangerous";0.195825832324664;0.288353945593718;0.205685810010181;0.269119914080376;0.208993893055891;0.127153402680859;0.321230779927653;0.0332753496279184
"delicate";0.182288664534774;0.521925411787024;0.39471396020712;0.279295041298432;0.21390254251264;0.0629015902943135;0.410539581944077;-0.0313985939215646
"delicious";0.143225691214425;0.250660507097179;0.650392700168322;0.248268004087878;0.0484065280349483;0.104539681920921;0.0615295177781399;0.0579777041525388
"delighted";0.299851963861223;0.575117489516103;0.34585831750935;0.24234507530641;0.0132984898754126;-0.0852210139916568;0.247233223068783;-0.11540642465131
"delightful";0.59477827149238;0.342274244994974;0.372500304987004;0.111757226201938;0.0669770450520538;0.00219852148321507;0.149374239447142;0.0458385967368267
"determined";0.312377602445734;0.227505816279172;0.347806377508064;0.23336484644481;0.329880310538005;-0.115544862567452;0.00654393722077976;-0.030839286208763
"different";0.435164980946557;0.409865061985012;0.31341715034486;0.201848574408213;0.258631504695828;0.214440098166105;0.147333714508628;-0.0739649885253405
"direct";0.173759112071605;0.232402372295395;0.144240842601425;0.586414103536016;0.0177113153111438;0.149331491533914;0.158666345938242;0.159219013064948
"distinctive";-0.0767339883736802;0.0244503018749512;0.0663974986055915;0.307937785541513;-0.0868231421423113;-0.0542488186300626;-0.163069209631913;-0.0198580446762727
"dramatic";0.45475341240454;0.0204580257060727;-0.0679387793761269;0.0582919533339769;-0.0980986034702967;-0.0486068129616846;-0.067844558676572;-0.143769352180436
"encouraging";0.301732002541644;0.0318262719110195;0.383397664496063;0.3110710728468;-0.00975331557439247;0.0591450729340848;0.116030579659098;-0.133137185197414
"energetic";0.176704828562354;0.232021046283314;0.499692711442072;0.215240078460276;-0.185489027025593;-0.114225159154391;0.0180438494926024;0.0205914243729094
"entertaining";0.453718084418675;0.178165915345931;0.0769602143284347;0.102855244186244;0.120381010885744;-0.109180708828822;0.192044613531953;-0.137676865684462
"enthusiastic";-0.0889284653064175;0.217807266616483;0.106360939282044;0.203313319057155;-0.133592366140526;0.460482478397452;0.338502246222937;-0.00389062749660197
"entitled";0.046583075282105;0.217392075265581;0.107403348515058;-0.0483878098533941;0.0318679210735225;-0.0728432534240171;0.0308512669669961;-0.478698742852328
"exciting";0.00438639573267861;-0.00249821523798434;0.103482428279813;0.325516595271106;0.282177063681231;0.198663315820392;-0.0189622425388566;-0.0852045602227608
"expensive";0.237953354092629;0.320387266808738;0.309467068074443;0.350738557059926;0.219139398061419;-0.0561344017707876;0.255241396438855;-0.170471155344311
"extraordinary";0.439495006945644;0.510514566516841;0.160428883819103;0.353647756284023;0.158303999320384;0.244336390636488;0.239739619677461;-0.154244426316072
"extreme";0.442911006754989;0.500436063046542;0.209112603140986;0.179754186524054;-0.029203098676593;0.206057191534258;-0.00519931255777235;0.127276617276775
"fair";0.417461242368577;0.296829292067843;0.367210765754405;0.458779757950488;0.1976564720418;0.156049263436888;0.173836404003196;-0.102896302961585
"faithful";0.340463259828846;0.481586332695577;0.205068932174379;0.245622866080832;0.0318790161585306;0.267428302160646;0.210531201622929;0.22747451898328
"familiar";0.306317056333602;0.374829772877962;0.207170259438254;0.371054700801567;0.0855881342382738;0.471894508277693;-0.0259086020700444;0.0201695655840269
"famous";0.0130824675178684;0.257686632822992;0.120626828597945;0.0837735855584775;0.135566413753154;-0.0973385664250201;0.490956171042871;0.120148574994561
"fancy";0.147544676051243;0.0834572062925807;0.441142867018127;0.381792698599812;0.113836171864467;-0.237618119845326;0.1307785484441;-0.095287494139041
"fascinating";0.194295708594684;0.276024654704026;-0.0830071376972717;-0.0236352601327358;-0.0735021543028285;0.0863773794497118;-0.0260030724913885;0.158997549769561
"free";0.440406369184219;0.271989447422529;0.186805781756736;0.452460739967328;0.152532518911408;0.232210014555288;0.124075561988872;0.0967211946052572
"friendly";0.37051612616571;0.613180331155677;0.0361723070035032;0.189220743217971;0.146643414608582;0.347326326593681;0.04880729886239;0.0333654287744361
"funny";0.294765679357188;0.177533905547192;0.559000618487618;-0.0708633829904311;0.166934666575801;0.0732492024113448;0.160550427828459;-0.115989265228893
"generous";0.404409318827603;0.0758159302324943;0.282856796347895;0.375376905936009;0.149449650818632;0.0994068538501236;0.127912682826666;0.282117690731426
"gentle";0.314557454457441;0.555507817975575;0.326697355425114;0.396031288591056;0.140569469375257;0.138466408997912;0.16201383159231;0.120691351870597
"genuine";0.334609920922556;0.0165311707562625;-0.0465046202596439;-0.0452001974814236;0.0555024122949627;-0.0497602158233162;0.286249041731381;0.151130419588318
"graceful";0.298694649673623;0.543349290935022;0.319401331556229;0.258041622588467;0.177694378055203;0.0097587814642052;0.0955583713199431;0.0601948088685658
"greatest";0.45338324067395;0.143635231061544;0.328779562096822;0.238621544314118;0.0703065787784483;0.0453019527406821;0.472277143311457;-0.135697791255993
"greedy";0.432802515411421;0.375992010652863;0.0949712108476288;0.306411126872306;0.242641354792516;0.0706343400984882;-0.0557695613387428;0.00804022618238912
"happier";0.066662039207962;0.491143513714479;0.157359985502478;0.319534338000958;0.114529946973663;0.267002548851422;0.364028877653151;-0.0860301572136841
"harmless";0.255820785066761;0.195236490529224;0.0672240191915167;0.593166076359521;0.220555295060293;0.129206155035696;0.0731307311272146;0.163298171192204
"heavenly";0.42351871809879;-0.137154524281725;-0.037682643810269;0.0723327675322991;-0.143076830319425;0.330217830651685;0.0707811748561985;0.124947903931164
"holy";0.376406967316557;0.053393025540028;0.0231554294033899;0.641627120696057;0.00407211008516586;0.0986387579454197;0.234365423275439;-0.0063278644451924
"honest";0.447485593744288;0.513644158330923;0.266335051217666;0.263949924963523;0.162903017915106;0.0372970860625201;0.16455573614811;0.202002021553259
"humble";0.330937523371072;0.533111507612162;0.16860960968701;0.504751426554852;0.295815865117391;0.191218260584072;-0.0172763491739693;0.0709650844999067
"imposing";-0.0105583323343475;0.159405191777504;-0.0104979351410574;-0.146030311939105;-0.107070785842727;0.402179683653463;0.0424975391382108;-0.00385318590564976
"improper";0.202497501576351;0.0198892217428578;0.136390352699895;0.108346611977578;0.13147505968344;0.20330591962026;0.613552851645529;-0.14676364361771
"independent";0.052237032311209;0.50941186066971;0.119947632443564;0.0350352543462181;0.0957164509279804;-0.140714738472105;0.26697336532986;0.445244321957285
"individual";0.38530817872139;0.121456172841242;-0.0531171120078929;0.00838384609435055;0.154698937861403;-0.0457450140781512;0.255930096017692;0.22661698020684
"influential";-0.103030463263433;-0.0625677970586178;0.0828771144816935;0.0464921712900303;-0.0385393778724783;-0.121666697960055;-0.112607236672329;-0.0341956937087739
